Name,Gender
Adobe Firefly,Unknown
Alan Mackworth,Male
Alan Turing,Male
Alberto Ciaramella,Male
Aldous Huxley,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Alex Pentland,Male
Alexander Bain (philosopher),Male
Alexander Lerner,Male
Alexey Ivakhnenko,Male
Alfred North Whitehead,Male
Alfred Radcliffe-Brown,Male
Allen Newell,Male
Allenna Leonard,Unknown
AlphaGo versus Ke Jie,Unknown
Alvin Goldman,Male
Amos Tversky,Male
Andrej Karpathy,Male
Andrew Ng,Male
Andy Clark,Male
Anthony Wilden,Male
Anthropomorphise,Unknown
Arthur E. Bryson,Male
Arthur Samuel (computer scientist),Male
Asilomar Conference on Beneficial AI,Unknown
Aurora (text-to-image model),Female
Bas van Fraassen,Male
Bernard Widrow,Male
Bertrand Russell,Male
Bias (statistics),Unknown
Bias–variance tradeoff,Unknown
Bibcode (identifier),Unknown
Bill Gates,Male
Bill Joy,Male
Brad Rutter,Male
Brian Christian,Male
Buckminster Fuller,Unknown
C. D. Broad,Unknown
Carl Benedikt Frey,Male
Carl Gustav Hempel,Male
Charles François (systems scientist),Male
Charles Sanders Peirce,Male
Chinchilla (language model),Unknown
Chinmayi Sharma,Unknown
Claude (language model),Male
Claude Bernard,Male
Claude Shannon,Male
Climber (BEAM),Unknown
Computing Machinery and Intelligence,Unknown
Consciousness Explained,Unknown
Continuum robot,Unknown
Cynthia Dwork,Female
Dan Hendrycks,Male
Dan McQuillan,Male
Daniel Bobrow,Male
Daniel Crevier,Male
Daniel Dennett,Male
Daniel Huttenlocher,Male
Daniel Kahneman,Male
Daniela Rus,Female
Darwin Among the Machines,Male
Darwin among the Machines,Male
David Autor,Male
David Berlinski,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Poole (researcher),Male
David Silver (computer scientist),Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Douglas Lenat,Male
Edmund Husserl,Male
Edward Fredkin,Male
Elaine Rich,Female
Eliezer Yudkowsky,Male
Eric Schmidt,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Fei-Fei Li,Unknown
Ferroelectric RAM,Unknown
Francis Bacon,Male
Francis Heylighen,Male
Francisco Varela,Male
Frank Cameron Jackson,Male
Frank Rosenblatt,Male
Frank Wilczek,Male
Franz Brentano,Male
Fred Dretske,Male
Frederic Vester,Male
Fukushima nuclear accident,Unknown
G. E. M. Anscombe,Unknown
GPT-4,Unknown
Garry Kasparov,Male
Gary Marcus,Male
Gaussian adaptation,Unknown
Genevieve Bell,Female
Geoffrey Hinton,Male
Geoffrey Vickers,Male
George Berkeley,Male
George Cybenko,Male
George Dyson (science historian),Male
George Luger,Male
Gilbert Ryle,Male
"Gleick, James",Unknown
Google Cloud Platform,Unknown
Gordon Moore,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gottfried Wilhelm Leibniz,Male
Greg Brockman,Male
Gregory Bateson,Male
Grok (chatbot),Unknown
Hans Moravec,Male
Hans Reichenbach,Male
Heinz von Foerster,Male
Henri Bergson,Male
Henri Poincaré,Male
Henry J. Kelley,Male
Henry Kissinger,Male
Herbert A. Simon,Male
Hidden Markov model,Unknown
Honeybee Robotics,Unknown
Huang's law,Unknown
Hubert Dreyfus,Male
Humberto Maturana,Male
I. A. Richards,Unknown
I. J. Good,Unknown
Ian Goodfellow,Male
Ian Hacking,Male
Igor Aleksander,Male
Immanuel Kant,Male
"Immerwahr, Daniel",Unknown
Imre Lakatos,Male
Ipsos,Unknown
Isaac Asimov,Male
Isaac Newton,Male
J. L. Austin,Unknown
Jaan Tallinn,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Lighthill,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
Jensen Huang,Unknown
Jerry Fodor,Male
Jill Lepore,Female
John Grisham,Male
John Haugeland,Male
John Hopfield,Male
John Joseph Hopfield,Male
John Locke,Male
John McCarthy (computer scientist),Male
John N. Warfield,Male
John Searle,Male
John von Neumann,Male
Jon Kleinberg,Male
Jonathan Franzen,Male
Joseph Weizenbaum,Male
Judea Pearl,Unknown
Julia Angwin,Female
Jürgen Schmidhuber,Male
K. Eric Drexler,Unknown
KUKA,Unknown
Karel Čapek,Male
Karl Pearson,Male
Karl Popper,Male
Karl Steinbuch,Male
Ken Jennings,Male
Kenneth Cukier,Male
Kevin Warwick,Male
LCCN (identifier),Unknown
Larry Laudan,Male
Lee Sedol,Male
Library (computing),Unknown
Llama (language model),Unknown
Lofti Zadeh,Unknown
Lotfi A. Zadeh,Male
Ludwig Wittgenstein,Male
Maleyka Abbaszadeh,Unknown
"Marcus, Gary",Unknown
Margaret Boden,Female
Margaret Masterman,Female
Margaret Mead,Female
Marian Mazur,Male
Markov decision process,Unknown
Martin Heidegger,Male
Martin Rees,Male
Marvin Minsky,Male
Mary Shelley,Female
Maurice Merleau-Ponty,Male
Max Tegmark,Male
McCarthy 91 function,Unknown
McCarthy Formalism,Unknown
Michael Polanyi,Male
Michael Tye (philosopher),Male
Mill's Methods,Unknown
MiniMax (company),Unknown
Monte Carlo tree search,Male
Moravec's paradox,Unknown
N. Katherine Hayles,Unknown
Nathan Rochester,Male
Nathaniel Rochester (computer scientist),Male
Ned Block,Male
Neuro-symbolic AI,Unknown
Nick Bostrom,Male
Niklas Luhmann,Male
Nils John Nilsson,Male
Nils Nilsson (researcher),Male
Noam Chomsky,Male
Norbert Wiener,Male
Oliver Selfridge,Male
Otto Neurath,Male
Pamela McCorduck,Female
Papert,Unknown
Patricia Churchland,Female
Patrick Winston,Male
Paul Christiano (researcher),Male
Paul Churchland,Male
Paul Werbos,Male
Pedro Domingos,Male
Peter Cathcart Wason,Male
Peter Norvig,Male
Petro Grigorenko,Male
Philip K. Dick,Male
Pierre Duhem,Male
Qian Xuesen,Unknown
Quantifier (logic),Unknown
Quiz show,Unknown
Qwen,Unknown
Randy Goebel,Male
Ranulph Glanville,Unknown
Ray Kurzweil,Male
Ray Solomonoff,Male
Richard Rorty,Male
Robert Ettinger,Male
Robert Trappl,Male
Rodney Brooks,Male
Roger Bacon,Male
Roger David Joseph,Male
Roman Yampolskiy,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
SSRN (identifier),Unknown
Sam Altman,Male
Sam Harris,Male
Samuel Butler (novelist),Male
Sergei P. Kurdyumov,Male
Seymour Papert,Male
Sir James Lighthill,Unknown
Stafford Beer,Male
Stephen Grossberg,Male
Stephen Hawking,Male
Stephen Yablo,Male
Steve Omohundro,Male
Steven Pinker,Male
Strategic Computing Initiative,Unknown
Stuart Dreyfus,Male
Stuart J. Russell,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Suno AI,Unknown
Symbolic AI,Unknown
Symbolic artificial intelligence,Unknown
Synergetics (Haken),Unknown
TED (conference),Unknown
Tara Sainath,Female
Terry Winograd,Male
The Language Instinct,Female
Thomas Aquinas,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Valentin Lapa,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
Vincent van Gogh,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren McCullouch,Male
Warren S. McCulloch,Male
Warren Sturgis McCulloch,Male
Watson (artificial intelligence software),Unknown
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
William Grey Walter,Male
William James,Male
William Stubblefield,Male
Willie L. Phillips,Male
Wolf Robotics,Male
Yann LeCun,Male
Yoshua Bengio,Unknown
Yu-Chi Ho,Unknown
Yuval Noah Harari,Male
Zhuang Zhou,Unknown
Template:John McCarthy,Unknown
Template talk:John McCarthy,Unknown
