Name,Gender
Abraham Wald,Male
Abram Besicovitch,Male
Ada Lovelace,Female
Adele Goldstine,Female
Adolf Hitler,Male
Akio Morita,Male
Alan Turing: The Enigma,Male
Alan Turing law,Male
Albert Einstein,Male
Albert Neuberger,Male
Alexander Fleming,Male
Alfred D. Chandler Jr.,Male
Alick Glennie,Male
Amadeo Giannini,Male
Andrei Sakharov,Male
Andrew Hodges,Male
Andrew Koenig (programmer),Male
Anne Frank,Female
Anthony Cave Brown,Male
Aretha Franklin,Female
Asa Briggs,Male
Astronomer Royal,Unknown
Bart Simpson,Male
Baston Lodge,Unknown
Beatrice Worsley,Female
Ben Wallace (politician),Male
Betty Holberton,Female
Bibcode (identifier),Unknown
Bill Gates,Male
Bill W.,Male
Billy Graham,Male
Biuro Szyfrów,Unknown
Bob Dylan,Male
Boris Pavlovich Belousov,Male
Brian Kernighan,Male
Brian Oakley,Male
Brian Randell,Male
Bruce Lee,Male
Carl Størmer,Male
Carlyle Smith Beals,Male
Charles Babbage,Male
Charles E. Merrill,Male
Charles Lindbergh,Male
Charlie Chaplin,Male
Chatrapur,Unknown
Che Guevara,Unknown
Chia seed,Unknown
Chris Grayling,Male
Christof Teuscher,Male
Christopher Chope,Male
Churchill Centre,Unknown
Claude Shannon,Male
Coco Chanel,Female
Colonel Hugh O'Donel Alexander,Unknown
Computing Machinery and Intelligence,Unknown
Conel Hugh O'Donel Alexander,Unknown
Cora Diamond,Female
County Clare,Unknown
County Longford,Unknown
Cryptanalysis of the Lorenz cipher,Unknown
David A. Huffman,Male
David Ben-Gurion,Male
David Bodanis,Male
David Cameron,Male
David Catcheside,Male
David Champernowne,Male
David H. Ahl,Male
David Hilbert,Male
David Lack,Male
David Leavitt,Male
David Sarnoff,Male
Delilah (voice encryption),Female
Dennis Ritchie,Male
Derek Jacobi,Male
"Diana, Princess of Wales",Unknown
Dilly Knox,Unknown
Donald Knuth,Male
Donald Maclean (spy),Male
Donald Michie,Male
Douglas McIlroy,Male
Edmund F. Robertson,Male
Edmund Hillary,Male
Edsger W. Dijkstra,Unknown
Edwin Hubble,Male
Eleanor Roosevelt,Female
Elizabeth II,Female
"Englewood Cliffs, New Jersey",Unknown
Estée Lauder (businesswoman),Unknown
Frances Spence,Female
Francis Crick,Male
Frank Sinatra,Male
Franklin D. Roosevelt,Male
Garry Kasparov,Male
George Boole,Male
George Dyson (science historian),Male
George VI,Male
Gerhard Herzberg,Male
Gordon Brown,Male
Gordon Welchman,Male
Grace Hopper,Female
Guido van Rossum,Male
Guildford,Unknown
Guy Hartcup,Male
Hamurabi (video game),Unknown
Hans Heilbronn,Male
Harry Hinsley,Male
Harvey Milk,Male
"Hastings Ismay, 1st Baron Ismay",Unknown
Heinz Billing,Male
Helen Keller,Female
Henry Ford,Male
Herbert Fröhlich,Male
Herbert McLean Evans,Male
Ho Chi Minh,Male
Hugh Whitemore,Male
I.J. Good,Unknown
I. J. Good,Unknown
Icons: The Greatest Person of the 20th Century,Unknown
J. A. Ratcliffe,Unknown
J. Presper Eckert,Unknown
Jack Copeland,Male
Jackie Robinson,Unknown
James Arthur Prescott,Male
James Gleick,Male
James Joyce,Male
James R. Beniger,Male
James Watson,Male
Jane Eliza Procter Fellowship,Female
Janna Levin,Female
Jarl Waldemar Lindeberg,Male
"Jean Barker, Baroness Trumpington",Male
Jean Bartik,Male
Jean Piaget,Male
Jeffrey T. Richelson,Male
Jim Henson,Male
Joan Clarke,Female
John Backus,Male
John Boyd (bacteriologist),Male
John Cocke (computer scientist),Male
John Graham-Cumming,Male
John Harper (computer engineer),Male
John Leech (politician),Male
John Makepeace Bennett,Male
John Maynard Keynes,Male
John R. Womersley,Male
"John Sharkey, Baron Sharkey",Male
John Vincent Atanasoff,Male
John W. Dawson Jr.,Male
John von Neumann,Male
Jonas Salk,Male
Jonathan Bowen,Male
Josef Kates,Male
Joseph Hutchinson,Male
Joseph Kruskal,Male
Juan Trippe,Male
Karl Lashley,Male
Kathleen Antonelli,Female
Ken Thompson,Male
Kennedy family,Female
Konrad Zuse,Male
Kurt Gödel,Male
Kurt Mendelssohn,Male
Larry Wall,Male
Lech Wałęsa,Male
Legacy of Alan Turing,Unknown
Leo Burnett,Male
Leonard Bessemer Pfeil,Male
List of things named after Alan Turing,Unknown
Lois Haibt,Female
Lorenz SZ 40/42,Male
Lorenz cipher,Male
Louis Armstrong,Male
Louis B. Mayer,Male
Lucille Ball,Female
Lucky Luciano,Unknown
Ludwig Wittgenstein,Male
Lunar Lander (video game genre),Unknown
Lytham St Annes,Unknown
Mac Hack,Male
Mahatma Gandhi,Unknown
Maida Vale,Female
Manchester Mark 1,Unknown
Manchester Withington (UK Parliament constituency),Unknown
Manchester computers,Unknown
Mao Zedong,Unknown
Margaret Hamilton (software engineer),Female
Margaret Sanger,Female
Margaret Thatcher,Female
Marilyn Monroe,Female
Marlon Brando,Male
Marlyn Meltzer,Female
Martha Graham,Female
Martin Campbell-Kelly,Male
Martin Davis (mathematician),Male
Martin Luther King Jr.,Male
"Martin Rees, Baron Rees of Ludlow",Male
Maurice Pryce,Male
Max Newman,Male
Mikhail Gorbachev,Male
Mother Teresa,Unknown
Muhammad Ali,Male
Nancy Leveson,Female
Nelson Mandela,Male
Niklaus Wirth,Male
Nimrod (computer),Male
Nolan Bushnell,Male
Oprah Winfrey,Unknown
Paul E. Ceruzzi,Male
Paul Nurse,Male
Paul Vixie,Male
Pete Rozelle,Male
Peter Hilton,Male
Petrus Johann du Toit,Male
Philo Farnsworth,Unknown
Pope John Paul II,Unknown
"Prince Philip, Duke of Edinburgh",Male
Prof: Alan Turing Decoded,Unknown
Queen Elizabeth II,Female
Rachel Carson,Female
Ralph H. Baer,Male
Ralph Walter Graystone Wyckoff,Male
Ray Kroc,Male
Reader (academic rank),Unknown
Richard Rodgers and Oscar Hammerstein,Male
Robert H. Goddard,Male
Robert Kahn (computer scientist),Male
Robin Gandy,Male
Robin Wilson (mathematician),Male
Rolf Hochhuth,Male
Ronald Lewin,Male
Ronald Reagan,Male
Rosa Parks,Female
Ruhollah Khomeini,Unknown
Ruth Teitelbaum,Female
Sam Walton,Male
Sandy Douglas,Female
Semyon Korsakov,Male
"Sessions House, Knutsford",Unknown
Sidney Frank,Male
Sigmund Freud,Male
Snow White and the Seven Dwarfs (1937 film),Unknown
"St Bartholomew's Church, Dublin",Unknown
"St John's College, Cambridge",Unknown
Stanley Frankel,Male
Stephen Bechtel Sr.,Male
Stephen Cook,Male
Stephen Hawking,Male
Stephen Kettle,Male
Stephen Wolfram,Male
Stevan Harnad,Male
Steve Russell (computer scientist),Male
Steve Wozniak,Male
Steven Spielberg,Male
Stuart Milner-Barry,Male
T. S. Eliot,Unknown
Ted Dabney,Male
Tenzing Norgay,Unknown
Thaddeus Mann,Male
Theodore Roosevelt,Male
Thomas Alan Stephenson,Male
Thomas J. Watson Jr.,Male
Thomas T. Goldsmith Jr.,Male
Tim Berners-Lee,Male
