Name,Gender
After the Fireworks: Three Novellas,Unknown
Aldous Huxley bibliography,Male
Alfred North Whitehead,Male
Andrew Huxley,Male
Anita Loos,Female
Aphantasia,Unknown
Assassination of John F. Kennedy,Unknown
Benjamin Boretz,Male
Bennett Cerf,Male
Bertrand Russell,Male
Bhagavad Gita - Song of God,Unknown
Bokanovsky's Process,Unknown
C. S. Lewis,Unknown
Charles E. Young Research Library,Male
Christopher Isherwood,Male
Cinedigm,Unknown
Clive Bell,Male
"Compton, Guildford",Unknown
D. H. Lawrence,Unknown
Dana Sawyer,Female
David Low (cartoonist),Male
Duncan Grant,Male
Edward T. Cone,Male
F. Matthias Alexander,Unknown
Garsington,Unknown
Garsington Manor,Unknown
George Cukor,Male
George Orwell,Male
Gerald Heard,Male
Greta Garbo,Female
Harold Macmillan,Male
Harry Ransom Center,Male
Humphry Osmond,Unknown
Huston Smith,Unknown
Huxley family,Unknown
Island (Huxley novel),Unknown
J. D. Unwin,Unknown
Jack Anderson (dance critic),Male
Jacob's Hands: A Fable,Unknown
James Tait Black Memorial Prize,Male
Jane Eyre (1943 film),Female
John Collier (painter),Male
John Middleton Murry,Male
John Van Druten,Male
Joseph Campbell,Male
João Ubaldo Ribeiro,Male
Julia Arnold,Female
Julian Huxley,Male
Lady Ottoline Morrell,Unknown
Laura Huxley,Female
Leonard Huxley (writer),Male
Lewis Carroll,Male
Margaret Darst Corbett,Female
Margaret Woodrow Wilson,Female
Martin Gardner,Male
Mary Augusta Ward,Female
Matthew Arnold,Male
Matthew Huxley,Male
Mescaline,Unknown
Michel Weber,Male
Mike Wallace,Male
Nicholas Murray (biographer),Male
Peter Eckersley (engineer),Male
Peter Edgerly Firchow,Male
Peter Kreeft,Male
Project Gutenberg,Unknown
Raymond Fraser,Male
Richard Alpert,Male
Robert S. de Ropp,Male
Steven Johnson (author),Male
Steven Runciman,Male
Surrey,Unknown
Swami Nikhilananda,Unknown
Swami Prabhavananda,Unknown
Sybille Bedford,Female
The Mike Wallace Interview,Female
Thomas Henry Huxley,Male
Timothy Leary,Male
Vanessa Bell,Female
Variations: Aldous Huxley in memoriam,Unknown
Walter C. Alvarez,Male
Template talk:Aldous Huxley,Unknown
