Name,Gender
Abraham Maslow,Male
Achintya Bheda Abheda,Unknown
Adam Smith,Male
Advaita Vedanta,Unknown
Africana philosophy,Unknown
Alan Turing,Male
Albert Bandura,Male
Alfred North Whitehead,Male
Allan Macartney,Male
Alvin Goldman,Male
Amos Tversky,Male
Andrew Carnegie,Male
Andy Clark,Male
Anekantavada,Unknown
"Archibald Primrose, 5th Earl of Rosebery",Male
Arthur Keith,Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
B. F. Skinner,Unknown
Bas van Fraassen,Male
Bernard Williams,Male
Bertrand Russell,Male
Bruce McEwen,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Carl Jung,Male
Carl Rogers,Male
Chan Buddhism,Male
"Charles Gordon, 11th Marquess of Huntly",Male
"Charles Ritchie, 1st Baron Ritchie of Dundee",Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Charvaka,Unknown
Christine Korsgaard,Female
Clarissa Dickson Wright,Female
Clark L. Hull,Male
Colin Bell (journalist),Male
Daniel Dennett,Male
Daniel Kahneman,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David McClelland,Male
Derek Parfit,Male
Dietrich Bonhoeffer,Male
Donald Davidson (philosopher),Male
Donald O. Hebb,Male
"Donald Smith, 1st Baron Strathcona and Mount Royal",Male
Donald T. Campbell,Male
Ed Diener,Male
Edmund Husserl,Male
"Edward Evans, 1st Baron Mountevans",Male
"Edward Maitland, Lord Barcaple",Male
Edward Thorndike,Male
Elliot Aronson,Male
Eric Linklater,Male
Erik Erikson,Male
Ernest Hilgard,Male
Etiquette,Unknown
"F. E. Smith, 1st Earl of Birkenhead",Unknown
Francis Bacon,Male
Frank Cameron Jackson,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Armitage Miller,Male
George Berkeley,Male
George Croom Robertson,Male
"George Goschen, 1st Viscount Goschen",Male
George Grote,Male
George Stout,Male
Gilbert Ryle,Male
Gordon Allport,Male
Gottfried Wilhelm Leibniz,Male
Grammar,Unknown
H. H. Asquith,Unknown
Hamish Watt,Male
Hans Reichenbach,Male
Harry Harlow,Male
Henri Bergson,Male
Henri Poincaré,Male
Henry Sidgwick,Male
Herbert A. Simon,Male
Howard Haycraft,Male
Ian Hacking,Male
Ian Hamilton (advocate),Male
Immanuel Kant,Male
Imre Lakatos,Male
Iona Fyfe,Female
Isaac Newton,Male
Ivan Pavlov,Male
J. L. Austin,Unknown
J. L. Mackie,Unknown
J. P. Guilford,Unknown
James Mill,Male
Jean Piaget,Male
Jeremy Bentham,Male
Jerome Bruner,Male
Jerome Kagan,Male
Jerry Fodor,Male
Jimmy Edwards,Male
Jo Grimond,Unknown
Johannes Peter Müller,Male
John B. Watson,Male
"John Bannerman, Baron Bannerman of Kildonan",Male
"John Buchan, 2nd Baron Tweedsmuir",Male
John Dewey,Male
"John Hunt, Baron Hunt",Male
John Locke,Male
John Rawls,Male
John Robert Anderson (psychologist),Male
"John Russell, 1st Earl Russell",Male
John Searle,Male
John Stuart Mill,Male
Joseph Butler,Male
Joseph E. LeDoux,Male
Joxe Azurmendi,Male
Karl Barth,Male
Karl Pearson,Male
Karl Popper,Male
Kurt Lewin,Male
Larry Laudan,Male
Larry Squire,Male
Lawrence Kohlberg,Male
Leon Festinger,Male
Ludwig Wittgenstein,Male
M. E. Grant Duff,Unknown
Madhyamaka,Unknown
Maggie Chapman,Female
Maitland Mackie (farmer),Unknown
Martha Nussbaum,Female
Martin Heidegger,Male
Martin Seligman,Male
Martina Chukwuma-Ezike,Female
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Michael Barratt (television presenter),Male
Michael Polanyi,Male
Michael Posner (psychologist),Male
Michael Tye (philosopher),Male
Mill's Methods,Unknown
Neal E. Miller,Male
Ned Block,Male
Noam Chomsky,Male
Otto Neurath,Male
Patricia Churchland,Female
Paul Churchland,Male
Paul Ekman,Male
Paul Tillich,Male
Peter Scott,Male
Peter Singer,Male
Philosophy of Friedrich Nietzsche,Unknown
Pierre Duhem,Male
Project Gutenberg,Unknown
R. M. Hare,Unknown
Raymond Cattell,Male
Rhoderick McGrigor,Unknown
Richard Davidson,Male
Richard E. Nisbett,Male
Richard Lazarus,Male
Richard Rorty,Male
"Robert Cecil, 1st Viscount Cecil of Chelwood",Male
"Robert Horne, 1st Viscount Horne of Slamannan",Male
Robert Merrihew Adams,Male
Robert Zajonc,Male
Robin Harper,Male
Roger Bacon,Male
Roger Brown (psychologist),Male
Ronald C. Kessler,Male
Roy Baumeister,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Shelley E. Taylor,Female
Sigmund Freud,Male
Sir Edwin Chadwick,Unknown
"Sir Frederick Treves, 1st Baronet",Unknown
Stafford Cripps,Male
Stanley Kunitz,Male
Stanley Schachter,Male
Stephen Yablo,Male
Susan Fiske,Female
Thomas Aquinas,Male
Thomas Henry Huxley,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Ulric Neisser,Male
Vienna Circle,Female
Vishishtadvaita,Unknown
Walter Elliot (Scottish politician),Male
Walter Mischel,Male
"Weetman Pearson, 1st Viscount Cowdray",Unknown
Wilhelm Windelband,Male
Wilhelm Wundt,Male
Willard Van Orman Quine,Male
William Edward Forster,Male
William Frankena,Male
William James,Male
William Minto,Male
William Paley,Male
Winston Churchill,Male
Zhuang Zhou,Unknown
