Name,Gender
Ain Saar,Male
Aleksandr Solzhenitsyn,Male
Aleksandras Štromas,Male
Alexander Bolonkin,Male
Alexander Esenin-Volpin,Male
Alexander Galich (writer),Male
Alexander Ginzburg,Male
Alexander Lavut,Male
Alexander Men,Male
Alexander Nekrich,Male
Alexander Ogorodnikov,Male
Alexander Piatigorsky,Male
Alexander Shatravka,Male
Alexander Tarasov,Male
Alexander Zinoviev,Male
Alexandr Podrabinek,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Andrei Amalrik,Male
Andrei Nikolaevich Mironov,Male
Andrei Sakharov,Male
Andrei Sinyavsky,Male
Andrei Tverdokhlebov,Male
Andrey Derevyankin,Male
Anna Barkova,Female
Anthony Wilden,Male
Anton Antonov-Ovseyenko,Male
Balys Gajauskas,Male
Benjamin Fain,Male
Bohdan Horyn,Male
Boris Chichibabin,Male
Boris Kagarlitsky,Male
Boris Korczak,Male
Boris Pasternak,Male
Boris Pustyntsev,Male
Buckminster Fuller,Unknown
Chabua Amirejibi,Unknown
Charles François (systems scientist),Male
Claude Bernard,Male
Danylo Shumuk,Male
David Devdariani,Male
Dina Kaminskaya,Female
Dmitri Prigov,Male
Dmitri Savitski,Male
Eduard Kuznetsov (dissident),Male
Eduard Limonov,Male
Efim Etkind,Male
Eliyahu Rips,Male
Enn Tarto,Male
Ephraim Kholmyansky,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Eugene Levich,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
Galina Starovoytova,Female
Genevieve Bell,Female
Geoffrey Vickers,Male
Georgi Vins,Male
Georgi Vladimov,Male
Gleb Pavlovsky,Male
Gleb Yakunin,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Grigorii Maksimov,Male
Grigory Isayev,Male
Grigory Pomerants,Male
Gunārs Astra,Male
Guram Mamulia,Male
Heinz von Foerster,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Ida Nudel,Female
Igor Aleksander,Male
Igor Guberman,Male
Iryna Senyk,Female
Ivan Drach,Male
Ivan Dziuba,Male
Ivan Hel,Male
Ivan Kandyba,Male
Ivan Svitlichny,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John N. Warfield,Male
Joseph Brodsky,Male
Jüri Kukk,Male
Jüri Lina,Male
Kevin Warwick,Male
Konstantin Paustovsky,Male
Kronid Lyubarsky,Unknown
Lagle Parek,Unknown
Larisa Bogoraz,Female
Leonid Borodin,Male
Leonid Plyushch,Male
Lev Chernyi,Male
Lev Kopelev,Male
Lev Timofeev,Male
Levko Lukyanenko,Unknown
Lina Kostenko,Female
Lyudmila Alexeyeva,Female
Maleyka Abbaszadeh,Unknown
Malva Landa,Female
Margaret Boden,Female
