Name,Gender
A. J. Ayer,Unknown
Achille Varzi (philosopher),Male
Albert Einstein,Male
Alexander Bard,Male
Alexander Macfarlane,Male
Alexius Meinong,Unknown
Alvin Plantinga,Male
Andrew Forsyth,Male
Arthur Eddington,Male
Arthur Schopenhauer,Male
Augustus De Morgan,Male
Bas van Fraassen,Male
Bernard Bolzano,Male
Bernard Loomer,Male
Bertrand Russell,Male
Bruce G. Epperly,Male
Bruno Latour,Male
C. D. Broad,Unknown
C. Robert Mesle,Unknown
Cambridge Apostle,Unknown
Carl Gustav Hempel,Male
Catherine Keller (theologian),Female
Charles Birch,Male
Charles Hartshorne,Male
Charles MAlik,Male
Charles Sanders Peirce,Male
Christian Wolff (philosopher),Male
Clifford Martin Will,Male
Conrad Hal Waddington,Male
Daniel Day Williams,Male
David Bohm,Male
David Hume,Male
David Lewis (philosopher),Male
David Lloyd George,Male
David Malet Armstrong,Male
David Ray Griffin,Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Edmund F. Robertson,Male
Edward Routh,Male
Francis Bacon,Male
Francisco Suárez,Male
Franklin I. Gamwell,Male
Friedrich Nietzsche,Male
G.E. Moore,Unknown
G. B. Mathews,Unknown
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Garrett Birkhoff,Male
Gary Dorrien,Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Boole,Male
Gifford Lectures,Male
Gifford lectures,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Gottfried Wilhelm Leibniz,Male
Grawemeyer Award,Unknown
Hans Reichenbach,Male
Henri Bergson,Male
Henri Poincaré,Male
Henry Murray,Male
Henry Nelson Wieman,Male
Henry Osborn Taylor,Male
Henry Stapp,Male
Henry Whitehead (bishop),Male
Herman Daly,Male
Hermann Grassmann,Male
Hermann Lotze,Male
Ian Hacking,Male
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Newton,Male
Ivor Grattan-Guinness,Male
James Clerk Maxwell,Male
James Joseph Sylvester,Male
Jay McDaniel,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
John B. Cobb,Male
John B. Cobb Jr.,Male
John Dewey,Male
John Lighton Synge,Male
John Locke,Male
John Searle,Male
Karl Pearson,Male
Karl Popper,Male
Kurt Gödel,Male
Larry Laudan,Male
Lie algebras,Unknown
Lucretius,Unknown
Ludwig Wittgenstein,Male
Marjorie Hewitt Suchocki,Female
"Marlborough, Wiltshire",Unknown
Martin Heidegger,Male
Mary Parker Follett,Female
Michael Dummett,Male
Michael Polanyi,Male
Michel Weber,Male
Mill's Methods,Unknown
Monica Coleman,Female
Nancy Lyman Roelker,Female
Nancy R. Howell,Female
Nicholas Rescher,Male
Nyāya Sūtras,Unknown
Otto Neurath,Male
P. F. Strawson,Unknown
P. M. Cohn,Unknown
Paul Arthur Schilpp,Male
Paul Weiss (philosopher),Male
Pierre Duhem,Male
Project Gutenberg,Unknown
R. G. Collingwood,Unknown
Raphael Demos,Male
Richard Rorty,Male
Roger Bacon,Male
Roland Faber,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Rupert Sheldrake,Male
Saul Kripke,Male
Sewall Wright,Unknown
Shailer Mathews,Unknown
Stephen Cole Kleene,Male
Subramanyan Chandrasekhar,Unknown
Susanne Langer,Female
Tarner Lectures,Unknown
Thomas Aquinas,Male
Thomas Kuhn,Male
Thomas North Whitehead,Male
Thomas Reid,Male
Timothy E. Eastman,Male
W. V. O. Quine,Unknown
Walter Selby Buckmaster,Male
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
William DeWitt Hyde,Male
William James,Male
William Rowan Hamilton,Male
William T. Parry,Male
William Temple (bishop),Male
Øystein Ore,Male
Template:Alfred North Whitehead,Unknown
Template talk:Alfred North Whitehead,Unknown
