Name,Gender
Alexander Lerner,Male
Alfred Cort Haddon,Male
Alfred North Whitehead,Male
Allenna Leonard,Unknown
Anthony Wilden,Male
Buckminster Fuller,Unknown
Charles François (systems scientist),Male
Claude Bernard,Male
Claude Lévi-Strauss,Male
Daisy Bates (author),Female
E. L. Grant Watson,Unknown
"Edward de Vere, 17th Earl of Oxford",Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Francis Heylighen,Male
Francisco Varela,Male
Fred Eggan,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John N. Warfield,Male
Kevin Warwick,Male
"King Edward's School, Birmingham",Male
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Peter Kropotkin,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Robert Trappl,Male
Rodney Needham,Male
Sergei P. Kurdyumov,Male
Sol Tax,Female
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Symbolic anthropology,Unknown
Synergetics (Haken),Unknown
Thomas Hylland Eriksen,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
W. H. R. Rivers,Unknown
W. Ross Ashby,Unknown
W. W. Rouse Ball,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
Émile Durkheim,Unknown
