Name,Gender
A. M. Turing Award,Unknown
A. Paul Alivisatos,Unknown
Abel Wolman,Male
Adi Shamir,Male
Alan Kay,Male
Alan Newell (disambiguation),Male
Alan Perlis,Male
Albert Bandura,Male
Albert Overhauser,Male
Albert Sabin,Male
Alberto Calderón,Male
Alexander Rich,Male
Alexandre Chorin,Male
Alfred Aho,Male
Alfred Sturtevant,Male
Alfred Y. Cho,Male
Allan McLeod Cormack,Male
Allan R. Sandage,Male
Allen J. Bard,Male
Allen Newell Award for Research Excellence,Male
Amir Pnueli,Male
Amnon Yariv,Male
Andrew Viterbi,Male
Andrew Yao,Male
Angela Belcher,Female
Ann Graybiel,Female
Anne Anastasi,Female
Anne Treisman,Female
Anthony Fauci,Male
Antoni Zygmund,Male
Arnold O. Beckman,Male
Arthur Kornberg,Male
Arthur L. Schawlow,Male
Avi Wigderson,Male
B. F. Skinner,Unknown
Barbara Liskov,Female
Barbara McClintock,Female
Barry Barish,Male
Barry Mazur,Male
Bernard Brodie (biochemist),Male
Bernard M. Oliver,Male
Berni Alder,Male
Bert W. O'Malley,Male
Berta Scharrer,Female
Bill Hewlett,Male
Bonnie Bassler,Female
Bradley Efron,Male
Bruce Alberts,Male
Bruce Ames,Male
Bruno B. Rossi,Male
Burton Richter,Male
Butler Lampson,Unknown
C. B. van Niel,Unknown
C. Kumar N. Patel,Unknown
Calvin F. Quate,Male
Calyampudi Radhakrishna Rao,Unknown
Carl Djerassi,Male
Carl R. de Boor,Male
Carl S. Marvel,Male
Carl Woese,Male
Charles Bachman,Male
Charles H. Townes,Male
Charles Keeling,Male
Charles P. Thacker,Male
Charles Pence Slichter,Male
Charles S. Draper,Male
Charles Yanofsky,Male
Chien-Shiung Wu,Unknown
Chu Ching-wu,Unknown
Clarence L. Johnson,Male
Claude E. Shannon,Male
Craig Venter,Male
Cynthia Dwork,Female
D. Allan Bromley,Unknown
Dana Scott,Female
Daniel C. Drucker,Male
Daniel Crevier,Male
Daniel E. Koshland Jr.,Male
Daniel I. Arnon,Male
Daniel Kleppner,Male
Daniel Nathans,Male
Darleane C. Hoffman,Unknown
David B. Mumford,Male
David Baltimore,Male
David Blackwell,Male
David G. Nathan,Male
David J. Wineland,Male
David Patterson (computer scientist),Male
Dennis Ritchie,Male
Dennis Sullivan,Male
Detlev Bronk,Male
Don L. Anderson,Male
Donald C. Spencer,Male
Donald Henderson,Male
Donald J. Cram,Male
Donald Knuth,Male
Donald L. Katz,Male
Donald Van Slyke,Male
Douglas Engelbart,Male
Dudley R. Herschbach,Male
E. Allen Emerson,Unknown
E. Donnall Thomas,Unknown
E. Margaret Burbidge,Unknown
E. O. Wilson,Unknown
Earl R. Parker,Male
Earl Reece Stadtman,Male
Earl W. Sutherland Jr.,Male
Edgar Bright Wilson,Male
Edgar F. Codd,Male
Edmund M. Clarke,Male
Edsger W. Dijkstra,Unknown
Edward B. Lewis,Male
Edward C. Stone,Male
Edward F. Knipling,Male
Edward Feigenbaum,Male
Edward H. Heinemann,Male
Edward M. Purcell,Male
Edward Teller,Male
Edward Witten,Male
Edwin Catmull,Male
Edwin H. Land,Male
Edwin M. McMillan,Male
Edwin N. Lightfoot,Male
Efraim Racker,Male
Elaine Fuchs,Female
Eleanor J. Gibson,Female
Eli Ruckenstein,Female
Elias J. Corey,Male
Elias M. Stein,Male
Elizabeth C. Crosby,Female
Elizabeth F. Neufeld,Female
Elkan Blout,Unknown
Elvin A. Kabat,Male
Emery N. Brown,Male
Emmett N. Leith,Male
Eric Kandel,Male
Ernest R. Davidson,Male
Ernst Mayr,Male
Ernst Weber (engineer),Male
Erwin Chargaff,Male
Erwin Wilhelm Müller,Male
Esther M. Conwell,Female
Eugene M. Shoemaker,Male
Eugene Parker,Male
Eugene Wigner,Male
Eve Marder,Female
Evelyn M. Witkin,Female
F. Albert Cotton,Unknown
Fay Ajzenberg-Selove,Female
Felix Browder,Male
Fernando J. Corbató,Male
Folke K. Skoog,Male
Frances Allen,Female
Francis Birch (geophysicist),Male
Francis Collins,Male
Francis Peyton Rous,Male
Francisco J. Ayala,Male
Frank H. Westheimer,Male
Frank Press,Male
Frank Ritter (professor),Male
Fred Brooks,Male
Frederick Reines,Male
Frederick Rossini,Male
Frederick Seitz,Male
Frederick Terman,Male
Fritz Albert Lipmann,Male
G. David Tilman,Unknown
G. Evelyn Hutchinson,Unknown
G. Ledyard Stebbins,Unknown
Gary Becker,Male
Gebisa Ejeta,Unknown
Gene Likens,Male
Geoffrey Hinton,Male
George Armitage Miller,Male
George Bass (archaeologist),Male
George C. Pimentel,Male
George Dantzig,Male
George E. Mueller,Male
George Emil Palade,Male
George F. Carrier,Male
George Gaylord Simpson,Male
George H. Heilmeier,Male
George Kistiakowsky,Male
George Low,Male
George M. Whitesides,Male
George Pake,Male
George S. Hammond,Male
George Stigler,Male
George Uhlenbeck,Male
George W. Housner,Male
George Wetherill,Male
Geraldine L. Richmond,Female
Gilbert F. White,Male
Gilbert Stork,Male
Glenn T. Seaborg,Male
Glenn W. Burton,Male
Gordon H. Bower,Male
Gregory Breit,Male
Gregory Petsko,Male
H. Bolton Seed,Unknown
H. Guyford Stever,Unknown
H. Richard Crane,Unknown
Hallowell Davis,Unknown
Hans A. Bethe,Male
Hans Berliner,Male
Hans Dehmelt,Male
Hans Wolfgang Liepmann,Male
