Name,Gender
Alexander Christakis,Male
Alexander Laszlo (scientist),Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Anthony Wilden,Male
Buckminster Fuller,Unknown
Béla A. Bánáthy,Male
C. West Churchman,Unknown
Charles François (systems scientist),Male
Claude Bernard,Male
David Ing,Male
David Rousseau,Male
Debora Hammond,Female
Erich von Holst,Male
Ernst von Glasersfeld,Male
Ervin László,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
G. A. Swanson,Unknown
Gary Metcalf,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George Washington University,Male
Gerald Midgley,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Harold A. Linstone,Male
Harold G. Nelson,Male
Heinz von Foerster,Male
Howard T. Odum,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Ian Mitroff,Male
Igor Aleksander,Male
J. Donald R. de Raadt,Unknown
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John Kineman,Male
John N. Warfield,Male
Kenneth D. Bailey (sociologist),Male
Kevin Warwick,Male
Len R. Troncale,Male
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Michael C. Jackson,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Peter Corning,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Ray Ison,Male
Robert Trappl,Male
Russell L. Ackoff,Male
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Timothy F. H. Allen,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
Yong Pil Rhee,Male
