Name,Gender
Aja Huang,Female
AlphaGo v. Lee Sedol,Unknown
AlphaGo versus Lee Sedol,Unknown
Bibcode (identifier),Unknown
Chen Yutian,Unknown
Chinchilla (language model),Unknown
Dan (rank),Male
David Silver (programmer),Male
Dunhuang Go Manual,Unknown
Emperor Yao,Unknown
Fuseki,Unknown
Goban (go game),Unknown
Google Pixel,Unknown
Hoensha,Unknown
Honorary Go titles,Unknown
Igo Hatsuyōron,Unknown
Kamakura jubango,Unknown
Kansai Ki-in,Unknown
Katsura (tree),Female
Kaya (tree),Female
Ke Jie,Unknown
Ko fight,Unknown
Kobayashi fuseki,Unknown
Komi (go),Unknown
Leela (software),Female
Leela Zero,Female
Monte Carlo tree search,Male
Nihon Ki-in,Unknown
Nihon Ki-in Hall of Fame,Unknown
NotebookLM,Unknown
Oskar Korschelt,Male
Rémi Coulom,Male
Shibumi (novel),Unknown
