Name,Gender
Abraham Maslow,Male
Adam Alter,Male
Albert Bandura,Male
Albert O. Hirschman,Male
Albert W. Tucker,Male
Ariel Kalil,Male
Ariel Rubinstein,Male
Armen Alchian,Male
Armin Falk,Male
Aumann's agreement theorem,Unknown
Avner Greif,Male
B. F. Skinner,Unknown
Barbara Tversky,Female
Bayesian Nash equilibrium,Unknown
Blotto game,Unknown
Brigitte C. Madrian,Female
Bruce McEwen,Male
Carl Jung,Male
Carl Rogers,Male
Carlo Trigilia,Male
Catherine C. Eckel,Female
Charles A. Holt,Male
Clark L. Hull,Male
Claude Ménard (economist),Male
Claude Shannon,Male
Coalition-proof Nash equilibrium,Unknown
Colin Camerer,Male
Dahlia Ravikovitch,Female
Dan Ariely,Male
Daniel Bromley,Male
Daniel Kahneman,Male
Daron Acemoglu,Male
David Cesarini,Male
David Halpern (psychologist),Male
David K. Levine,Male
David M. Kreps,Male
David McClelland,Male
David Ryan Just,Male
David and Goliath (book),Male
Djuradj Caranovic,Unknown
Donald Angus MacKenzie,Male
Donald B. Gillies,Male
Donald O. Hebb,Male
Donald T. Campbell,Male
Douglas Bernheim,Male
Douglass North,Male
Drew Fudenberg,Male
Ed Diener,Male
Edward Lawrence Wheelwright,Male
Edward Thorndike,Male
Edwin Boring,Male
Elliot Aronson,Male
Eric Maskin,Male
Erich Zimmermann,Male
Erik Erikson,Male
Ernest Hilgard,Male
Frank Stilwell (economist),Male
François Simiand,Male
Fred L. Block,Male
Gary McClelland,Male
Geoffrey Hodgson,Male
George Ainslie (psychologist),Male
George Armitage Miller,Male
George Katona,Male
George Loewenstein,Male
George W. Stocking Sr.,Male
Gerhard Casper,Male
Gordon Allport,Male
Graham Loomes,Male
Grawemeyer Award,Unknown
Gunnar Myrdal,Male
Harold Demsetz,Male
Harold W. Kuhn,Male
Harrison White,Male
Harry Harlow,Male
Herbert A. Simon,Male
Herbert Gintis,Male
Hersh Shefrin,Unknown
Howard Rachlin,Male
Hunter Lewis,Male
Itamar Simonson,Male
Ivan Pavlov,Male
J. P. Guilford,Unknown
James Smoot Coleman,Male
Jean-François Mertens,Unknown
Jean Piaget,Male
Jean Tirole,Male
Jeffrey R. Kling,Male
Jenia Tversky,Unknown
Jens Beckert,Male
Jerome Bruner,Male
Jerome Kagan,Male
Jesse W. Markham,Male
Joe S. Bain,Male
Joel M. Podolny,Male
John B. Watson,Male
John Conway,Male
John Dewey,Male
John Forbes Nash Jr.,Male
John Harsanyi,Male
John Kenneth Galbraith,Male
John Maurice Clark,Male
John Maynard Smith,Male
John R. Commons,Male
John Robert Anderson (psychologist),Male
John von Neumann,Male
Jonathan Nitzan,Male
Joseph E. LeDoux,Male
János Kornai,Male
Kay-Yut Chen,Unknown
Kenneth Arrow,Male
Kenneth Binmore,Male
Klaus M. Schmidt,Male
Kurt Lewin,Male
Larry Squire,Male
Lars Pålsson Syll,Male
Lawrence Kohlberg,Male
Leon Festinger,Male
Leonid Hurwicz,Male
Malcolm Gladwell,Male
Mancur Olson,Unknown
Mark Granovetter,Male
Markov perfect equilibrium,Unknown
Markov strategy,Unknown
Martin Seligman,Male
Masahiko Aoki,Male
Matthew Rabin,Male
Maya Bar-Hillel,Female
Melvin Dresher,Male
Michael Lewis,Male
Michael Norton (professor),Male
Michael Posner (psychologist),Male
Nava Ashraf,Female
Neal E. Miller,Male
Noam Chomsky,Male
Ofer Azar,Male
Olga Bondareva,Female
Oliver E. Williamson,Male
Orris C. Herfindahl,Unknown
Oskar Morgenstern,Male
Paul DiMaggio,Male
Paul Dolan (academic),Male
Paul Ekman,Male
Paul Milgrom,Male
Paul Slovic,Male
Paula England,Female
Persi Diaconis,Unknown
Rachel Croson,Female
Raymond Cattell,Male
Richard Davidson,Male
Richard E. Nisbett,Male
Richard Lazarus,Male
Richard Swedberg,Male
Richard T. Ely,Male
Richard Thaler,Male
Robert A. Brady,Male
Robert Aumann,Male
Robert Axelrod (political scientist),Male
Robert B. Wilson,Male
Robert H. Frank,Male
Robert J. Shiller,Male
Robert W. Vishny,Male
Robert Zajonc,Male
Roger Brown (psychologist),Male
Roger Myerson,Male
Ronald C. Kessler,Male
Ronald Coase,Male
Roy Baumeister,Male
Ruma Falk,Unknown
Samuel Bowles (economist),Male
Sarah Brosnan,Female
Sendhil Mullainathan,Unknown
Shelley E. Taylor,Female
Shimshon Bichler,Male
Sigmund Freud,Male
Simon Kuznets,Male
Sprague–Grundy theorem,Unknown
Stanley Schachter,Male
Stephen Duneier,Male
Steven N. S. Cheung,Male
Strong Nash equilibrium,Unknown
Susan Fiske,Female
Suzanne Scotchmer,Female
Thomas Gilovich,Male
Thomas Schelling,Male
Thorstein Veblen,Male
Tit for tat,Unknown
Traveler's dilemma,Unknown
Ulric Neisser,Male
Uri Gneezy,Male
Veblen good,Unknown
Viviana Zelizer,Female
Volunteer's dilemma,Unknown
Walter Mischel,Male
Walton Hale Hamilton,Male
Warren Samuels,Male
Werner Abelshauser,Male
Werner De Bondt,Male
Wesley Clair Mitchell,Male
Wilhelm Wundt,Male
William James,Male
William Vickrey,Male
Yom Kippur War,Unknown
Zermelo's theorem (game theory),Unknown
