Name,Gender
Chris Lattner,Male
Deepak Ahuja,Male
Drew Baglino,Male
Elon Musk's Tesla Roadster,Male
Fei-Fei Li,Unknown
Franz von Holzhausen,Male
Hiromichi Mizuno,Male
J. B. Straubel,Unknown
James Murdoch,Male
Jay Vijayan,Male
Jerome Guillen,Male
Jim Keller (engineer),Male
Joe Gebbia,Male
Kathleen Wilson-Thompson,Female
Kimbal Musk,Unknown
Larry Ellison,Male
Machine Learning,Unknown
Marc Tarpenning,Male
Martin Eberhard,Male
Optimus (robot),Unknown
Owen Diaz v. Tesla,Male
Robyn Denholm,Female
Steve Jurvetson,Male
Tesla Cybertruck,Unknown
Tesla Megacharger,Unknown
Tesla Model 3,Unknown
Tesla Model S,Unknown
Tesla Model X,Unknown
Tesla Model Y,Unknown
Tesla Network,Unknown
Tesla Semi,Unknown
Tesla Solar Roof,Unknown
Tesla Supercharger,Unknown
Tom Zhu,Male
Vaibhav Taneja,Unknown
Ze'ev Drori,Unknown
Zep Solar,Unknown
