Name,Gender
A. A. Milne,Unknown
Abraham Ben David,Male
Abu Yaqub al-Sijistani,Male
Alvin and the Chipmunks in film,Male
Antonio Franchi,Male
Azerbaijani name,Unknown
Beatrix Potter,Female
Berber name,Female
Bhagavad Gita,Unknown
Bibcode (identifier),Unknown
BoJack Horseman,Unknown
BoJack Horseman (character),Unknown
Brian Griffin,Male
Briony Fer,Female
Bruce Fogle,Male
Bugs Bunny,Unknown
Bugō,Unknown
C. S. Lewis,Unknown
Carlo Collodi,Male
Charles Darwin,Male
Charles Perrault,Male
Claes Oldenburg,Male
Clifford Nass,Male
Clippit,Unknown
Dario Floreano,Male
David Hume,Male
Dharma name,Unknown
Dian Fossey,Female
Diane Nguyen,Female
Doctor Dolittle,Unknown
Donald Duck,Male
Donald O. Hebb,Male
Dr. Seuss,Unknown
Edward Feigenbaum,Male
Energizer Bunny,Unknown
Epithet,Unknown
Equestria,Unknown
Eric Carle,Male
Eva Hesse,Female
Family Guy,Unknown
Francis Bacon,Male
Frans de Waal,Male
Fred Patten,Male
Fritz Heider,Male
Genre,Unknown
George Orwell,Male
Giuseppe Arcimboldo,Male
Grimm's Fairy Tales,Unknown
Hetalia: Axis Powers,Unknown
Howard Gardner,Male
Hugh Chisholm,Male
Igbo name,Unknown
Islamic Golden Age,Unknown
Ivan Pavlov,Male
J. R. R. Tolkien,Unknown
Jack of Fables,Male
Jane Goodall,Female
Jeffrey Moussaieff Masson,Male
John Rowe Townsend,Male
John Tenniel,Male
Julia Donaldson,Female
Kalmyk name,Unknown
Kenneth Grahame,Male
Khelrtva,Unknown
Konrad Lorenz,Male
Kumamon,Unknown
Lewis Carroll,Male
Looney Tunes,Unknown
Louise Bourgeois,Female
Lucy Lippard,Female
Marianne Simmel,Female
Mascot,Unknown
Metonymy,Unknown
Michael Fried,Male
Michelin Man,Unknown
Mickey Mouse,Male
Mizo names,Unknown
Moses Maimonides,Male
Mr. Peanutbutter,Unknown
Naming conventions of ancient Tamil country,Unknown
Neil Gaiman,Male
Nom de guerre,Unknown
"Olly, Syd and Millie",Unknown
Pierre Huber,Male
Richard Adams,Male
Roger Caillois,Male
Ronald Lockley,Male
Ronald McDonald,Male
Rudyard Kipling,Unknown
Saguna brahman,Unknown
Saint's name,Unknown
San Diego Chicken,Unknown
Shikona,Unknown
Squid Girl,Unknown
Steven Mithen,Male
Thomas the Tank Engine,Male
Tony Smith (sculptor),Male
Toy Story (franchise),Unknown
Traveller (novel),Unknown
Victoria and Albert Museum,Female
William Morton Wheeler,Male
Winnie-the-Pooh (book),Unknown
Youngme Moon,Unknown
Zeus,Unknown
