Name,Gender
A. Stephen Morse,Unknown
A. V. Balakrishnan,Unknown
Charles Stark Draper,Male
Daniel Guggenheim Medal,Male
Dimitri Bertsekas,Male
Dragoslav D. Šiljak,Male
Eliahu I. Jury,Male
Elmer G. Gilbert,Male
Galip Ulsoy,Male
Gene F. Franklin,Male
George Leitmann,Male
Hans W. Liepmann,Male
Hans Wolfgang Liepmann,Male
Harold Chestnut,Male
Harold J. Kushner,Male
Hendrik Wade Bode,Male
Henry J. Kelley,Male
Irving Lefkowitz,Male
Jason Speyer,Male
John Baras,Male
John C. Lozier,Male
John G. Truxal,Male
John R. Ragazzini Award,Male
John V. Breakwell,Male
John Zaborszky,Male
Jose B. Cruz Jr.,Male
Jürgen Schmidhuber,Male
Kumpati S. Narendra,Unknown
Lotfi A. Zadeh,Male
Manfred Morari,Male
Masayoshi Tomizuka,Male
Michael Athans,Male
Miroslav Krstić,Male
Nathaniel B. Nichols,Male
Petar V. Kokotovic,Male
Richard E. Bellman,Male
Richard E. Bellman Control Heritage Award,Male
Roger W. Brockett,Male
Rudolf E. Kálmán,Male
Rutherford Aris,Unknown
Sanjoy K. Mitter,Unknown
Stephen P. Boyd,Male
Stuart Dreyfus,Male
Thomas F. Edgar,Male
W. Harmon Ray,Unknown
Walter R. Evans,Male
Yu-Chi Ho,Unknown
Template:Richard E. Bellman Control Heritage Award,Unknown
Template talk:Richard E. Bellman Control Heritage Award,Unknown
