Name,Gender
Adobe Firefly,Unknown
Alan Turing,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Allen Newell,Male
Andrej Karpathy,Male
Andrew Ng,Male
Aurora (text-to-image model),Female
Aurora borealis,Female
Baichuan,Unknown
Bernard Widrow,Male
Bias–variance tradeoff,Unknown
Chinchilla (language model),Unknown
Claude (language model),Male
Claude Shannon,Male
David Silver (computer scientist),Male
Fei-Fei Li,Unknown
Frank Rosenblatt,Male
GPT-4,Unknown
Geoffrey Hinton,Male
Grok,Unknown
Herbert A. Simon,Male
Ian Goodfellow,Male
John Hopfield,Male
John McCarthy (computer scientist),Male
John von Neumann,Male
Joseph Weizenbaum,Male
Jürgen Schmidhuber,Male
Llama (language model),Unknown
Lotfi A. Zadeh,Male
Marvin Minsky,Male
Mickey Mouse,Male
Minerva AI,Female
MiniMax (company),Unknown
Moonshot AI,Unknown
Nathaniel Rochester (computer scientist),Male
Oliver Selfridge,Male
Paul Werbos,Male
Qwen,Unknown
Robert A. Heinlein,Male
Sam Altman,Male
Seymour Papert,Male
Stephen Grossberg,Male
Suno AI,Unknown
Tesla Cybertruck,Unknown
Tucker Carlson Tonight,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Withdrawal of Joe Biden from the 2024 United States presidential election,Unknown
Yann LeCun,Male
Yoshua Bengio,Unknown
Template:Latest preview software release/Aurora,Unknown
Template:Latest preview software release/Grok,Unknown
Template:Latest stable software release/Aurora,Unknown
Template:Latest stable software release/Grok,Unknown
