Name,Gender
A. C. Grayling,Unknown
A. E. Dyson,Unknown
A. G. Greenhill,Unknown
A. J. Ayer,Unknown
A. N. Whitehead,Unknown
A. S. Besicovitch,Unknown
Abbie Hoffman,Female
Abbé Pierre,Unknown
Abdulrazak Gurnah,Unknown
Abraham Fraenkel,Male
Adam Smith,Male
Adi Roche,Male
Adi Shankara,Male
Adolf Hitler,Male
Afrikan Spir,Unknown
Ahmed Ebrahim Haroon Jaffer,Male
Akira Kazami,Male
Al-Farabi,Unknown
Al-Ghazali,Unknown
Al Seckel,Male
Albert Bigelow,Male
Albert C. Barnes,Male
Albert Camus,Male
Albert Einstein,Male
Albert Schweitzer,Male
Albert Szent-Györgyi,Male
Alciphron (book),Unknown
Aleksandr Solzhenitsyn,Male
Alexander Kerensky,Male
Alexander Pruss,Male
Alexis de Tocqueville,Male
Alexius Meinong,Unknown
Alfred Kastler,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alfredo M. Bonanno,Male
Ali Akbar Rashad,Male
Ali Shariati,Male
Alice Crary,Female
Alice Munro,Female
All work and no play makes Jack a dull boy,Unknown
Alvar Aalto,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Alys Pearsall Smith,Female
Andrew Wiles,Male
André Gide,Male
André Gorz,Male
André and Magda Trocmé,Male
Anil Gupta (philosopher),Male
Anna Kéthly,Female
Anthony Crosland,Male
Anthony Kenny,Male
Antoine Augustin Calmet,Male
Antonio Gramsci,Male
Antonio Negri,Male
Arif Ahmed (philosopher),Male
Arnold Lupton,Male
Arthur Cayley,Male
Arthur Ernest Bishop,Male
Arthur Koestler,Male
Arthur Penty,Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Augustus Edward Hough Love,Male
Ayn Rand,Female
Ayub Khan,Unknown
B. R. Ambedkar,Unknown
B. Satya Narayan Reddy,Unknown
Barber paradox,Unknown
Barry Stevens (therapist),Male
Barry Stroud,Male
Bas van Fraassen,Male
Beatrice Webb,Female
Benjamin Constant,Male
Benjamin Franklin,Male
Benjamin Lee Whorf,Male
Benjamin Tucker,Male
Bernard Bolzano,Male
Bernard Lown,Male
Bernard Williams,Male
Bernie Sanders,Female
Bertrand Russell's philosophical views,Male
Bertrand Russell's political views,Male
Bertrand Russell's views on philosophy,Male
Bertrand Russell Peace Foundation,Male
Bertrand Russell Professorship of Philosophy,Male
Bettino Craxi,Male
Bikini Atoll,Unknown
Bjørnstjerne Bjørnson,Unknown
Bob Dylan,Male
Boris Pasternak,Male
Brock Chisholm,Male
Bryan John Birch,Male
Bukken Bruse disaster,Unknown
Bullshit Jobs,Unknown
C. D. Broad,Unknown
C. F. Powell,Unknown
Cameo appearance,Unknown
Camilo José Cela,Male
Carl Gustav Hempel,Male
Carl Schmitt,Male
Carl Spitteler,Male
Caroline Benn,Female
Caroline Lucas,Female
Caroline Moorehead,Female
Carsun Chang,Unknown
Casimir Lewy,Male
Cesare Beccaria,Male
Charles C. Price,Male
Charles Fourier,Male
Charles George Gordon,Male
Charles Hartshorne,Male
Charles Maurras,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Christopher Weeramantry,Male
Chrysippus,Unknown
Claire Wolfe,Female
Claude Ambrose Rogers,Male
Claude Lancelot,Male
Claude Simon,Male
Claus Peter Ortlieb,Male
Cleddon Hall,Unknown
Clement Attlee,Male
"Conrad Russell, 5th Earl Russell",Male
"Conrad Sebastian Robert Russell, 5th Earl Russell",Male
Continuum hypothesis,Unknown
Conway Hall,Male
Cora Diamond,Female
Creationism,Unknown
Criticism of Jesus,Unknown
Culbert Olson,Unknown
D. G. Kendall,Unknown
Dana McLean Greeley,Female
Daniel Berrigan,Male
Daniel Dennett,Male
Danilo Dolci,Male
Dante Alighieri,Male
Dario Fo,Male
David Alfaro Siqueiros,Male
David Ben-Gurion,Male
David Chalmers,Male
David Graeber,Male
David Hume,Male
David Lange,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
De Morgan's laws,Unknown
De Morgan Medal,Unknown
De re publica,Unknown
Derek Parfit,Male
Derek Walcott,Male
Desiderius Erasmus,Male
Dewi Zephaniah Phillips,Female
Dharma,Unknown
Dickinson W. Richards,Unknown
Diodorus Cronus,Unknown
Diwan Chaman Lall,Unknown
Dominique Pire,Unknown
Donald Davidson (philosopher),Male
Dora Russell,Female
Doris Lessing,Female
Douglas Spalding,Male
Duncan Pritchard,Male
Dwight D. Eisenhower,Male
E.C. Quaye,Unknown
E. M. L. Odjidja,Unknown
E. T. Whittaker,Unknown
E. W. Hobson,Unknown
Earl Russell,Male
Edgar Faure,Male
Edmund Burke,Male
Edmund Gettier,Male
Edris Rice-Wray Carson,Male
Eduard Bernstein,Male
Edward Bellamy,Male
Edward Calvin Kendall,Male
Edward Charles Titchmarsh,Male
Edward Condon,Male
Edward FitzGerald (mountaineer),Male
Edward J. Sparling,Male
Edward Sapir,Male
"Edward Stanley, 2nd Baron Stanley of Alderley",Male
Edward VIII of the United Kingdom,Male
Eiffel Tower,Unknown
Elias Canetti,Male
Eric Chappelow,Male
Eric Voegelin,Male
Erich Fromm,Male
Erich Kahler,Male
Erik Axel Karlfeldt,Male
Ernest Gellner,Male
Ernest Hemingway,Male
Ernest Nagel,Male
Ernest Renan,Male
Ernest Sosa,Male
Ernesto Laclau,Male
Ernst Cassirer,Male
Ernst Haeckel,Male
Ernst Troeltsch,Male
Ernst Wigforss,Male
Ernst Zermelo,Male
Eugene O'Neill,Male
Eugene V. Debs,Male
Eugenio Barba,Male
Eugenio Montale,Male
Evo Morales,Unknown
Eyvind Johnson,Male
Ezequiel Padilla Peñaloza,Male
Felipe González,Male
Felix Klein,Male
Felix Pirani,Male
Ferdinand Lassalle,Male
Formulario mathematico,Unknown
"Frances Russell, Countess Russell",Female
Francis Fukuyama,Male
Francisco Orlich Bolmarcich,Male
Francisco Suárez,Male
Franco Berardi,Male
Frank P. Ramsey,Male
"Frank Russell, 2nd Earl Russell",Male
Frans Eemil Sillanpää,Male
Franz Boas,Male
François Mauriac,Male
Fred Dretske,Male
Freda Meissner-Blau,Female
Frederick Sanger,Male
Free Thought and Official Propaganda,Unknown
Friedrich Ebert,Male
Friedrich Engels,Male
Friedrich Hayek,Male
Friedrich Nietzsche,Male
Friedrich Schleiermacher,Male
Friedrich Waismann,Male
Frithjof Schuon,Male
Fritz Mauthner,Male
G. D. H. Cole,Unknown
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
G. H. Hardy,Unknown
G. I. Taylor,Unknown
Gabriel García Márquez,Male
Gabriel Marcel,Male
Gabriela Mistral,Female
Gaetano Mosca,Male
Gao Xingjian,Unknown
Gemistos Plethon,Unknown
Georg Kreisel,Male
Georg Wilhelm Friedrich Hegel,Male
George Adam Pfeiffer,Male
George Berkeley,Male
George Bernard Shaw,Male
George Edward Moore,Male
George I. Mavrodes,Male
George MacLeod,Male
George Neville Watson,Male
George Santayana,Male
George VI,Male
Georges Sorel,Male
Georgi Plekhanov,Male
Georgia Lloyd,Female
Gerard Piel,Male
Gerhart Hauptmann,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giorgio Agamben,Male
Giovanni Gentile,Male
Giovanni Pico della Mirandola,Male
Giuseppe Mazzini,Male
Giuseppe Peano,Male
Glass cliff,Unknown
Godesberg Program,Unknown
Godfrey Harold Hardy,Male
Gordon Brown,Male
Gordon Edwards (scientist),Male
Gottfried Wilhelm Leibniz,Male
Graham Higman,Male
Graham Priest,Male
Gregorio Bermann,Male
Gustave Le Bon,Male
Guy Debord,Male
Günter Grass,Male
H. F. Baker,Unknown
HM Prison Brixton,Unknown
Hannah Arendt,Female
Hans-Hermann Hoppe,Unknown
Hans Hahn (mathematician),Male
Hans Magnus Enzensberger,Male
Hans Reichenbach,Male
Harald Høffding,Male
Harold Pinter,Male
Harold Wilson,Male
Harry Martinson,Male
Harvey Mansfield,Male
Heinrich Böll,Male
Helen Caldicott,Female
Helen Clark,Female
Henri Bergson,Male
Henri Laugier,Male
Henri de Saint-Simon,Male
"Henrietta Stanley, Baroness Stanley of Alderley",Female
Henrik Pontoppidan,Male
Henry David Thoreau,Male
"Henry St John, 1st Viscount Bolingbroke",Male
Henry Usborne,Male
Henryk Sienkiewicz,Male
Herbert Marcuse,Male
Herbert Spencer,Male
Hermann Gmeiner,Male
Hermann Hesse,Male
Hermann Joseph Muller,Male
Hermann Lotze,Male
Herta Müller,Female
Hilary Kornblith,Female
Hiroo Ōhara,Male
Hjalmar Branting,Male
Hobbes's moral and political philosophy,Unknown
Horace M. Kallen,Male
Hugh B. Hester,Male
Hugh Gaitskell,Male
Hugh J. Schonfield,Male
Hugh Trevor-Roper,Male
Ian Hacking,Male
Ibn Khaldun,Unknown
Ignacy Daszyński,Male
Immanuel Kant,Male
Imre Kertész,Male
Inder Kumar Gujral,Male
Indira Gandhi,Female
Ingmar Bergman,Male
Irving Copi,Male
Irène de Lipkowski,Female
Isaac Bashevis Singer,Male
Isaac Newton,Male
Isaiah Berlin,Male
Ivan Bunin,Male
Ivan Illich,Male
Ivor Grattan-Guinness,Male
J. B. Priestley,Unknown
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
J. Larmor,Unknown
J. M. Coetzee,Unknown
J. M. G. Le Clézio,Unknown
J. S. Woodsworth,Unknown
J. W. L. Glaisher,Unknown
J. W. S. Cassels,Unknown
Jaakko Hintikka,Male
Jacinda Ardern,Unknown
Jacinto Benavente,Male
Jack Layton,Male
Jackie Hudson,Unknown
Jacques Derrida,Male
Jaegwon Kim,Unknown
James Burnham,Male
James Callaghan,Male
James F. Conant,Male
James Joseph Sylvester,Male
James Madison,Male
James Pryor,Male
James VI and I,Male
James Ward (psychologist),Male
Jaramogi Oginga Odinga,Unknown
Jaroslav Seifert,Male
Jawaharlal Nehru,Unknown
Jean-Jacques Rousseau,Unknown
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jean Bodin,Male
Jean Bricmont,Male
Jean Jaurès,Male
Jean Kay,Male
Jean Orcel,Male
Jens Scheer,Male
Jeremy Bentham,Male
Jeremy Corbyn,Male
Jeremy Rifkin,Male
Jerry Fodor,Male
Jerry Rubin,Male
Jim Green (activist),Male
Johann Gottfried Herder,Male
Johann Gottlieb Fichte,Male
Johannes V. Jensen,Male
John Arden,Male
John Boyd Orr,Male
John Calvin,Male
John Collins (priest),Male
"John Conrad Russell, 4th Earl Russell",Male
John Curtin,Male
John Dewey,Male
John Dupré,Male
John Edensor Littlewood,Male
John F. Kennedy,Male
John F. Kennedy assassination,Male
John Foster (MP for Northwich),Male
John Foster Dulles,Male
John Freeman (British politician),Male
John Galsworthy,Male
John Gofman,Male
John Griggs Thompson,Male
John Lewis (philosopher),Male
John Locke,Male
John McDowell,Male
John Milton,Male
John Rawls,Male
"John Russell, 1st Earl Russell",Male
"John Russell, 4th Earl Russell",Male
"John Russell, Viscount Amberley",Male
John Searle,Male
John Steinbeck,Male
John Stuart Mill,Male
John Wilkins,Male
"John William Strutt, 3rd Baron Rayleigh",Male
John Zerzan,Male
John von Neumann,Male
Jon Fosse,Male
Jonathan Schell,Male
Josef Pieper,Male
Joseph Brodsky,Male
Joseph Conrad,Male
Joseph Maréchal,Male
Joseph Rotblat,Male
Joseph de Maistre,Male
José Batlle y Ordóñez,Male
José Echegaray,Male
José Figueres Ferrer,Male
José Ortega y Gasset,Male
José Saramago,Male
João Goulart,Male
Juan Donoso Cortés,Male
Juan Ramón Jiménez,Male
Julius Nyerere,Male
Jørn Utzon,Male
Jürgen Habermas,Male
K. F. Roth,Unknown
Kalinga Prize,Unknown
Kaoru Ōta,Female
Karl Adolph Gjellerup,Male
Karl Barth,Male
Karl Christian Friedrich Krause,Male
Karl Kautsky,Male
Karl Liebknecht,Male
Karl Ludwig von Haller,Male
Karl Marx,Male
Karl Polanyi,Male
Karl Popper,Male
Kate Hudson (activist),Female
"Katharine Russell, Viscountess Amberley",Female
Katharine Tait,Female
Kay Boyle,Male
Kazuo Ishiguro,Male
Keir Hardie,Male
Keith DeRose,Male
Keith Donnellan,Male
Keith William Morton,Male
Kenzō Matsumura,Unknown
King James Version,Male
Kingston Russell,Unknown
Knut Hamsun,Male
Koeberg Alert,Unknown
Kripke–Platek set theory,Unknown
Krzysztof Kieślowski,Male
Kurt Alder,Male
Kurt Gödel,Male
Kurt Mahler,Male
L. Susan Brown,Unknown
La Estrella de Panamá,Unknown
Lady Constance Malleson,Unknown
Lady Katharine Tait,Unknown
Lady Ottoline Morrell,Unknown
Lars von Trier,Male
Laurence BonJour,Female
Laurence Olivier,Female
Lee Harvey Oswald,Male
Leo Strauss,Male
Leonard Bloomfield,Male
Leonardo Bruni,Male
Lev Shestov,Male
Lev Vygotsky,Male
Leviathan (Hobbes book),Unknown
"Lewis Silkin, 1st Baron Silkin",Male
Lionel Robbins,Male
Lionel Rogosin,Male
Logicomix,Unknown
Louis Blanc,Male
Louis Mordell,Male
Louis de Bonald,Male
Louise Glück,Female
Loyal Rue,Male
Lucretius,Unknown
Lucy Donnelly,Female
Ludwig Wittgenstein,Male
Ludwig von Mises,Male
Lázaro Cárdenas,Unknown
M. S. Arnoni,Unknown
Macfarlane Burnet,Unknown
Madeleine Bunting,Female
Mahatma Gandhi,Unknown
