Name,Gender
Accuracy and precision,Unknown
Adobe Firefly,Unknown
Alan Turing,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Allen Newell,Male
Andrej Karpathy,Male
Andrew Ng,Male
Aurora (text-to-image model),Female
Bernard Widrow,Male
Bias of an estimator,Unknown
Bibcode (identifier),Unknown
Chinchilla (language model),Unknown
Claude (language model),Male
Claude Shannon,Male
Cramér–Rao bound,Unknown
Daniela Witten,Female
David Silver (computer scientist),Male
Fei-Fei Li,Unknown
Frank Rosenblatt,Male
GPT-4,Unknown
Geoff Webb,Male
Geoffrey Hinton,Male
Gerd Gigerenzer,Male
Grok (chatbot),Unknown
Herbert A. Simon,Male
Hidden Markov model,Unknown
Ian Goodfellow,Male
Jerome H. Friedman,Male
John Hopfield,Male
John McCarthy (computer scientist),Male
John von Neumann,Male
Joseph Weizenbaum,Male
Jürgen Schmidhuber,Male
Lasso (statistics),Unknown
Llama (language model),Unknown
Lotfi A. Zadeh,Male
Markov chain Monte Carlo,Unknown
Marvin Minsky,Male
MiniMax (company),Unknown
Nathaniel Rochester (computer scientist),Male
Neuro-symbolic AI,Unknown
Oliver Selfridge,Male
Paul Werbos,Male
Pedro Domingos,Male
Qwen,Unknown
Ridge regression,Unknown
Robert Tibshirani,Male
Seymour Papert,Male
Stephen Grossberg,Male
Stuart Geman,Male
Suno AI,Unknown
Thomas G. Dietterich,Male
Trevor Hastie,Male
Variance,Unknown
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Yann LeCun,Male
Yoshua Bengio,Unknown
