Name,Gender
A. R. Rahman,Unknown
A. Sivathanu Pillai,Unknown
A. V. Rama Rao,Unknown
Aamir Khan,Male
Abdul Rashid Khan,Male
Abhijit Sen,Unknown
Abigail Johnson,Female
Addie L. Wyatt,Female
Adolf Hitler,Male
Ajai Chowdhry,Unknown
Ajit Jain,Male
Akio Morita,Male
Alan Greenspan,Male
Alan Khazei,Male
Alan Turing,Male
Albert Einstein,Male
Alexander Fleming,Male
Alexander Kadakin,Male
Alicia Garza,Female
Alison Cheek,Female
Allard Lowenstein,Male
Altamira Software,Unknown
Amadeo Giannini,Male
Amber Lynn Coffman,Female
Ambrish Mithal,Unknown
Amol Rajan,Unknown
Amy Hood,Female
Anderson Cooper,Male
Andrea Jaeger,Female
Andrei Sakharov,Male
Andrew Carnegie,Male
Andrew Grove,Male
Andrew Shue,Male
Angela Merkel,Female
Anil Bordia,Male
Anita Desai,Female
Anne Buydens,Female
Anne Donahue,Female
Anne Frank,Female
Anthony Fauci,Male
Anthony Michael Hall,Male
Anthony Shriver,Male
Anupam Kher,Male
Anwar Sadat,Male
Aretha Franklin,Female
Arne Duncan,Male
Arogyaswami Paulraj,Unknown
Arpita Singh,Female
Art Buchwald,Male
Arthur Ashe,Male
Arthur F. Burns,Male
Ashok Laxmanrao Kukade,Male
Ashok Seth,Male
Ashoke Sen,Unknown
B. K. Chaturvedi,Unknown
B. M. Hegde,Unknown
B. Muthuraman,Unknown
B. N. Suresh,Unknown
Balagangadharanatha Swamiji,Unknown
Balasaheb Vikhe Patil,Unknown
Barack Obama,Male
Barbara Bush,Female
Barbara Jordan,Female
Bart Simpson,Male
Becoming Warren Buffett,Unknown
Ben Bernanke,Male
Ben Bridge Jeweler,Male
Benjamin Carson,Male
Benjamin Shuldiner,Male
Berkshire Hathaway,Unknown
Berkshire Hathaway Assurance,Unknown
Bernard Powell,Male
Betty Ford,Female
Bikash Sinha,Male
Bill Clinton,Male
Bill Gates' flower fly,Male
Bill Gates's house,Male
Bill Gates (disambiguation),Male
Bill Gates Sr.,Male
Bill Shore,Male
Bill W.,Male
Billy Graham,Male
Bipan Chandra,Unknown
Blue Skies (Irving Berlin song),Unknown
Bob Dole,Male
Bob Dylan,Male
Bob Faith,Male
Bob Hope,Male
Bob Michel,Male
Bobby Jindal,Male
Bono,Male
Brad D. Smith,Male
Brad Davis (soccer),Male
Brad Smith (American lawyer),Male
Breakthrough Energy,Unknown
Brian Kreiter,Male
Brian Lamb,Male
Brian Westbrook,Male
Brittany Bergquist,Female
Bruce Lee,Male
Bruce Ritter,Male
Buddhadev Das Gupta,Unknown
Budhaditya Mukherjee,Unknown
C. Everett Koop,Unknown
C. P. Krishnan Nair,Unknown
C. V. Chandrasekhar,Unknown
C Sharp (programming language),Unknown
Capital Gazette shooting,Unknown
Carl Cook,Male
Carla Anderson Hills,Female
Carla Hills,Female
Carlos A. Rodriguez,Male
Carlos Slim,Male
Carlton Forge Works,Male
Carol Sutton (journalist),Female
Carolina Dybeck Happe,Female
Catherine MacGregor,Female
Cesar Chavez,Male
Chad Pregracke,Male
Charles Best (businessman),Male
Charles E. Merrill,Male
Charles H. Townes,Male
Charles Koch,Male
Charles Lindbergh,Male
Charles Scharf,Male
Charles Stark Draper,Male
Charles de Gaulle,Male
Charlie Chaplin,Male
Charlie Kimball,Male
Charlie Munger,Male
Che Guevara,Unknown
Chhannulal Mishra,Unknown
Chiang Kai-shek,Unknown
Chippewa Boots,Unknown
Cho Ramaswamy,Unknown
Christos Papadimitriou,Male
Chuck Schumer,Male
Claude Pepper,Male
Clayton Homes,Male
Coco Chanel,Female
Coleen Rowley,Female
Colin Powell,Male
Common Core,Unknown
Condoleezza Rice,Unknown
Corazon Aquino,Female
Corinne Hindes,Female
Cory Booker,Male
Craig Hatkoff,Male
Craig Mundie,Male
Curtis Granderson,Male
Cynthia Cooper (accountant),Female
Dalveer Bhandari,Unknown
Dan Gilbert,Male
Daniel Patrick Moynihan,Male
Darell Hammond,Male
Darshan Lal Jain,Male
Dashrath Patel,Unknown
Dave Pelzer,Male
Davey Alba,Male
David Ben-Gurion,Male
David Boies,Male
David Cameron,Male
David Frawley,Male
David Gottesman,Male
David Ho,Male
David Keith (scientist),Male
David Petraeus,Male
David Rockefeller,Male
David Sarnoff,Male
David Stockman,Male
Dayananda Saraswati (Arsha Vidya),Unknown
Deng Xiaoping,Unknown
Denis Hayes,Male
Dennis Washington,Male
Dennis Yao,Male
Dereck Faulkner,Male
Deval Patrick,Unknown
Devi Shetty,Female
Deviprasad Dwivedi,Unknown
Dharmendra,Unknown
Dhirubhai Thaker,Unknown
"Diana, Princess of Wales",Unknown
Diario Oficial de la Federación,Unknown
Dick Cheney,Male
Dirk Nowitzki,Male
Dolores Huerta,Female
Donald A. Glaser,Male
Donald Trump,Male
Dorothy Height,Female
Drew Brees,Male
Dwight D. Eisenhower,Male
Dwight Howard,Male
E. T. Narayanan Mooss,Unknown
Ed Roberts (computers),Male
Edina Realty,Female
Edmund Hillary,Male
Edward D. Berkowitz,Male
Edward Jagen,Male
Edward Mills Purcell,Male
Edward Teller,Male
Edwin Hubble,Male
Elayne Bennett,Female
Eleanor Roosevelt,Female
Elie Wiesel,Male
Elizabeth Dole,Female
Elizabeth II,Female
Ellie Duke,Female
Elliot Richardson,Male
Emilio Segrè,Male
Emma Lindle,Female
Emma Walmsley,Female
Emmett Tyrrell,Male
Eric Decker,Male
Ernest Garcia II,Male
Ernie Els,Male
Estée Lauder (businesswoman),Unknown
Eugene Lang,Male
Eunice Shriver,Female
F. W. de Klerk,Unknown
FASA Studio,Unknown
Faisal of Saudi Arabia,Male
Faith Hill,Female
Fareed Zakaria,Unknown
Faye Wattleton,Female
Francis Crick,Male
Frank Borman,Male
Frank Gehry,Male
Frank L. VanderSloot,Male
Frank Sinatra,Male
Franklin D. Roosevelt,Male
François Hollande,Male
Frasier,Male
Fred Jackson (running back),Male
Fred L. Shuttlesworth,Male
G. P. Chopra,Unknown
G. V. Krishna Reddy,Unknown
Gabby Giffords,Unknown
Gail Miller (businesswoman),Female
Gary Kildall,Male
Gary Tharaldson,Male
Gayatri Chakravorty Spivak,Female
Gen Re,Unknown
George Beadle,Male
George C. Marshall,Male
George H. W. Bush,Male
George J. Mitchell,Male
George Shultz,Male
George W. Bush,Male
George Yeo,Male
Ginetta Sagan,Female
Ginkgo Bioworks,Unknown
Glen Taylor,Male
Gokulotsavji Maharaj,Unknown
Gordon Brown,Male
Greg Abel,Male
Greg Mortenson,Male
Greg Nance,Male
Greg Whitten,Male
Greta Thunberg,Female
Gulam Mohammed Sheikh,Male
Haile Selassie,Male
Harold Hamm,Male
Harry Belafonte,Male
Harry Blackmun,Male
Harry Connick Jr.,Male
Harry R. Lewis,Male
Harry S. Truman,Male
Harry Shum,Male
Harry Stine (businessman),Male
Harvard John A. Paulson School of Engineering and Applied Sciences,Unknown
Harvey Milk,Male
Helen Hayes,Female
Helen Keller,Female
Henry Cisneros,Male
Henry Ford,Male
Henry Kissinger,Male
Ho Chi Minh,Male
Homi K. Bhabha,Unknown
Howard Baker,Male
Howard Graham Buffett,Male
Howard Jarvis,Male
Howard Rusk,Male
Hubert Humphrey,Male
Hugh S. Johnson,Male
Hukmdev Narayan Yadav,Unknown
I. King Jordan,Unknown
Indu Jain,Female
Inside Bill's Brain: Decoding Bill Gates,Unknown
Irving Brown,Male
Isidor Isaac Rabi,Male
Ivan Hageman,Male
J. Peter Grace,Unknown
J. S. Verma,Unknown
Jack Andraka,Male
Jack Nicklaus,Male
Jack Sock,Male
Jackie Robinson,Unknown
Jacobin (magazine),Unknown
Jagdish Chandra Kapur,Male
Jahnu Barua,Unknown
Jaime Escalante,Male
James Baker,Male
James Brady,Male
James Duff (businessman),Male
James E. Burke,Male
James F. Byrnes,Male
James Goodnight,Male
James Joyce,Male
James Thrash,Male
James Van Allen,Male
James W. Rouse,Male
James Watson,Male
Jane Rosenthal,Female
Jaspal Bhatti,Male
Jatin Das (painter),Unknown
Jean Piaget,Male
Jeff Bezos,Male
Jeff Karstens,Male
Jeff Saturday,Male
Jeff Skoll,Male
Jeff Yass,Male
Jeffrey Epstein,Male
Jeffrey Sachs,Male
Jennifer Staple,Female
Jeremy Affeldt,Male
Jerry Lewis,Male
Jerry Pournelle,Male
Jerry Reinsdorf,Male
Jesse Jackson,Male
Jessica Singer,Female
Jessie Mintz,Female
Jill Ker Conway,Female
Jim Gibbons (US executive),Male
Jim Henson,Male
Jim Kelly,Male
Jim Lovell,Male
Jim Mattis,Male
Jim Walton,Male
Jimmy Carter,Male
Jimmy Fallon,Male
Jimmy Rane,Male
Joanne Woodward,Female
Joe Belfiore,Male
Joe Biden,Male
Joe Lieberman,Male
Joe Manchin,Male
Joe Togani,Male
Joe Torre,Male
John Abele,Male
John Barrasso,Male
John D. Rockefeller,Male
John D. Rockefeller III,Male
John F. Kennedy,Male
John Foster Dulles,Male
John Franklin Enders,Male
John Franklyn Mars,Male
John Glenn,Male
John Isner,Male
John Lewis,Male
John Maynard Keynes,Male
John Menard Jr.,Male
John Opel,Male
John Sirica,Male
John Steele Gordon,Male
John T. Chambers,Male
John W. Gardner,Male
John W. Stanton,Male
John W. Thompson,Male
John Wiley & Sons,Male
Johnny Morris (businessman),Male
Jonas Salk,Male
Jonathan M. Nelson,Male
Jonathan Rubini,Male
Jorge Sampaio,Male
Joseph Stalin,Male
Joseph Yablonski,Male
Joshua Lederberg,Male
José Pereira (scholar),Male
Juan Trippe,Male
Julie Foudy,Female
Justin Tuck,Male
Jyeshtharaj Joshi,Unknown
Kallam Anji Reddy,Unknown
Kamal Haasan,Male
Kamala Harris,Female
Kamala Harris 2024 presidential campaign,Female
Kanak Rele,Unknown
Katharine Graham,Female
Katherine Foronda,Female
Kathleen Byerly,Female
Kathleen Hogan,Female
Katrine Krisebom,Female
Keki Byramjee Grant,Unknown
Kelly Voigt,Female
Ken Burns,Male
Ken Starr,Male
Kennedy family,Female
Kenneth A. Gibson,Male
Kent Brantly,Male
Kevin Scott (computer scientist),Male
Khadg Singh Valdiya,Unknown
Khaled Choudhury,Male
Kimi Gray,Female
Kirk Douglas,Male
Kirsten Lodal,Female
Konrad Adenauer,Male
Koppillil Radhakrishnan,Unknown
Kraft Heinz,Unknown
Kris Gopalakrishnan,Male
Krishen Khanna,Unknown
Kuldip Nayar,Male
Kumudini Lakhia,Unknown
Kurt Gödel,Male
Kushal Pal Singh,Unknown
Kuzhur Narayana Marar,Unknown
Kyaw Soe Oo,Unknown
Kyle Zimmer,Female
Lance Armstrong,Male
Lauren Bush,Female
Laurie Hernandez,Female
Lauryn Williams,Female
Laxman Pai,Unknown
Leander Paes,Male
Lech Wałęsa,Male
Lee Hamilton,Male
Lee Iacocca,Male
Leo Burnett,Male
Leo Cherne,Male
Leon Sullivan,Male
Leonard Hyde,Male
Leonardo da Vinci,Male
Les Wexner,Male
Lindsay Hyde,Female
List of Padma Bhushan award recipients (1954–1959),Unknown
List of Padma Bhushan award recipients (1960–1969),Unknown
List of Padma Bhushan award recipients (1970–1979),Unknown
List of Padma Bhushan award recipients (1980–1989),Unknown
List of Padma Bhushan award recipients (1990–1999),Unknown
List of Padma Bhushan award recipients (2000–2009),Unknown
List of Padma Bhushan award recipients (2010–2019),Unknown
List of Padma Bhushan award recipients (2020–2029),Unknown
List of assets owned by Berkshire Hathaway,Unknown
Lloyd Rudolph,Male
Louis Armstrong,Male
Louis B. Mayer,Male
Lucille Ball,Female
Lucky Luciano,Unknown
Ludwig Wittgenstein,Male
Lukas Walton,Male
Lyndon B. Johnson,Male
M. Mahadevappa,Unknown
M. N. Buch,Unknown
M. S. Banga,Unknown
M. S. Gopalakrishnan,Unknown
M. S. Raghunathan,Unknown
M. V. Subbiah,Unknown
MITS Altair 8800,Unknown
MS Dhoni,Unknown
Madeleine Albright,Female
Madhusudan Dhaky,Unknown
Magna cum laude,Female
Maharaj Kishan Bhan,Unknown
Mahatma Gandhi,Unknown
Mangesh Padgaonkar,Unknown
Manjul Bhargava,Unknown
Mao Zedong,Unknown
Marc Buoniconti,Male
Marc Tracy,Male
Margaret Sanger,Female
Margaret Thatcher,Female
Maria Keller,Female
Maria Ressa,Female
Marian Wright Edelman,Male
Marilyn Monroe,Female
Mark Ein,Male
Mark Gordon (politician),Male
Mark Hurd,Male
Mark Zuckerberg,Male
Marlee Matlin,Female
Marlo Thomas,Female
Marlon Brando,Male
Marquis Jet,Male
Martha Graham,Female
Martin Luther King Jr.,Male
Marty Lyons,Male
Marva Collins,Female
Mary Kom,Female
Mary Maxwell Gates,Female
Mathilde Krim,Female
Matthew Meyer,Male
Maude E. Callen,Female
Max Cleland,Male
Maynard Jackson,Male
MeToo movement,Unknown
Melinda Gates,Female
Michael Bloomberg,Male
Michael Danziger,Male
Michael Halvorson,Male
Microsoft Bing,Unknown
Microsoft Bob,Unknown
Microsoft Store (retail),Unknown
Mike Mansfield,Male
Mike McCready,Male
Mikhail Gorbachev,Male
Millard Fuller,Male
Mimi Gardner Gates,Female
Miriam Adelson,Female
Mohammad Amin (historian),Male
Mohammad Mosaddegh,Male
Mohammed Zahur Khayyam,Male
Mohammed bin Salman,Male
Mordecai Scott,Male
Mother Teresa,Unknown
Mrityunjay Athreya,Unknown
Muhammad Ali,Male
N. Gopalaswami,Unknown
N. H. Wadia,Unknown
N. S. Ramanuja Tatacharya,Unknown
N. Vittal,Unknown
Nambi Narayanan,Unknown
Nancy Brinker,Female
Narayanan Vaghul,Unknown
Narendra Modi,Unknown
Nathan Myhrvold,Male
Nayel Nassar,Unknown
Neelam Kler,Female
Neil Konzen,Male
Neilesh Patel,Unknown
Nelson Mandela,Male
Newt Gingrich,Male
Nick Bostrom,Male
Nick Hebert,Male
Nnamdi Asomugha,Unknown
Nookala Chinna Satyanarayana,Unknown
Norman Borlaug,Male
Noshir M. Shroff,Unknown
Oprah Winfrey,Unknown
Oseola McCarty,Unknown
Owen D. Young,Male
P. Chandrasekhara Rao,Unknown
P. K. Warrier,Unknown
P. R. Dubhashi,Unknown
Padma Bhushan,Female
Padmanabhan Balaram,Unknown
Pamela Hawley,Female
Pankaj Advani (billiards player),Male
Pat LaFontaine,Unknown
Patrick Ip,Male
Patrick Leahy,Male
Patrick O. Brown,Male
Paul Allen,Male
Paul Farmer,Male
Paul Mellon,Male
Paul Newman,Male
Paul Nitze,Male
Paul Pierce,Male
Paul Volcker,Male
Pearl Jam,Female
Pedro José Greer,Male
Penny Pritzker,Female
Perceptive Pixel,Unknown
Pete Rozelle,Male
Peter Diamandis,Male
Peter Rinearson,Male
Peter Ueberroth,Male
Peter W. Rodino,Male
Peyton Manning,Unknown
Phil Knight,Male
Phil Spencer (business executive),Male
Philip Anschutz,Male
Philipose Mar Chrysostom Mar Thoma,Unknown
Philippe Kahn,Male
Philo Farnsworth,Unknown
Pierre Laval,Male
Pierre Omidyar,Male
Playground Games,Unknown
Pope Francis,Unknown
Pope John Paul II,Unknown
Pope John XXIII,Unknown
Pullela Gopichand,Unknown
Puttaraj Gawai,Unknown
Queen Rania of Jordan,Female
R. C. Bhargava,Unknown
