Name,Gender
Allan L. Scherr,Male
Amanda Randles,Female
Andy Bechtolsheim,Male
B. S.,Unknown
Bob Fabry,Male
Brian Reid (computer scientist),Male
Brian W. Kernighan,Male
Chris Anderson (writer),Male
Constantinos Daskalakis,Unknown
Craig Gentry (computer scientist),Male
Dan Ingalls,Male
Dan Klein,Male
Daniel S. Bricklin,Male
Danny Hillis,Male
Darwin (operating system),Male
Dawson Engler,Male
Dina Katabi,Female
Donald Knuth,Male
Edward H. Shortliffe,Male
Eric Schmidt,Male
Feng-hsiung Hsu,Unknown
Friedrich Hayek,Male
George N. Baird,Male
George Necula,Male
Grace Murray Hopper Award,Female
Guy L. Steele Jr.,Male
Java (programming language),Unknown
Java (software platform),Unknown
Java Community Process,Unknown
Jeffrey Heer,Male
Jennifer Rexford,Female
Jini,Unknown
John Gage,Male
John Markoff,Male
John Ousterhout,Male
Jordan Hubbard,Male
Junos OS,Unknown
Keith Bostic (software engineer),Male
Ken Thompson,Male
Kleiner Perkins,Unknown
Lawrence M. Breed,Male
Luis von Ahn,Male
Lustre (file system),Unknown
Lydia Kavraki,Female
Lynne Jolitz,Female
M. S.,Unknown
MacOS,Unknown
Maria-Florina Balcan,Unknown
Marshall Kirk McKusick,Male
Martin Casado,Male
Matthew Dillon,Male
Michael J. Freedman,Male
Michael J. Karels,Male
MirOS BSD,Unknown
Mohammad Alizadeh,Male
NetBSD,Unknown
Oracle Labs,Unknown
Paul H. Cress,Male
Paul H. Dirksen,Male
Pedro Felipe Felzenszwalb,Male
Prateek Mittal,Unknown
Ramakrishnan Srikant,Unknown
Ray Kurzweil,Male
Richard H. Lathwell,Male
Richard Stallman,Male
Rob Pike,Male
Robert Metcalfe,Male
Roger Moore (computer scientist),Male
Samuel Leffler,Male
Scott McNealy,Male
Shafi Goldwasser,Unknown
Shyamnath Gollakota,Unknown
Solaris (operating system),Unknown
Stephen W. Keckler,Male
Steve Wozniak,Male
Sun Blade,Unknown
Sun Blade (workstation),Unknown
Sun Java System,Unknown
Sun Ray,Unknown
Sylvia Ratnasamy,Female
TED (conference),Unknown
Theo de Raadt,Male
Tim Roughgarden,Male
Vern Paxson,Male
Vinod Khosla,Male
Wen-mei Hwu,Unknown
William Jolitz,Male
William Joy,Male
