Name,Gender
Alex Jacob,Male
Alex Trebek,Male
Amy Schneider,Female
Annie Duke,Female
Art Fleming,Male
Arthur Chu,Male
Arthur Phillips,Male
Bob Harris (writer),Male
Buzzy Cohen,Unknown
Catherine O'Hara,Female
Chuck Forrest,Male
Colby Burnett,Male
David Madden (Jeopardy! contestant),Male
Frank Spangenberg,Male
Hutton Gibson,Unknown
Jackie Fox,Unknown
James Holzhauer,Male
Jay Wolpert,Male
Jerome Vered,Male
Jonathan Groff (writer),Male
Julia Collins (Jeopardy! contestant),Female
Karl Coryat,Male
Ken Jennings,Male
Larissa Kelly,Female
Lawrence Van Gelder,Male
Mark Labbett,Male
Mark Lowenthal,Male
Mark M. Lowenthal,Male
Matisyahu,Male
Matt Amodio,Male
Matt Jackson (Jeopardy! contestant),Male
Mattea Roach,Female
Mayim Bialik,Unknown
Mike Richards (television personality),Male
Oscar statue,Male
Richard Cordray,Male
Roger Craig (Jeopardy! contestant),Male
Victoria Groce,Female
Watson (computer),Unknown
What Is... Cliff Clavin?,Unknown
