Name,Gender
A.P. Martinich,Unknown
A. E. Dyson,Unknown
A. J. Ayer,Unknown
A. J. P. Taylor,Unknown
Alan Turing,Male
Alex Comfort,Male
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alexander Roper Vidler,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andy Clark,Male
Angus Wilson,Male
Arif Ahmed (philosopher),Male
Barbara Wootton,Female
Barry Stroud,Male
Bas van Fraassen,Male
Bernard Williams,Male
Bertrand Russell,Male
C. Lewy,Unknown
C. M. Bowra,Unknown
C. V. Wedgwood,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Clement Attlee,Male
Cora Diamond,Female
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Sosa,Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Donald Soper,Male
E. M. W. Tillyard,Unknown
Edmund Gettier,Male
Edmund Husserl,Male
Ernest Nagel,Male
Ernest Sosa,Male
Francis Bacon,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Geoffrey Faber,Male
George Berkeley,Male
Gilbert Ryle,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Henri Poincaré,Male
Henriette Hertz,Female
Ian Hacking,Male
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Newton,Male
J. B. Priestley,Unknown
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
J. M. E. McTaggart,Unknown
Jaakko Hintikka,Male
Jacquetta Hawkes,Unknown
Jaegwon Kim,Unknown
James F. Conant,Male
Jerry Fodor,Male
John Collins (priest),Male
John Dupré,Male
John Locke,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
John Wisdom,Male
Julian Huxley,Male
Karl Britton,Male
Karl Pearson,Male
Karl Popper,Male
Keith Donnellan,Male
Kenneth Walker (author),Male
Knut Erik Tranøy,Male
Kurt Gödel,Male
Larry Laudan,Male
Leslie Weatherhead,Female
London Borough of Brent,Unknown
Lord David Cecil,Unknown
Ludwig Wittgenstein,Male
Martin Heidegger,Male
Marvin Minsky,Male
"Mary Stocks, Baroness Stocks",Female
Maurice Merleau-Ponty,Male
Michael Dummett,Male
Michael Polanyi,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Mill's Methods,Unknown
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Noel Gilroy Annan,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Arthur Schilpp,Male
Paul Churchland,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
Pierre Duhem,Male
R. M. Hare,Unknown
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Boothby,Male
Robert Brandom,Male
Robert Nozick,Male
Roderick Chisholm,Male
Roger Bacon,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Samuel Soal,Male
Saul Kripke,Male
Stephen Spender,Male
Stephen Yablo,Male
Susan Haack,Female
Telepathy,Unknown
Thomas Aquinas,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Timothy Williamson,Male
Trevor Huddleston,Male
Vienna Circle,Female
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
William James,Male
William Lane Craig,Male
Zhuang Zhou,Unknown
