Name,Gender
A. J. Ayer,Unknown
Alexander Pruss,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Aloysius Martinich,Male
Alvin Plantinga,Male
Arif Ahmed (philosopher),Male
Barry Stroud,Male
Bas van Fraassen,Male
Bernard Williams,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Icahn,Male
Casimir Lewy,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Cora Diamond,Female
Daniel Dennett,Male
David Chalmers,Male
David Hilbert,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Sosa,Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Edmund Gettier,Male
Edward N. Zalta,Male
Ernest Nagel,Male
Ernest Sosa,Male
Francis Bacon,Male
Frank P. Ramsey,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gilbert Ryle,Male
Giuseppe Peano,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Poincaré,Male
Herbert Feigl,Male
Hilbert's program,Unknown
Ian Hacking,Male
Imre Lakatos,Male
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James F. Conant,Male
Jerry Fodor,Male
John Dupré,Male
John Earman,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
Karl Pearson,Male
Karl Popper,Male
Keith Donnellan,Male
Kurt Gödel,Male
Larry Laudan,Male
Ludwig Wittgenstein,Male
Michael Dummett,Male
Michael Polanyi,Male
Michael Walzer,Male
Mill's Methods,Unknown
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Nicolai Hartmann,Male
Noam Chomsky,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Oppenheim,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
Philip Kitcher,Male
Pierre Duhem,Male
R. M. Hare,Unknown
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Robert Stalnaker,Male
Roderick Chisholm,Male
Roger Bacon,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Susan Haack,Female
Thomas Kuhn,Male
Thomas Nagel,Male
Timothy Williamson,Male
Vienna Circle,Female
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
William Lane Craig,Male
Wolfgang Köhler,Male
