Name,Gender
A. N. Whitehead,Unknown
Alexander Von Humboldt,Male
Alexander von Humboldt,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Tarski,Male
Algirdas Julien Greimas,Male
Allan Marquand,Male
Alvin Plantinga,Male
Ananke,Unknown
Antonio Salieri,Male
Arthur Burks,Male
Arthur Fine,Male
Arthur Schopenhauer,Male
Arthur W. Burks,Male
Augustine of Hippo,Female
Augusto Ponzio,Male
Augustus De Morgan,Male
Bas van Fraassen,Male
Benjamin Ives Gilman,Male
Benjamin Peirce,Male
Bernard Bolzano,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Boston Brahmin,Unknown
C. D. Broad,Unknown
C. K. Ogden,Unknown
Carl Gustav Hempel,Male
Carolyn Eisele,Female
Cassius Jackson Keyser,Unknown
Charles Hartshorne,Male
Charles S. Peirce Society,Male
Charles Sanders Peirce bibliography,Male
Charles Santiago Sanders Peirce,Male
Charles W. Morris,Male
Charles William Eliot,Male
Chauncey Wright,Male
Cheryl Misak,Female
Christian Wolff (philosopher),Male
Christine Ladd-Franklin,Female
Christopher Hookway,Male
Claude Shannon,Male
Continuous predicate,Unknown
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
De Morgan's Laws,Unknown
De Morgan's laws,Unknown
Derek Parfit,Male
Donald Davidson (philosopher),Male
E. H. Moore,Unknown
Edgar F. Codd,Male
Edward C. Hegeler,Male
Ernst Schröder (mathematician),Male
F.C.S. Schiller,Unknown
F. C. S. Schiller,Unknown
Fabian Franklin,Male
Francis Bacon,Male
Francis Ellingwood Abbot,Male
Francisco Suárez,Male
Frank P. Ramsey,Male
Friedrich Nietzsche,Male
Félix Guattari,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
G. Stanley Hall,Unknown
G. W. F. Hegel,Unknown
Garrett Birkhoff,Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Boole,Male
George Herbert Mead,Male
George Santayana,Male
Gifford Pinchot,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giovanni Vailati,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Grover Cleveland,Male
Hans Reichenbach,Male
Henri Bergson,Male
Henri Poincaré,Male
Henry M. Sheffer,Male
Herbert Spencer,Male
Hermann Lotze,Male
Hermann Schwarz,Male
"Hookway, Christopher",Unknown
Hu Shih,Unknown
Hugh MacColl,Male
Ian Hacking,Male
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Levi,Male
Isaac Newton,Male
J. J. Sylvester,Unknown
Jakob von Uexküll,Male
James Feibleman,Male
James Mark Baldwin,Male
James Mills Peirce,Male
Jason Stanley,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jerzy Neyman,Male
John Deely,Male
John Dewey,Male
John Duns Scotus,Male
John F. Sowa,Male
John Fiske (philosopher),Male
John Locke,Male
John of St. Thomas,Male
John von Neumann,Male
Joseph Bangs Warner,Male
Joseph Jastrow,Male
Joseph Margolis,Male
Joseph Morton Ransdell,Male
Josiah Royce,Male
Juliette Peirce,Female
Julius Hilgard,Male
Juri Lotman,Male
Kalevi Kull,Male
Karl Pearson,Male
Karl Popper,Male
Keith Devlin,Male
Kenneth J. Arrow,Male
Kurt Gödel,Male
Larry Laudan,Male
Louis Hjelmslev,Male
Lucretius,Unknown
Ludwig Wittgenstein,Male
Marcel Danesi,Male
Martin Heidegger,Male
Metre,Unknown
Michael Dummett,Male
Michael Polanyi,Male
Michael Silverstein,Male
Mike Sandbothe,Male
Mill's Methods,Unknown
Morris Raphael Cohen,Male
Nicholas Rescher,Male
Nicholas St. John Green,Male
Nyāya Sūtras,Unknown
"Nöth, Winfried",Unknown
Oliver Wendell Holmes Jr.,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Paolo Fabbri (semiotician),Male
Paul Carus,Male
Paul Samuelson,Male
Paul Weiss (philosopher),Male
Peter of Spain (author),Male
Pierre Duhem,Male
Project Gutenberg,Unknown
Quantifier (logic),Unknown
R. G. Collingwood,Unknown
Randall Dipert,Male
Richard Dedekind,Male
Richard J. Bernstein,Male
Richard Rorty,Male
Richard Shusterman,Male
Richard Whately,Male
Robert B. Talisse,Male
Robert Brandom,Male
Roberta Kevelson,Female
Roberto Unger,Male
Roger Bacon,Male
Roland Barthes,Male
Roman Jakobson,Male
Ronald A. Fisher,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Samuel Langley,Male
Saul Kripke,Male
Schwarz–Christoffel mapping,Unknown
Semiotic theory of Charles Sanders Peirce,Unknown
Sidney Hook,Male
Simon Newcomb,Male
Stephen Stigler,Male
Stephen Toulmin,Male
Stuart Hall (cultural theorist),Male
Susan Haack,Female
Susan Petrilli,Female
T. A. Goudge,Unknown
Thomas Aquinas,Male
Thomas Corwin Mendenhall,Male
Thomas Kuhn,Male
Thomas Reid,Male
Thomas Sebeok,Male
Thorstein Veblen,Male
"Victoria, Lady Welby",Unknown
Vladimir Toporov,Male
Vyacheslav Ivanov (philologist),Male
W. B. Gallie,Unknown
W. E. B. Du Bois,Unknown
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
Willard van Orman Quine,Male
William B. Allison,Male
William Ernest Johnson,Male
William James,Male
William Kingdon Clifford,Male
William Stanley Jevons,Male
Zermelo,Unknown
Template:C. S. Peirce articles,Unknown
Template talk:C. S. Peirce articles,Unknown
Category:Charles Sanders Peirce,Unknown
