Name,Gender
Adam optimizer,Male
Adobe Firefly,Unknown
Alan Turing,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Allen Newell,Male
AlphaGo versus Ke Jie,Unknown
AlphaGo versus Lee Sedol,Unknown
Andrej Karpathy,Male
Andrew Ng,Male
Aurora (text-to-image model),Female
Bernard Widrow,Male
Bias–variance tradeoff,Unknown
Chinchilla,Unknown
Claude (language model),Male
Claude Shannon,Male
David Silver (computer scientist),Male
Fei-Fei Li,Unknown
Frank Rosenblatt,Male
GPT-4,Unknown
Geoffrey Hinton,Male
Google Pixel,Unknown
Grok (chatbot),Unknown
Herbert A. Simon,Male
Ian Goodfellow,Male
John Hopfield,Male
John McCarthy (computer scientist),Male
John von Neumann,Male
Joseph Weizenbaum,Male
Jürgen Schmidhuber,Male
Llama (language model),Unknown
Lotfi A. Zadeh,Male
Marvin Minsky,Male
MiniMax (company),Unknown
Nathaniel Rochester (computer scientist),Male
NotebookLM,Unknown
Oliver Selfridge,Male
Paul Werbos,Male
Qwen,Unknown
Seymour Papert,Male
Stephen Grossberg,Male
Suno AI,Unknown
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Yann LeCun,Male
Yoshua Bengio,Unknown
