Name,Gender
Adam Sedgwick,Male
Albert von Kölliker,Male
Alexander Lerner,Male
Alexander von Humboldt,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Amin Maalouf,Male
André Siegfried,Male
Anthony Wilden,Male
Arthur Cayley,Male
August Wilhelm von Hofmann,Male
Baly Medal,Unknown
Buckminster Fuller,Unknown
Carl Gegenbaur,Male
Carl Ludwig,Male
Charles Adolphe Wurtz,Male
Charles Darwin,Male
Charles François (systems scientist),Male
Charles Lyell,Male
Charles Wheatstone,Male
Claude Lévi-Strauss,Male
Copley Medal,Unknown
Edward Frankland,Male
Erich von Holst,Male
Ernest Renan,Male
Ernst von Glasersfeld,Male
Father Claude Bernard,Unknown
Francis Heylighen,Male
Francisco Varela,Male
Franz Ernst Neumann,Male
François Magendie,Male
François de Callières,Male
Frederic Vester,Male
Friedrich Wöhler,Male
Gabriel Hanotaux,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George Salmon,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Henri Milne-Edwards,Male
Henri Victor Regnault,Male
Henry de Montherlant,Male
Hermann von Helmholtz,Male
Hugh Chisholm,Male
Humberto Maturana,Male
I. A. Richards,Unknown
I. Bernard Cohen,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Dwight Dana,Male
James Joseph Sylvester,Male
James Prescott Joule,Male
James Watt,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jean-François Cailhava,Unknown
Jean-Pierre Claris de Florian,Male
Jean Pierre Flourens,Male
Jennifer Wilby,Female
Johannes Peter Müller,Male
John N. Warfield,Male
"John William Strutt, 3rd Baron Rayleigh",Male
Joseph Dalton Hooker,Male
Joseph François Michaud,Male
Joseph Priestley,Male
Julius von Mayer,Male
Karl Ernst von Baer,Male
Karl Weierstrass,Male
Kevin Warwick,Male
List of members of the Académie française,Unknown
Lord Kelvin,Unknown
Louis Agassiz,Male
Louis Pasteur,Male
Maleyka Abbaszadeh,Unknown
Marcellin Berthelot,Male
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Marie Françoise Bernard,Female
Mary Midgley,Female
Michel Chasles,Male
Michel Eugène Chevreul,Male
N. Katherine Hayles,Unknown
Napoleon III,Male
Napoleon III of France,Male
Nicholas Bourbon (the younger),Male
Niklas Luhmann,Male
Norbert Wiener,Male
Paul d'Albert de Luynes,Male
Petro Grigorenko,Male
Philippe Quinault,Male
Pierre Bardin,Male
Project Gutenberg,Unknown
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Rhône (department),Unknown
Richard Owen,Male
Robert Bunsen,Male
Robert Trappl,Male
Rudolf Clausius,Male
Rudolf Virchow,Male
"Saint-Julien, Rhône",Unknown
Sergei P. Kurdyumov,Male
Simon Newcomb,Male
"Sir George Stokes, 1st Baronet",Unknown
Stafford Beer,Male
Stanislao Cannizzaro,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Thomas Graham (chemist),Male
Thomas Henry Huxley,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Wilhelm Eduard Weber,Male
William Grey Walter,Male
William Huggins,Male
Template talk:Copley Medallists 1851–1900,Unknown
