Name,Gender
A. Paul Alivisatos,Unknown
Aaron D. Wyner,Male
Abbas El Gamal,Male
Abel Wolman,Male
Ada Lovelace,Female
Adele Goldstine,Female
Akira Nakashima,Male
Alan Turing,Male
Alan Turing Year,Male
Albert Bandura,Male
Albert Einstein,Male
Albert Overhauser,Male
Albert Sabin,Male
Albert W. Hull,Male
Alberto Calderón,Male
Alexander Holevo,Male
Alexander Rich,Male
Alexandre Chorin,Male
Alfred Noble Prize,Male
Alfred Sturtevant,Male
Alfred Y. Cho,Male
Allan Mackintosh,Male
Allan McLeod Cormack,Male
Allan R. Sandage,Male
Allen J. Bard,Male
Allen Newell,Male
Alon Orlitsky,Male
Amnon Yariv,Male
Andrew Hodges,Male
Andrew Koenig (programmer),Male
Andrew Soward,Male
Andrew Viterbi,Male
Angela Belcher,Female
Ann Graybiel,Female
Anne Anastasi,Female
Anne Treisman,Female
Anthony Fauci,Male
Antoni Zygmund,Male
Arnold O. Beckman,Male
Arthur Kornberg,Male
Arthur L. Schawlow,Male
B. F. Skinner,Unknown
Barbara McClintock,Female
Barry Barish,Male
Barry Mazur,Male
Ben Barzman,Male
Bernard Brodie (biochemist),Male
Bernard M. Oliver,Male
Berni Alder,Male
Bert Sutherland,Male
Bert W. O'Malley,Male
Berta Scharrer,Female
Betty Holberton,Female
Betty Shannon,Female
Bibcode (identifier),Unknown
Bill Hewlett,Male
Bonnie Bassler,Female
Bradley Efron,Male
Brian Charlesworth,Male
Brian F. G. Johnson,Male
Brian Kernighan,Male
Bruce Alberts,Male
Bruce Ames,Male
Bruno B. Rossi,Male
Bryan Randell Coles,Male
Burton Richter,Male
C. B. van Niel,Unknown
C. Kumar N. Patel,Unknown
Calvin F. Quate,Male
Calyampudi Radhakrishna Rao,Unknown
Carl Djerassi,Male
Carl R. de Boor,Male
Carl S. Marvel,Male
Carl Woese,Male
Charles Babbage,Male
Charles Darwin,Male
Charles H. Bennett (physicist),Male
Charles H. Townes,Male
Charles Keeling,Male
Charles Pence Slichter,Male
Charles S. Draper,Male
Charles Scriver,Male
Charles Yanofsky,Male
Chien-Shiung Wu,Unknown
Chris R. Somerville,Male
Chu Ching-wu,Unknown
Clarence L. Johnson,Male
Claude (language model),Male
Claude E. Shannon,Male
Claude E. Shannon Award,Male
Colin Webb (physicist),Male
Craig Venter,Male
Cynthia Dwork,Female
D. Allan Bromley,Unknown
Daniel C. Drucker,Male
Daniel E. Koshland Jr.,Male
Daniel I. Arnon,Male
Daniel Kleppner,Male
Daniel Nathans,Male
Danny Hillis,Male
Darleane C. Hoffman,Unknown
Dave Forney,Male
David A. Huffman,Male
David B. Mumford,Male
David Baltimore,Male
David Blackwell,Male
David G. Nathan,Male
David Headley Green,Male
David J. Wineland,Male
David Kahn (writer),Male
David King (chemist),Male
David May (computer scientist),Male
David Slepian,Male
