Name,Gender
Ada Lovelace,Female
Alan Turing,Male
Alison Gopnik,Female
Andrew N. Meltzoff,Male
Bibcode (identifier),Unknown
Daniel Crevier,Male
Deep Blue (chess computer),Female
Douglas Hofstadter,Male
Garry Kasparov,Male
Geoffrey Jefferson,Male
"Gödel, Escher, Bach",Unknown
Hans Moravec,Male
Hubert Dreyfus,Male
John Haugeland,Male
John Lucas (philosopher),Male
John Searle,Male
Legacy of Alan Turing,Unknown
List of things named after Alan Turing,Unknown
Lister Medal,Unknown
Peter Norvig,Male
Rodney Brooks,Male
Roger Penrose,Male
Samuel Soal,Male
Stevan Harnad,Male
Stuart J. Russell,Male
Telepathy,Unknown
Template:Alan Turing,Unknown
Template talk:Alan Turing,Unknown
