Name,Gender
Alfred North Whitehead,Male
Anil Seth,Male
Annaka Harris,Unknown
Antonio Damasio,Male
Arthur Schopenhauer,Male
Benjamin Libet,Male
Bernard Baars,Male
Bertrand Russell,Male
Brian O'Shaughnessy (philosopher),Male
Carl Jung,Male
Charles Augustus Strong,Male
Christof Koch,Male
Christopher Peacocke,Male
Cinderella effect,Unknown
Colin McGinn,Male
Damasio's theory of consciousness,Unknown
Daniel Dennett,Male
Darwin's Dangerous Idea,Unknown
David Bohm,Male
David Chalmers,Male
David Hume,Male
David Papineau,Male
David Pearce (philosopher),Male
Donald D. Hoffman,Male
Donald Davidson (philosopher),Male
Douglas Hofstadter,Male
Edmund Husserl,Male
Elbow Room (Dennett book),Unknown
Erwin Schrödinger,Male
Eugene Wigner,Male
Flynn effect,Male
Francis Crick,Male
Francisco Varela,Male
Frank Cameron Jackson,Male
Franz Brentano,Male
Fred Dretske,Male
From Bacteria to Bach and Back,Unknown
Galen Strawson,Male
George Berkeley,Male
George Henry Lewes,Male
Georges Rey,Male
Gerald Edelman,Male
Giulio Tononi,Male
Gottfried Wilhelm Leibniz,Male
Immanuel Kant,Male
John Eccles (neurophysiologist),Male
John Locke,Male
John Polkinghorne,Male
John Searle,Male
Joseph Levine (philosopher),Male
Julian Jaynes,Male
Karl H. Pribram,Male
Karl Popper,Male
Keith Frankish,Male
Kenneth M. Sayre,Male
Kurt Koffka,Male
Lawrence Weiskrantz,Male
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Max Planck,Male
Max Velmans,Male
Max Wertheimer,Male
Michael Gazzaniga,Male
Michael Graziano,Male
Michael Tye (philosopher),Male
Ned Block,Male
Ophidiophobia,Unknown
Patricia Churchland,Female
Patrick Wilken,Male
Paul Churchland,Male
Philip Goff (philosopher),Male
Rodolfo Llinás,Male
Roger Penrose,Male
Roger Wolcott Sperry,Male
Sigmund Freud,Male
Stanislas Dehaene,Male
Steven Laureys,Male
Stuart Hameroff,Male
Susan Blackmore,Female
Sweet Dreams (Dennett book),Unknown
Thomas Metzinger,Male
Thomas Nagel,Male
Universal Darwinism,Unknown
Victor J. Stenger,Male
Von Neumann–Wigner interpretation,Unknown
Wilhelm Wundt,Male
William James,Male
William Kingdon Clifford,Male
William Lycan,Male
William Seager (philosopher),Male
Wolf Singer,Male
Wolfgang Köhler,Male
Wolfgang Pauli,Male
Template:Daniel Dennett,Unknown
Template talk:Daniel Dennett,Unknown
