Name,Gender
A. Paul Alivisatos,Unknown
Abbas El Gamal,Male
Abel Wolman,Male
Abraham Lempel,Male
Adam D. Smith,Male
Adi Shamir,Male
Albert Bandura,Male
Albert Overhauser,Male
Albert Sabin,Male
Alberto Calderón,Male
Alexander G. Fraser,Male
Alexander Razborov,Male
Alexander Rich,Male
Alexandre Chorin,Male
Alfred Sturtevant,Male
Alfred Y. Cho,Male
Allan McLeod Cormack,Male
Allan R. Sandage,Male
Allen J. Bard,Male
Allen Newell,Male
Amin Shokrollahi,Male
Amir Ronen,Male
Amnon Yariv,Male
Amos Fiat,Male
Andrei A. Bulatov,Male
Andrei Broder,Male
Andrew Viterbi,Male
Andrew Yao,Male
Angela Belcher,Female
Ann Graybiel,Female
Anna Karlin,Female
Anne Anastasi,Female
Anne Treisman,Female
Anthony Fauci,Male
Antoni Zygmund,Male
Arnold O. Beckman,Male
Arthur Kornberg,Male
Arthur L. Schawlow,Male
Avi Wigderson,Male
Avrim Blum,Unknown
B. F. Skinner,Unknown
Barbara McClintock,Female
Barry Barish,Male
Barry Mazur,Male
Bernard Brodie (biochemist),Male
Bernard Dwork,Male
Bernard M. Oliver,Male
Berni Alder,Male
Bert W. O'Malley,Male
Berta Scharrer,Female
Bill Hewlett,Male
Bonnie Bassler,Female
Bradley Efron,Male
Bruce Alberts,Male
Bruce Ames,Male
Bruno B. Rossi,Male
Bruno Buchberger,Male
Burton Richter,Male
C. B. van Niel,Unknown
C. Kumar N. Patel,Unknown
Calvin F. Quate,Male
Calyampudi Radhakrishna Rao,Unknown
Carl Djerassi,Male
Carl R. de Boor,Male
Carl S. Marvel,Male
Carl Woese,Male
Carsten Lund,Male
Charles E. Leiserson,Male
Charles H. Townes,Male
Charles Keeling,Male
Charles Pence Slichter,Male
Charles Rackoff,Male
Charles S. Draper,Male
Charles Yanofsky,Male
Chien-Shiung Wu,Unknown
Christos Papadimitriou,Male
Chu Ching-wu,Unknown
Clarence L. Johnson,Male
Claude Berrou,Male
Claude E. Shannon,Male
Craig Gentry (computer scientist),Male
Craig Venter,Male
D. Allan Bromley,Unknown
Dan Boneh,Male
Daniel C. Drucker,Male
Daniel E. Koshland Jr.,Male
Daniel I. Arnon,Male
Daniel Kleppner,Male
Daniel Nathans,Male
Daniel Sleator,Male
Daniel Spielman,Male
Danny Dolev,Male
Darleane C. Hoffman,Unknown
David A. Huffman,Male
David B. Mumford,Male
David Baltimore,Male
David Blackwell,Male
David D. Clark,Male
David G. Nathan,Male
David J. Wineland,Male
David Richerby,Male
David S. Johnson,Male
David Tse,Male
Debórah Dwork,Unknown
Dennis Ritchie,Male
Dennis Sullivan,Male
Detlev Bronk,Male
Dijkstra Prize,Unknown
Don L. Anderson,Male
Donald C. Spencer,Male
Donald Henderson,Male
Donald J. Cram,Male
Donald Knuth,Male
Donald L. Katz,Male
Donald Van Slyke,Male
Dudley R. Herschbach,Male
E. Allen Emerson,Unknown
E. Donnall Thomas,Unknown
E. Margaret Burbidge,Unknown
E. O. Wilson,Unknown
Earl R. Parker,Male
Earl Reece Stadtman,Male
Earl W. Sutherland Jr.,Male
Edgar Bright Wilson,Male
Edmund M. Clarke,Male
Edward B. Lewis,Male
Edward C. Stone,Male
Edward F. Knipling,Male
Edward H. Heinemann,Male
Edward M. Purcell,Male
Edward Teller,Male
Edward Witten,Male
Edwin H. Land,Male
Edwin M. McMillan,Male
Edwin N. Lightfoot,Male
Efraim Racker,Male
Elaine Fuchs,Female
Eleanor J. Gibson,Female
Eli Ruckenstein,Female
Elias J. Corey,Male
Elias Koutsoupias,Male
Elias M. Stein,Male
Elizabeth C. Crosby,Female
Elizabeth F. Neufeld,Female
Elkan Blout,Unknown
Elvin A. Kabat,Male
Elwyn Berlekamp,Male
Emery N. Brown,Male
Emmett N. Leith,Male
Erdal Arıkan,Male
Eric Kandel,Male
Ernest R. Davidson,Male
Ernst Mayr,Male
Ernst Weber (engineer),Male
Erwin Chargaff,Male
Erwin Wilhelm Müller,Male
Esther M. Conwell,Female
Eugene M. Shoemaker,Male
Eugene Myers,Male
Eugene Parker,Male
Eugene Wigner,Male
Eve Marder,Female
Evelyn M. Witkin,Female
F. Albert Cotton,Unknown
Fay Ajzenberg-Selove,Female
Felix Browder,Male
Folke K. Skoog,Male
Fotios Zaharoglou,Male
Francis Birch (geophysicist),Male
Francis Collins,Male
Francis Peyton Rous,Male
Francisco J. Ayala,Male
Frank H. Westheimer,Male
Frank Kschischang,Male
Frank McSherry,Male
Frank Press,Male
Frederick Reines,Male
Frederick Rossini,Male
Frederick Seitz,Male
Frederick Terman,Male
Fritz Albert Lipmann,Male
G. David Tilman,Unknown
G. Evelyn Hutchinson,Unknown
G. Ledyard Stebbins,Unknown
Gary Becker,Male
Gary Miller (computer scientist),Male
Gebisa Ejeta,Unknown
Gene Likens,Male
George Armitage Miller,Male
George Bass (archaeologist),Male
George C. Pimentel,Male
George Dantzig,Male
George E. Mueller,Male
George Emil Palade,Male
George F. Carrier,Male
George Gaylord Simpson,Male
George H. Heilmeier,Male
George Kistiakowsky,Male
George Low,Male
George M. Whitesides,Male
George Pake,Male
George S. Hammond,Male
George Stigler,Male
George Uhlenbeck,Male
George W. Housner,Male
George Wetherill,Male
Geraldine L. Richmond,Female
Gerard J. Holzmann,Male
Gilbert F. White,Male
Gilbert Stork,Male
Giovanni Manzini,Male
Glenn T. Seaborg,Male
Glenn W. Burton,Male
Gordon H. Bower,Male
Gregory Breit,Male
Gregory Petsko,Male
Géraud Sénizergues,Male
H. Bolton Seed,Unknown
H. Guyford Stever,Unknown
H. Richard Crane,Unknown
Hallowell Davis,Unknown
Hanan Samet,Female
Hans A. Bethe,Male
Hans Dehmelt,Male
Hans Wolfgang Liepmann,Male
Harden M. McConnell,Unknown
Harland G. Wood,Male
Harold E. Edgerton,Male
Harold S. Johnston,Male
Harold Urey,Male
Harold Varmus,Male
Harry B. Gray,Male
Harry Eagle,Male
Harry George Drickamer,Male
Harry Harlow,Male
Hassler Whitney,Unknown
Helen Blau,Female
Helmut Landsberg,Male
Henry Eyring (chemist),Male
Henry Stommel,Male
Henry Taube,Male
Herbert A. Simon,Male
Herbert C. Brown,Male
Herbert E. Grier,Male
Herbert Friedman,Male
Herbert S. Gutowsky,Male
Herbert W. Boyer,Male
Herman Feshbach,Male
Herman Goldstine,Male
Herman Mark,Male
Hermann A. Haus,Male
Howard Bachrach,Male
Howard Ensign Simmons Jr.,Male
Howard Martin Temin,Male
Hugh L. Dryden,Male
Hyman Bass,Male
IEEE Richard W. Hamming Medal,Unknown
Igor I. Sikorsky,Male
Irving S. Reed,Male
Isabella L. Karle,Female
J. Michael Bishop,Unknown
J. Presper Eckert,Unknown
J. Robert Schrieffer,Unknown
Jack St. Clair Kilby,Male
Jack Steinberger,Male
Jack Wolf,Male
Jacob Bjerknes,Male
Jacqueline K. Barton,Female
James A. Van Allen,Male
James Augustine Shannon,Male
James Cronin,Male
James Demmel,Male
James E. Darnell,Male
James E. Gunn (astronomer),Male
James Glimm,Male
James L. Flanagan,Male
James V. Neel,Male
James Watson,Male
Janet Rowley,Female
Jared Diamond,Male
Jay Laurence Lush,Male
Jeffrey Ullman,Male
Jeremiah P. Ostriker,Male
Jerrold Meinwald,Male
Jerzy Neyman,Male
Jesse Beams,Male
Jin-Yi Cai,Unknown
JoAnne Stubbe,Unknown
Joan A. Steitz,Female
Joanna Fowler,Female
Johan Håstad,Male
John A. Wheeler,Male
John B. Goodenough,Male
John Bardeen,Male
John C. Slater,Male
John Cocke (computer scientist),Male
John D. Baldeschwieler,Male
John D. Roberts,Male
John Dabiri,Male
John G. Trump,Male
John Griggs Thompson,Male
John H. Van Vleck,Male
John Hopcroft,Male
John I. Brauman,Male
