Name,Gender
A. Michael Spence,Unknown
APA Award for Lifetime Contributions to Psychology,Unknown
Aaron Ciechanover,Male
Abhijit Banerjee,Unknown
Abraham Maslow,Male
Ada Yonath,Female
Alan Krueger,Male
Albert Bandura,Male
Albert O. Hirschman,Male
Albert W. Tucker,Male
Alfred Nobel,Male
Alvin E. Roth,Male
Amartya Sen,Unknown
Amos Tversky,Male
Anat Ninio,Female
Angus Deaton,Male
Anne Treisman,Female
Arieh Warshel,Male
Ariel Kalil,Male
Ariel Rubinstein,Male
Armen Alchian,Male
Armin Falk,Male
Aumann's agreement theorem,Unknown
Avishai Henik,Male
Avner Greif,Male
Avram Hershko,Male
B. F. Skinner,Unknown
Barack Obama,Male
Barbara Tversky,Female
Bayesian Nash equilibrium,Unknown
Ben Bernanke,Male
Bengt Holmström,Male
Bertil Ohlin,Male
Bibcode (identifier),Unknown
Blotto game,Unknown
Brigitte C. Madrian,Female
Bruce McEwen,Male
Carl Jung,Male
Carl Rogers,Male
Carlo Trigilia,Male
Cass Sunstein,Female
Catherine C. Eckel,Female
Charles A. Holt,Male
Christopher A. Pissarides,Male
Christopher A. Sims,Male
Clark L. Hull,Male
Claude Ménard (economist),Male
Claude Shannon,Male
Clive W. J. Granger,Male
Coalition-proof Nash equilibrium,Unknown
Colin Camerer,Male
Dale T. Mortensen,Male
Dan Ariely,Male
Dan Shechtman,Male
Daniel Bromley,Male
Daniel Gilbert (psychologist),Male
Daniel McFadden,Male
Daron Acemoglu,Male
David Card,Male
David Cesarini,Male
David Halpern (psychologist),Male
David K. Levine,Male
David M. Kreps,Male
David McClelland,Male
David Ryan Just,Male
Djuradj Caranovic,Unknown
Donald Angus MacKenzie,Male
Donald B. Gillies,Male
Donald O. Hebb,Male
Donald T. Campbell,Male
Douglas Bernheim,Male
Douglas Diamond,Male
Douglass North,Male
Drew Fudenberg,Male
Econometrica,Unknown
Ed Diener,Male
Edmund Phelps,Male
Edward C. Prescott,Male
Edward Lawrence Wheelwright,Male
Edward Thorndike,Male
Elliot Aronson,Male
Eric Maskin,Male
Erich Zimmermann,Male
Erik Erikson,Male
Ernest Hilgard,Male
Esther Duflo,Female
Eugene Fama,Male
Finn E. Kydland,Male
Franco Modigliani,Male
Frank Stilwell (economist),Male
François Simiand,Male
Fred L. Block,Male
Freeman Dyson,Male
Friedrich Hayek,Male
Gary Becker,Male
Gary McClelland,Male
Geoffrey Hodgson,Male
George A. Akerlof,Male
George Ainslie (psychologist),Male
George Akerlof,Male
George Armitage Miller,Male
George Katona,Male
George Loewenstein,Male
George Stigler,Male
George W. Stocking Sr.,Male
Gordon Allport,Male
Graham Loomes,Male
Grawemeyer Award,Unknown
Gunnar Myrdal,Male
Gérard Debreu,Male
H. Robert Horvitz,Unknown
Harold Demsetz,Male
Harold W. Kuhn,Male
Harrison White,Male
Harry Harlow,Male
Harry Markowitz,Male
Herbert A. Simon,Male
Herbert Gintis,Male
Hersh Shefrin,Unknown
Howard Rachlin,Male
Hunter Lewis,Male
Imre Kertész,Male
Ivan Pavlov,Male
J. P. Guilford,Unknown
James A. Robinson,Male
James Heckman,Male
James M. Buchanan,Male
James Meade,Male
James Mirrlees,Male
James Smoot Coleman,Male
James Tobin,Male
Jan Tinbergen,Male
Jean-François Mertens,Unknown
