Name,Gender
Académie Nationale de Médecine,Unknown
Alan Bovik,Male
Albert Rose (physicist),Male
Alex Dow,Male
Alexander C. Monteith,Male
Alexander Graham Bell,Male
Archie W. Straiton,Male
Arthur E. Kennelly,Male
"Bancroft Gherardi, Jr.",Unknown
Benjamin G. Lamme,Male
Bernard D. H. Tellegen,Male
C. Chapin Cutler,Unknown
Charles F. Avila,Male
Charles F. Brush,Male
Charles F. Kettering,Male
Charles F. Scott (engineer),Male
Charles F. Wagner,Male
Comfort A. Adams,Unknown
Cynthia Sung,Female
Daniel E. Noble,Male
Dov Frohman-Bentchkowsky,Male
Dugald C. Jackson,Male
Edward E. Hammer,Male
Edwin H. Armstrong,Male
Edwin W. Rice,Male
Elihu Thomson,Male
Ernst Alexanderson,Male
Esther M. Conwell,Female
Eugene I. Gordon,Male
Fawwaz T. Ulaby,Male
Federico Capasso,Male
Floyd Dunn,Male
Frank B. Jewett,Male
Frank Conrad,Male
Frank J. Sprague,Male
Frede Blaabjerg,Male
Gano Dunn,Unknown
George Ashley Campbell,Male
George D. Forney,Male
George Harold Brown,Male
George Westinghouse,Male
Harold S. Osborne,Male
Harris J. Ryan,Male
Hendrik Wade Bode,Male
Herman P. Schwan,Male
Hiroyuki Matsunami,Male
Howard H. Aiken,Male
Isamu Akasaki,Male
Ivan Paul Kaminow,Male
James F. Fairman,Male
James H. Pomerene,Male
"James Julius Spilker, Jr.",Male
James L. Flanagan,Male
James Ross MacDonald,Male
Jan A. Rajchman,Male
John B. Whitehead,Male
John D. Kraus,Male
John F. Peters,Male
John Hopcroft,Male
John J. Carty,Male
John K. Hodnette,Male
John Louis Moll,Male
John R. Pierce,Male
John Scott Medal,Male
John W. Howell,Male
John W. Lieb,Male
John Wistar Simpson,Male
Joseph Slepian,Male
Karl B. McEachron,Male
Kees Schouhamer Immink,Male
Kenichi Iga,Male
Lee De Forest,Male
Leonid A. Umansky,Male
Leslie A. Geddes,Female
Lewis B. Stillwell,Male
M. George Craford,Unknown
Michael Francis Tompsett,Male
Michael I. Pupin,Male
Morris E. Leeds,Male
Nathan Cohn,Male
"Nick Holonyak, Jr.",Male
Oliver E. Buckley,Male
Otto B. Blackwell,Male
Peter Lawrenson,Male
Philip Sporn,Male
Philip Torchio,Male
Ralph Baer,Male
Ray Dolby,Male
Robert A. Henle,Male
Robert A. Millikan,Male
Robert Adler,Male
Robert H. Dennard,Male
Robert W. Brodersen,Male
Robert W. Lucky,Male
Rolf Landauer,Male
Russell Dupuis,Male
Schmidt Futures,Unknown
Sidney Darlington,Male
Tingye Li,Unknown
Ursula Keller,Female
Vannevar Bush,Unknown
Vincent W. S. Chan,Male
Vladimir K. Zworykin,Male
Walker Lee Cisler,Male
William B. Kouwenhoven,Male
William D. Coolidge,Male
William Hayward Pickering,Male
William Le Roy Emmet,Male
"William Stanley, Jr.",Male
Willis R. Whitney,Male
Wilmer L. Barrow,Male
