Name,Gender
Alan Turing,Male
Blade Runner,Unknown
Brian Herbert,Male
Butlerian Jihad,Unknown
Cellarius (1863),Unknown
Charles Darwin,Male
Darwin Among the Machines,Male
David Peoples,Male
Dennis Feltham Jones,Male
Frank Herbert,Male
Gale Anne Hurd,Female
George Dyson (science historian),Male
Hampton Fancher,Unknown
Harlan Ellison,Male
James Bridges,Male
James Cameron,Male
Joseph Butler,Male
Kevin J. Anderson,Male
Michael Deeley,Male
Philip K. Dick,Male
Project Gutenberg,Unknown
Samuel Butler (novelist),Male
