Name,Gender
A. J. Ayer,Unknown
Alan Turing,Male
Alciphron (book),Unknown
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andy Clark,Male
Angelika Kratzer,Female
Anil Gupta (philosopher),Male
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Barry Loewer,Male
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Lee Whorf,Male
Bernard Bolzano,Male
Bernard Williams,Male
Bertrand Russell,Male
Brian Leiter,Male
Brian Weatherson,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Chrysippus,Unknown
Cian Dorr,Male
Claude Lancelot,Male
Cora Diamond,Female
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Kaplan (philosopher),Male
David Malet Armstrong,Male
De se,Unknown
Derek Parfit,Male
Diodorus Cronus,Unknown
Donald Cary Williams,Male
Donald Davidson (philosopher),Male
Duncan Pritchard,Male
Edmund Gettier,Male
Edmund Husserl,Male
Edward N. Zalta,Male
Edward Sapir,Male
Ernest Nagel,Male
Ernest Sosa,Male
Francisco Suárez,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Boas,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
Fritz Mauthner,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
H. P. Grice,Unknown
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Hermann Lotze,Male
Hilary Kornblith,Female
Ian Hacking,Male
Ibn Khaldun,Unknown
Immanuel Kant,Male
Iris Murdoch,Female
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Pryor,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jerry Fodor,Male
Johann Gottfried Herder,Male
John Dewey,Male
John Dupré,Male
John Locke,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
John Wilkins,Male
Joshua Greene (psychologist),Male
Karl Popper,Male
Keith DeRose,Male
Keith Donnellan,Male
Kurt Gödel,Male
L. A. Paul,Unknown
Laurence BonJour,Female
Leonard Bloomfield,Male
Lev Vygotsky,Male
Lewis's triviality result,Unknown
Lucretius,Unknown
Ludwig Wittgenstein,Male
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Michael Dummett,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Nyāya Sūtras,Unknown
Occam's razor,Unknown
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul Watzlawick,Male
Peter D. Klein,Male
Peter Galison,Male
Peter Geach,Male
Peter Railton,Male
Peter Singer,Male
Peter van Inwagen,Male
Phillip Bricker,Male
R. G. Collingwood,Unknown
R. M. Hare,Unknown
Ramsey–Lewis method,Unknown
Richard Jeffrey,Male
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Robert Stalnaker,Male
Roderick Chisholm,Male
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Samuel H. Kellogg,Male
Saul Kripke,Male
"Schaffer, Jonathan",Unknown
Stephen Yablo,Male
Susan Haack,Female
Susanna Siegel,Female
Thomas Aquinas,Male
Thomas Hobbes,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Thomas Reid,Male
Thomas Schelling,Male
Timothy Williamson,Male
Vienna Circle,Female
W. V. O. Quine,Unknown
Wilhelm von Humboldt,Male
Willard Van Orman Quine,Male
William Alston,Male
William G. Lycan,Male
William James,Male
William Lane Craig,Male
Zhuang Zhou,Unknown
Talk:David Lewis (philosopher),Unknown
