Name,Gender
A. J. Ayer,Unknown
Alexander Pruss,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andrew David Irvine,Male
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Barry Stroud,Male
Bas van Fraassen,Male
Bernard Bolzano,Male
Bernard Williams,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Colin Radford,Male
Cora Diamond,Female
D. Reidel,Unknown
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Stove,Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Edmund Gettier,Male
Ernest Nagel,Male
Ernest Sosa,Male
Francisco Suárez,Male
Frank P. Ramsey,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Herbert Feigl,Male
Hermann Lotze,Male
Ian Hacking,Male
Immanuel Kant,Male
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Franklin (philosopher),Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jerry Fodor,Male
John Anderson (philosopher),Male
John Dupré,Male
John Locke,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
Karl Popper,Male
Keith Campbell (philosopher),Male
Keith Donnellan,Male
Kurt Gödel,Male
Lucretius,Unknown
Ludwig Wittgenstein,Male
Macleay Press,Unknown
Martin Heidegger,Male
Michael Dummett,Male
Michael Tooley,Male
Michael Walzer,Male
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Nyāya Sūtras,Unknown
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Peter Forrest (philosopher),Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
R. G. Collingwood,Unknown
R. M. Hare,Unknown
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Roderick Chisholm,Male
Routledge & Kegan Paul,Unknown
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Stephen Mumford,Male
Susan Haack,Female
Thomas Aquinas,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Thomas Reid,Male
Timothy Williamson,Male
Ullin Place,Unknown
Vienna Circle,Female
Willard Van Orman Quine,Male
William Lane Craig,Male
