Name,Gender
A. J. Ayer,Unknown
Adam Smith,Male
Alan Turing,Male
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alma mater,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Amartya Sen,Unknown
Andrea Branzi,Female
Andrew Manze,Male
Andrew Wiles,Male
Andy Clark,Male
Anna Karenina,Female
Anne Lacaton,Female
Anne Sofie von Otter,Female
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Barbara Hannigan,Female
Barry Stroud,Male
Bas van Fraassen,Male
Bernard Bolzano,Male
Bernard Williams,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Cari Tuna,Female
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Claes Oldenburg,Male
Cora Diamond,Female
Dana Scott,Female
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Kaplan (philosopher),Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Pears,Male
Dietrich Bonhoeffer,Male
Doing Good Better,Unknown
Donald Davidson (philosopher),Male
Doris Salcedo,Female
Dustin Moskovitz,Male
Edmund Gettier,Male
Edmund Husserl,Male
Elias M. Stein,Male
Eliezer Yudkowsky,Male
Elliott H. Lieb,Male
Endre Szemerédi,Male
Ernest Nagel,Male
Ernest Sosa,Male
Etiquette,Unknown
"Famine, Affluence, and Morality",Unknown
Fistula Foundation,Unknown
Francis Alÿs,Male
Francisco Suárez,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
Gidon Kremer,Unknown
Gilbert Ryle,Male
Gilles Deleuze,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Henry Sidgwick,Male
Herbert Blomstedt,Male
Hermann Lotze,Male
Hilary Greaves,Female
Holden Karnofsky,Male
Ian Hacking,Male
Immanuel Kant,Male
Ingvar Lidholm,Male
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Griffin (philosopher),Male
Janet Radcliffe Richards,Female
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jeff McMahan (philosopher),Male
Jeremy Bentham,Male
Jerry Fodor,Male
John Cottingham,Male
John Dewey,Male
John Dupré,Male
John Locke,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
John Stuart Mill,Male
Jonathan Glover,Male
Jonathan Pila,Male
Jorma Panula,Male
Joseph Butler,Male
Joxe Azurmendi,Male
Kaija Saariaho,Female
Karl Barth,Male
Karl Popper,Male
Kazuyo Sejima,Female
Keith Donnellan,Male
Kronos Quartet,Unknown
Kurt Gödel,Male
Larissa MacFarquhar,Female
Larry Temkin,Male
Liv Boeree,Female
Lucretius,Unknown
Ludwig Wittgenstein,Male
Luis Caffarelli,Male
Mark Johnston (philosopher),Male
Marlene Dumas,Female
Martha Nussbaum,Female
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Mauricio Kagel,Male
Michael Aschbacher,Male
Michael Dummett,Male
Michael Huemer,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Mikio Sato,Male
Mona Hatoum,Female
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Nick Bostrom,Male
Nikolai G. Makarov,Male
Noam Chomsky,Male
Norman Malcolm,Male
Nyāya Sūtras,Unknown
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Tillich,Male
Per Martin-Löf,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
R. G. Collingwood,Unknown
R. M. Hare,Unknown
Rafael Moneo,Male
Rem Koolhaas,Male
Richard P. Stanley,Male
Richard Rorty,Male
Richard Schoen,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Merrihew Adams,Male
Robert Nozick,Male
Roderick Chisholm,Male
Roger Scruton,Male
Ronald Coifman,Male
Ronald Dworkin,Male
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Chang,Female
Ruth Millikan,Female
Ryue Nishizawa,Unknown
Saharon Shelah,Unknown
Sam Bankman-Fried,Male
Samuel Scheffler,Male
