Name,Gender
A. J. Ayer,Unknown
Alan Turing,Male
Alciphron (book),Unknown
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andy Clark,Male
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Lee Whorf,Male
Bernard Bolzano,Male
Bernard Williams,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Chrysippus,Unknown
Claude Lancelot,Male
Claudine Verheggen,Female
Cora Diamond,Female
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Derek Parfit,Male
Diodorus Cronus,Unknown
Donald Cary Williams,Male
Edmund Gettier,Male
Edmund Husserl,Male
Edward Sapir,Male
Ernest Nagel,Male
Ernest Sosa,Male
Francisco Suárez,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Boas,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
Fritz Mauthner,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Hermann Lotze,Male
Ian Hacking,Male
Ibn Khaldun,Unknown
Immanuel Kant,Male
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Jaegwon Kim,Unknown
James F. Conant,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jean Nicod Prize,Male
Jerry Fodor,Male
Johann Gottfried Herder,Male
John Dupré,Male
John Locke,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
John Wilkins,Male
Karl Popper,Male
Keith Donnellan,Male
Kirk Ludwig,Male
Kurt Gödel,Male
Leonard Bloomfield,Male
Lev Vygotsky,Male
Lucretius,Unknown
Ludwig Wittgenstein,Male
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Michael Bratman,Male
Michael Dummett,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Nyāya Sūtras,Unknown
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul Watzlawick,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
R. G. Collingwood,Unknown
R. M. Hare,Unknown
Raphael Demos,Male
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Roderick Chisholm,Male
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Sidney Siegel,Male
Stephen Yablo,Male
Steve Pyke,Male
Susan Haack,Female
Thomas Aquinas,Male
Thomas Hobbes,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Thomas Reid,Male
Timothy Williamson,Male
Vienna Circle,Female
W. V. O. Quine,Unknown
Wilhelm von Humboldt,Male
Willard Van Orman Quine,Male
William James,Male
William Lane Craig,Male
Zhuang Zhou,Unknown
