Name,Gender
Anders Sandberg,Male
Aubrey de Grey,Unknown
Ben Goertzel,Male
Bill Joy,Male
Cari Tuna,Female
Dan Hendrycks,Male
David Gobel,Male
David Pearce (transhumanist),Male
Derek Parfit,Male
Doing Good Better,Unknown
Dustin Moskovitz,Male
"Famine, Affluence, and Morality",Unknown
Fistula Foundation,Unknown
Frank Wilczek,Male
Gennady Stolyarov II,Male
Geoffrey Hinton,Male
Hans Moravec,Male
Harry Potter,Male
Harry Potter and the Methods of Rationality,Male
Hilary Greaves,Female
Holden Karnofsky,Male
I. J. Good,Unknown
J. K. Rowling,Unknown
Jaan Tallinn,Male
James Hughes (sociologist),Male
Joe Biden,Male
José Luis Cordeiro,Male
Julian Huxley,Male
K. Eric Drexler,Unknown
Liv Boeree,Female
Mark Alan Walker,Male
Martin Rees,Male
Martine Rothblatt,Female
Max More,Male
Max Tegmark,Male
MetaMed,Unknown
Natasha Vita-More,Female
Niall Ferguson,Male
Nick Bostrom,Male
Nikolai Fyodorovich Fyodorov,Male
Ole Martin Moen,Male
Paul Christiano (researcher),Male
Peter Norvig,Male
Peter Singer,Male
Ray Kurzweil,Male
Robin Hanson,Male
Roko's basilisk,Unknown
Roman Yampolskiy,Male
Sam Altman,Male
Sam Bankman-Fried,Male
Sam Harris,Male
Stephen Hawking,Male
Steve Omohundro,Male
Stuart J. Russell,Male
Toby Ord,Male
Wei Dai,Unknown
William MacAskill,Male
Yoshua Bengio,Unknown
Yuval Harari,Male
Zoltan Istvan,Unknown
Zvi Mowshowitz,Male
