Name,Gender
Actifio,Unknown
Adscape,Unknown
AirPods Max,Unknown
Akio Morita,Male
Al Eisenstat,Male
Al Gore,Male
Alan Eustace,Male
Alan Mulally,Male
Alan W. Rudge,Male
Alex Gorsky,Male
Alfred Norton Goldsmith,Male
AlphaGo versus Ke Jie,Unknown
AlphaGo versus Lee Sedol,Unknown
American Fuzzy Lop (software),Unknown
Anat Ashkenazi,Female
Andrea Jung,Female
Andrew Conrad,Male
Andrew McNaughton,Male
Android Cloud to Device Messaging,Unknown
Android Dev Phone,Unknown
Android Donut,Unknown
Android Honeycomb,Unknown
Android Nougat,Unknown
Android Studio,Unknown
Androidland,Unknown
Andy Bechtolsheim,Male
Angela Ahrendts,Female
Anita K. Jones,Female
Ann Mather,Female
Apk (file format),Unknown
App Store (Apple),Unknown
Apple Campus,Unknown
Apple Store,Unknown
Arirang (smartphone),Unknown
Arthur D. Levinson,Male
Arthur Rock,Male
Asahi Linux,Unknown
Ash Carter,Unknown
Astro Teller,Male
Barack Obama,Male
Barack Obama 2008 presidential campaign,Male
Bazel (software),Unknown
Benjamin M. Rosen,Male
Bertrand Serlet,Male
Bill Campbell (business executive),Male
Bill Hewlett,Male
Bill Richardson,Male
Binoculars Building,Unknown
Blink (browser engine),Unknown
Blockly,Unknown
Bob Fabry,Male
Bob Galvin,Male
Bob Iger,Male
Bruce Sewell,Male
Chainlink (blockchain),Unknown
Chinchilla (language model),Unknown
ChromeOS,Unknown
Chrome Web Store,Unknown
Chrome Zone,Unknown
Clare Baldwin,Female
Comparison of Google Pixel smartphones,Unknown
Craig Barrett (chief executive),Male
Craig Federighi,Male
Dan Riccio,Male
Darwin (operating system),Male
David Cheriton,Male
David Drummond (businessman),Male
David Krane,Male
David Nagel,Male
David Packard,Male
David Sarnoff,Male
Deepwater Horizon oil spill,Unknown
Deirdre O'Brien,Female
Delano Lewis,Male
Dennis Fairclough,Male
Diane Greene,Female
Donald G. Fink,Male
Doodle4Google,Unknown
Drew Major,Male
E. Finley Carter,Unknown
Eddy Cue,Male
Edgar S. Woolard Jr.,Male
Ellen Hancock,Female
Elmer William Engstrom,Male
Eric Schmidt (disambiguation),Male
Erich Bloch,Male
Ernst Weber (engineer),Male
Etherpad,Unknown
Eugene Wong,Male
F. C. Kohli,Unknown
"Feldman v. Google, Inc.",Unknown
Fflick,Unknown
Frances Arnold,Female
Frank v. Gaos,Male
Fred D. Anderson,Male
Frederick Terman,Male
Gaia Blu,Female
Ganeti,Unknown
"Garcia v. Google, Inc.",Unknown
George H. Heilmeier,Male
Gerrit (software),Male
Gil Amelio,Male
Glass OS,Unknown
Gmail,Unknown
Gmail interface,Unknown
"Goddard v. Google, Inc.",Unknown
Gonzalez v. Google LLC,Unknown
Google Apps Script,Unknown
Google Chrome App,Unknown
Google Chrome Experiments,Unknown
Google Chrome Frame,Unknown
Google Cloud Connect,Unknown
Google Cloud Dataflow,Unknown
Google Cloud Datastore,Unknown
Google Cloud Messaging,Unknown
Google Cloud Platform,Unknown
Google Cloud Print,Unknown
Google Cloud Search,Unknown
Google Cloud Shell,Unknown
Google Cloud Storage,Unknown
Google Dashboard,Unknown
Google Glass,Unknown
Google Hummingbird,Unknown
Google Japanese Input,Unknown
Google Lunar X Prize,Unknown
Google Me (Kim Zolciak song),Unknown
Google Me (Teyana Taylor song),Unknown
Google Pixel,Unknown
Google Quick Search Box,Unknown
Google Santa Tracker,Unknown
Google Spain v AEPD and Mario Costeja González,Unknown
Google WiFi,Unknown
Googleplex,Unknown
Gordon Moore,Male
Grace Hopper (submarine communications cable),Female
Greg Joswiak,Male
Guerrino De Luca,Male
Haraden Pratt,Unknown
Harvey Fletcher,Male
Henry Kissinger,Male
Henry Samueli,Male
"Hibnick v. Google, Inc.",Unknown
Hillary Clinton,Female
Hillary Clinton 2016 presidential campaign,Female
History of Gmail,Unknown
HomePod Mini,Unknown
Honorary Knight Commander of the Order of the British Empire,Unknown
ITunes Store,Unknown
Ian Munro Ross,Male
Inbox by Gmail,Unknown
Irwin Dorros,Male
Isomorphic Labs,Unknown
Ivan A. Getting,Male
Jamboard,Unknown
James A. Bell,Male
James B. Owens,Male
James F. Gibbons,Male
James Fallows,Male
James Hillier,Male
James R. Thompson Center,Male
Jared Cohen,Male
Jedi Blue,Unknown
Jeff Daniels,Male
Jeff Dean,Male
Jeff Williams (Apple),Male
Jerome Wiesner,Male
Jerry York (businessman),Male
Jetpack Compose,Unknown
Jim Carrey,Male
"Joffe v. Google, Inc.",Unknown
John Brooks Slaughter,Male
John Browett,Male
John Doerr,Male
John Giannandrea,Male
John Grist Brainerd,Male
John L. Hennessy,Male
John Markoff,Male
John Sculley,Male
John Ternus,Male
Johny Srouji,Male
Jon Rubinstein,Male
Jonathan Rosenberg (technologist),Male
Joseph M. Pettit,Male
Josh Harris (businessman),Male
Kaggle,Unknown
Kaleida Labs,Unknown
Katherine L. Adams,Female
Ken Olsen,Male
Kevan Parekh,Male
Keyhole Markup Language,Unknown
Krishna Bharat,Unknown
Larry Ellison,Male
Larry Page,Male
Lawrence A. Hyland,Male
Lenz v. Universal Music Corp.,Male
Libvpx,Unknown
Lisa P. Jackson,Female
List of depictions of Steve Jobs,Unknown
Looker Studio,Unknown
Luca Maestri,Male
Lyra (codec),Female
MacBook Pro,Unknown
MacOS,Unknown
MacOS Server,Unknown
MacOS version history,Unknown
Mac App Store,Male
Mac Mini,Male
Mac Studio,Male
Malcolm R. Currie,Male
Mark Papermaster,Male
Matt Cutts,Male
Matt Nathanson: Live at Google,Male
Mayfield Mall,Unknown
Michael Moritz,Male
Michael Scott (Apple),Male
Michael Spindler,Male
Mickey Drexler,Male
Mike Lesk,Male
Mike Markkula,Male
Mildred Dresselhaus,Female
Mosley v SARL Google,Unknown
Mung Chiang,Unknown
N. R. Narayana Murthy,Unknown
Nancy R. Heinen,Female
Neal Mohan,Male
Nik Gowing,Male
Nik Software,Male
No Tech for Apartheid,Unknown
Norman R. Augustine,Male
NotebookLM,Unknown
P.A. Semi,Unknown
Patrick E. Haggerty,Male
Patrick Pichette,Male
Paul Deneve,Male
Paul E. Gray,Male
Paul Otellini,Male
Paul Torgersen,Male
Peter Oppenheimer,Male
Phil Schiller,Male
Picasa Web Albums,Unknown
Pixel (1st generation),Unknown
Pixel Buds,Unknown
Pixel Fold,Unknown
Pixel Watch,Unknown
Pixel Watch 2,Unknown
Pixel Watch 3,Unknown
Pope Francis,Unknown
Presidency of Joe Biden,Unknown
Presidential transition of Barack Obama,Unknown
Product Sans,Unknown
Project Ara,Unknown
Project Iris,Unknown
Project Starline,Unknown
Pyra Labs,Unknown
Quick Share,Unknown
R. Martin Chavez,Unknown
Rachel Whetstone,Female
Rajen Sheth,Unknown
Ralph Bown,Male
Ram Shriram,Male
Ray Kurzweil,Male
Ray Noorda,Male
Ray Stata,Male
Raymond A. Heising,Male
ReCAPTCHA,Unknown
Richard Fateman,Male
Rick Osterloh,Male
Robert A. Frosch,Male
Robert Frankenberg,Male
Robert O. Work,Male
Robin Saxby,Male
Rodney Brooks,Male
Roger W. Ferguson Jr.,Male
Roland W. Schmitt,Male
Ron Johnson (businessman),Male
Ronald Hovsepian,Male
Ronald Sugar,Male
Ronald Wayne,Male
Ruth Porat,Female
Sabih Khan,Unknown
Safari (web browser),Unknown
Salar Kamangar,Unknown
Sanjay Ghemawat,Male
Schmidt Futures,Unknown
Schmidt Science Fellows,Unknown
Scott Forstall,Male
Sergey Brin,Male
Shirley M. Tilghman,Female
Sidewalk Labs,Unknown
Simon Ramo,Male
Sophie Schmidt (entrepreneur),Female
Sputnik (JavaScript conformance test),Unknown
Steve Jobs,Male
Steve Wozniak,Male
Steven Sample,Male
Sundar Pichai,Unknown
Susan Wagner,Female
Susan Wojcicki,Female
Takeo Kanade,Male
Techonomy Media,Unknown
Tez (software),Unknown
The Google Story,Female
Thomas Eugene Everhart,Male
Tim Cook,Male
Tony Fadell,Male
Topsy Labs,Unknown
Trendalyzer,Unknown
"Umar Javeed, Sukarma Thapar, Aaqib Javeed vs. Google LLC and Ors.",Male
VTuber,Unknown
Vevo,Unknown
Vint Cerf,Unknown
Virginia Tech,Female
Walkie-Talkie (Apple),Unknown
Walter Ransom Gail Baker,Male
Webdriver Torso,Unknown
Wendy Schmidt,Female
Wendy Schmidt Oil Cleanup X CHALLENGE,Female
Where on Google Earth is Carmen Sandiego?,Unknown
William Norris (CEO),Male
YouTube Awards,Unknown
YouTube BrandConnect,Unknown
YouTube Comedy Week,Unknown
YouTube Creator Awards,Unknown
YouTube Kids,Unknown
YouTube Live,Unknown
YouTube Music,Unknown
YouTube Next Lab and Audience Development Group,Unknown
YouTube Premium,Unknown
YouTube Rewind,Unknown
YouTube Rewind 2018: Everyone Controls Rewind,Unknown
YouTube Rewind 2019: For the Record,Unknown
YouTube Select,Unknown
YouTube Shorts,Unknown
YouTube Space,Unknown
YouTube Space Lab,Unknown
YouTube Studio,Unknown
YouTube Symphony Orchestra,Unknown
YouTube Theater,Unknown
