Name,Gender
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anthony Wilden,Male
Bernhard Hassenstein,Male
Buckminster Fuller,Unknown
Charles François (systems scientist),Male
Claude Bernard,Male
Donald Griffin,Male
Donald Kennedy,Male
Eric Kandel,Male
Eric Knudsen,Male
Ernst von Glasersfeld,Male
Fernando Nottebohm,Male
Francis Heylighen,Male
Francisco Varela,Male
Franz Huber,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Hermann Eduard von Holst,Male
Herrsching am Ammersee,Unknown
Horst Mittelstaedt,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John N. Warfield,Male
Karl von Frisch,Male
Kevin Warwick,Male
Konrad Lorenz,Male
Krogh's Principle,Unknown
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Masakazu Konishi,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Nikolaas Tinbergen,Male
Nobuo Suga,Male
Norbert Wiener,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Robert Trappl,Male
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Theodore Holmes Bullock,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Heiligenberg,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Werner E. Reichardt,Male
William Grey Walter,Male
