Name,Gender
A Skeleton Key to Finnegans Wake,Unknown
Adaline Glasheen,Unknown
Alan Warren Friedman,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anthony Burgess,Male
Anthony Wilden,Male
Buckminster Fuller,Unknown
C. George Sandulescu,Unknown
Charles François (systems scientist),Male
Christian Michelides,Male
Claude Bernard,Male
David Norris (politician),Male
Erich von Holst,Male
Festschrift,Unknown
Finn's Hotel,Unknown
Finnegans Wake,Unknown
Francis Heylighen,Male
Francisco García Tortosa,Male
Francisco Varela,Male
Frank Delaney,Male
Frederic Vester,Male
Fritz Senn,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
Giacomo Joyce,Male
Giambattista Vico,Male
Gordon Pask,Male
Gordon S. Brown,Male
Grace (short story),Female
Gregory Bateson,Male
Harriet Shaw Weaver,Female
Heinz von Foerster,Male
Hugh Kenner,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Joyce,Male
James Joyce's The Dead,Male
James Joyce (biography),Male
James Joyce Award,Male
James Joyce Centre,Male
James Joyce Quarterly,Male
James Joyce Tower and Museum,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jean Piaget,Male
Jennifer Wilby,Female
John N. Warfield,Male
John Simpson (lexicographer),Male
John Stanislaus Joyce,Male
Josef Mitterer,Male
José María Valverde,Male
Kevin Warwick,Male
Lucia Joyce,Female
Lyceum Alpinum Zuoz,Unknown
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Mary Gertrude Joyce,Female
Michael Groden,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Nora Barnacle,Female
Norbert Wiener,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Richard Ellmann,Male
Richard von Coudenhove-Kalergi,Male
Robert Trappl,Male
Ronald Symond,Male
Sergei P. Kurdyumov,Male
Silvio Ceccato,Male
Stafford Beer,Male
Stanislaus Joyce,Male
Stephen Hero,Male
Stephen James Joyce,Male
Stuart Gilbert,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
The Dead (Joyce short story),Female
The Sisters (short story),Female
Theo Hug,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
William H. Quillian,Male
William York Tindall,Male
Zürich James Joyce Foundation,Unknown
Template:James Joyce,Unknown
Template talk:James Joyce,Unknown
