Name,Gender
Acquisition of Twitter by Elon Musk,Unknown
Andrej Karpathy,Male
António Guterres,Male
B. A.,Unknown
Bibcode (identifier),Unknown
Bill Dally,Male
Christof Koch,Male
Coursera,Unknown
Davey Alba,Male
Geoffrey E. Hinton,Male
Heroine Li Feifei,Unknown
Jensen Huang,Unknown
John Etchemendy,Male
John Hopfield,Male
Li Feifei,Unknown
M. S.,Unknown
Martin Ford (author),Male
Olga Russakovsky,Female
Pietro Perona,Male
Queen Elizabeth Prize for Engineering,Female
Sichuan Chengdu No.7 High School,Unknown
Simon Fraser University,Male
TED (conference),Unknown
Tess Posner,Female
Yann LeCun,Male
Yoshua Bengio,Unknown
