Name,Gender
A. L. Rowse,Unknown
Adam Ferguson,Male
Adam Smith,Male
Adam Weishaupt,Male
Adamantios Korais,Male
Adriaan Koerbagh,Male
Albert Pollard,Male
Alexander Pope,Male
Alexander Radishchev,Male
Alfred North Whitehead,Male
Algernon Sidney,Unknown
Alice Barnham,Female
Ancien Régime,Unknown
Anne Bacon,Female
Anne Robert Jacques Turgot,Female
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",Male
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",Male
Anthony Bacon (1558–1601),Male
Anthony Collins (philosopher),Male
Anthony Cooke,Male
Anthony Keck (Tiverton MP),Male
Antiochus Kantemir,Unknown
Antonie van Leeuwenhoek,Female
Antonio Genovesi,Male
Avram Mrazović,Male
Baconian theory of Shakespeare authorship,Unknown
Balthasar Bekker,Male
Barnabas Gooch,Male
Baron Verulam,Male
Bas van Fraassen,Male
Basil Montagu,Male
Benjamin Franklin,Male
Bernard Le Bovier de Fontenelle,Male
Bernard Mandeville,Male
Bernard Nieuwentyt,Male
Bertrand Russell,Male
Blois,Unknown
Bulstrode Whitelocke,Unknown
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Catherine the Great,Female
Cesare Beccaria,Male
Charles Bonnet,Male
Charles III of Spain,Male
Charles II of England,Male
Charles I of England,Male
Charles Sanders Peirce,Male
Christiaan Huygens,Male
Christian Thomasius,Male
Christian Wolff (philosopher),Male
Christoph Martin Wieland,Male
Claude Adrien Helvétius,Male
Claude J. Summers,Male
Confessio Fraternitatis,Unknown
Daphne du Maurier,Female
David Hume,Male
Denis Diderot,Male
Denis Fonvizin,Male
Dimitrie Cantemir,Male
Dositej Obradović,Unknown
Douglas Denon Heath,Male
Dugald Stewart,Male
Edmund Burke,Male
Edward Bacon (died 1618),Male
Edward Coke,Male
Edward Gibbon,Male
"Edward Hyde, 1st Earl of Clarendon",Male
"Edward Littleton, 1st Baron Lyttelton",Male
"Edward Montagu, 2nd Earl of Manchester",Male
Edward N. Zalta,Male
Edward Penruddock,Male
Edward Phelips (speaker),Male
Edward Ward (judge),Male
Edward Warren (MP),Male
Elizabeth Hatton,Female
Elizabeth I,Female
"Encyclopaedia Britannica, 11th edition",Unknown
"Encyclopaedia Britannica, 9th edition",Unknown
Essays (Francis Bacon),Unknown
Ferdinando Galiani,Male
Firmin Abauzit,Male
"Frances Howard, Countess of Somerset",Female
Francesco Mario Pagano,Male
Francis Bacon (disambiguation),Male
Francis Bacon bibliography,Male
Francis Drake,Male
Francis Hutcheson (philosopher),Male
Francis Kinwellmarsh,Male
"Francis North, 1st Baron Guilford",Male
Francis Walsingham,Male
François Quesnay,Male
Friedrich Schiller,Male
Gabriel Bonnot de Mably,Male
Georg Christoph Lichtenberg,Male
George Berkeley,Male
George Greenville (MP for Weymouth and Melcombe Regis),Male
George Hutchins (lawyer),Male
"George Jeffreys, 1st Baron Jeffreys",Male
George Mason,Male
George Treby (judge),Male
"George Villiers, 1st Duke of Buckingham",Male
"Georges-Louis Leclerc, Comte de Buffon",Unknown
Gheorghe Șincai,Male
Giambattista Vico,Male
Gottfried Wilhelm Leibniz,Male
Hans Reichenbach,Male
Harvey Wheeler,Male
Henri Poincaré,Male
Henry Glemham (politician),Male
Henry III of France,Male
"Henry Montagu, 1st Earl of Manchester",Male
Henry Mountlow,Male
Henry Yelverton (attorney-general),Male
Hugh Blair,Male
Hugo Kołłątaj,Male
Hugo von Hofmannsthal,Male
Ian Hacking,Male
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Newton,Male
James Beattie (poet),Male
James Boswell,Male
"James Burnett, Lord Monboddo",Male
James Harrington (author),Male
James Hutton,Male
James II of England,Male
James I of England,Male
James I of England and the English Parliament,Male
"James Ley, 1st Earl of Marlborough",Male
James Madison,Male
James Mill,Male
James Spedding,Male
James VI and I,Male
Jan Swammerdam,Male
Jason Josephson-Storm,Male
Jean-Jacques Burlamaqui,Unknown
Jean-Jacques Rousseau,Unknown
Jean Meslier,Male
Jean le Rond d'Alembert,Male
Jeremy Bentham,Male
Johann Gottfried Herder,Male
Johann Valentin Andreae,Male
Johann Wolfgang von Goethe,Male
John Aubrey,Male
John Bradshaw (judge),Male
"John Finch, 1st Baron Finch",Male
John Fountaine,Male
John Goldwell,Male
John Guy (governor),Male
John Holt (Lord Chief Justice),Male
John Leveson,Male
John Lisle,Male
John Locke,Male
John Macdonell (judge),Male
John Maynard (1604–1690),Male
John Milton,Male
John Oxenford,Male
John Paul De Cecco,Male
John Peyton (soldier),Male
John Playfair,Male
John Poole (died 1601),Male
John Scrope (MP),Male
"John Somers, 1st Baron Somers",Male
John Toland,Male
John Trevor (speaker),Male
John Underhill (courtier),Male
John Whitgift,Male
"John Williams, Bishop of Lincoln",Male
John Williams (archbishop of York),Male
John Wolley (MP),Male
John Wroth (MP for Liverpool),Male
Jonathan Swift,Male
Joseph Addison,Male
Joseph Agassi,Male
Joseph Black,Male
Joseph Priestley,Male
