Name,Gender
Alex Grey,Male
Alexander Bogdanov,Male
Alexander Lerner,Male
Alexander Rosenberg,Male
Alfred I. Tauber,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Augusto Pinochet,Male
Barbara J. Grosz,Female
Buckminster Fuller,Unknown
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Carla Fehr,Female
Charles A. S. Hall,Male
Charles Darwin,Male
Charles François (systems scientist),Male
Clare W. Graves,Female
Claude Bernard,Male
Claude Shannon,Male
Daniel Dennett,Male
David Hull (philosopher),Male
Denis Noble,Male
Don Edward Beck,Male
Donella Meadows,Female
E. O. Wilson,Unknown
Edmund Husserl,Male
Edsger W. Dijkstra,Unknown
Edward Haskell,Male
Edward Norton Lorenz,Male
Elliott Sober,Male
Eric Trist,Male
Erich Jantsch,Male
Erich von Holst,Male
Ernst Mayr,Male
Ernst von Glasersfeld,Male
Evan Thompson,Male
Faina Mihajlovna Kirillova,Female
Francis Heylighen,Male
Francisco J. Ayala,Male
Francisco Varela (disambiguation),Male
François Jacob,Male
Fred Emery,Male
Frederic Vester,Male
Fritjof Capra,Unknown
Genevieve Bell,Female
Geoffrey Vickers,Male
George Dantzig,Male
George Klir,Male
George Leonard,Male
Gerard Verschuuren,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Hans Jonas,Male
Heinz von Foerster,Male
Helen Longino,Female
Howard T. Odum,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Integral theory (Ken Wilber),Unknown
Jacque Fresco,Female
Jacques Monod,Male
Jakob Johann von Uexküll,Male
James Grier Miller,Male
James J. Kay,Male
James Mark Baldwin,Male
James R. Griesemer,Male
Jane Maienschein,Female
Jared Diamond,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jean Gebser,Male
Jennifer Wilby,Female
Joan Roughgarden,Female
John Beatty (philosopher),Male
John Dupré,Male
John Maynard Smith,Male
John N. Warfield,Male
John Seddon,Male
Jon Kabat-Zinn,Male
Jonas Salk,Male
Kathleen Carley,Female
Ken Wilber,Male
Kenneth E. Boulding,Male
Kevin Warwick,Male
Kim Sterelny,Female
Konrad Lorenz,Male
Leonor Varela,Female
Lindley Darden,Male
Lydia Kavraki,Female
Maleyka Abbaszadeh,Unknown
Manuela M. Veloso,Female
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Marjorie Grene,Female
Mary Cartwright,Female
Maurice Merleau-Ponty,Male
Michael E. Zimmerman,Male
Michael Ghiselin,Male
Michael Murphy (author),Male
Michael Ruse,Male
Mihajlo D. Mesarovic,Male
Mike Jackson (systems scientist),Male
Murray Bowen,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Patrick Bateson,Male
Paul E. Griffiths,Male
Peter Godfrey-Smith,Male
Peter Senge,Male
Petro Grigorenko,Male
Philip Kitcher,Male
Qian Xuesen,Unknown
R. Adam Engle,Unknown
Radhika Nagpal,Female
Ranulph Glanville,Unknown
Richard Dawkins,Male
Richard E. Bellman,Male
Richard Lewontin,Male
Robert Trappl,Male
Roberta Millstein,Female
Rolf Sattler,Male
Rupert Sheldrake,Male
Russell L. Ackoff,Male
Sandra Mitchell,Female
Sergei P. Kurdyumov,Male
Shambhala Training,Unknown
Sri Aurobindo,Unknown
Stafford Beer,Male
Stanislav Grof,Male
Stephanie Forrest,Female
Stephen Jay Gould,Male
Stuart Davis (musician),Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Susan Oyama,Female
Synergetics (Haken),Unknown
Tim Lewens,Male
Torsten Wiesel,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
Victor Aladjev,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William C. Wimsatt,Male
William Grey Walter,Male
William Irwin Thompson,Male
William Ross Ashby,Male
École Polytechnique,Unknown
