Name,Gender
Aaron Ciechanover,Male
Abdus Salam,Unknown
Adam Riess,Male
Albert A. Michelson,Male
Albert Einstein,Male
Albert Fert,Male
Aleksandr Solzhenitsyn,Male
Alexander Prokhorov,Male
Alfred Kastler,Male
Alister Hardy,Male
Alvin Plantinga,Male
Andre Geim,Male
Andrea M. Ghez,Female
Anne L'Huillier,Female
Anthony James Leggett,Male
Anton Zeilinger,Male
Arthur Ashkin,Male
Arthur B. McDonald,Male
Arthur Compton,Male
Arthur Leonard Schawlow,Male
Arthur Peacocke,Male
Avram Hershko,Male
Baba Amte,Male
Barry Barish,Male
Ben Roy Mottelson,Male
Bernard d'Espagnat,Male
Bertram Brockhouse,Male
Betsy Devine,Female
Bibcode (identifier),Unknown
Bill Bright,Male
Bill Joy,Male
Billy Graham,Male
Boson,Unknown
Brian Josephson,Male
Brian Schmidt,Male
Brother Roger,Unknown
Burton Richter,Male
C. F. Powell,Unknown
C. V. Raman,Unknown
Carl David Anderson,Male
Carl Friedrich von Weizsäcker,Male
Carl Wieman,Male
Carlo Rubbia,Male
Charles Birch,Male
Charles Colson,Male
Charles Glover Barkla,Male
Charles H. Townes,Male
Charles K. Kao,Male
Charles Taylor (philosopher),Male
Charles Thomson Rees Wilson,Male
Charles Édouard Guillaume,Male
Chiara Lubich,Female
Claude Cohen-Tannoudji,Male
Claudia Dreifus,Female
Clifford Shull,Male
Clinton Davisson,Male
Dan Hendrycks,Male
Daniel C. Tsui,Male
Daniel Tsui,Male
David Gross,Male
David J. Gross,Male
David J. Thouless,Male
David J. Wineland,Male
David Lee (physicist),Male
Dennis Gabor,Male
Desmond Tutu,Male
Didier Queloz,Male
Donald A. Glaser,Male
Donna Strickland,Female
Douglas Osheroff,Male
Duncan Haldane,Male
Edward C. Prescott,Male
Edward Mills Purcell,Male
Eliezer Yudkowsky,Male
Emilio Segrè,Male
Eric Allin Cornell,Male
Ernest Lawrence,Male
Ernest Walton,Male
Ernst Ruska,Male
Erwin Schrödinger,Male
Eugene Wigner,Male
Felix Bloch,Male
Finn E. Kydland,Male
Francis Collins,Male
Francisco J. Ayala,Male
François Englert,Male
Frederick Reines,Male
Freeman Dyson,Male
Fundamentals: Ten Keys to Reality,Unknown
Gabriel Lippmann,Male
Geoffrey Hinton,Male
Georg Bednorz,Male
George E. Smith,Male
George F. R. Ellis,Male
George Gamow Memorial Lectures,Male
George MacLeod,Male
George Paget Thomson,Male
George Smoot,Male
Georges Charpak,Male
Gerard 't Hooft,Male
Gerd Binnig,Male
Guglielmo Marconi,Male
Gustaf Dalén,Male
Gustav Ludwig Hertz,Male
Gérard Mourou,Male
H. David Politzer,Unknown
Hannes Alfvén,Male
Hans Bethe,Male
Heinrich Rohrer,Male
Helen Quinn,Female
Hendrik Lorentz,Male
Henri Becquerel,Male
Henry Way Kendall,Male
Herbert Kroemer,Male
Herman Feshbach,Male
Hiroshi Amano,Male
Holmes Rolston III,Unknown
Horst Ludwig Störmer,Male
Horst Störmer,Male
Hugh David Politzer,Male
Ian Barbour,Male
"Immanuel Jakobovits, Baron Jakobovits",Male
Inamullah Khan,Unknown
Irwin Rose,Male
Isamu Akasaki,Male
Isidor Isaac Rabi,Male
Ivar Giaever,Male
J. Hans D. Jensen,Unknown
J. J. Thomson,Unknown
J. Michael Kosterlitz,Unknown
Jaan Tallinn,Male
Jack Kilby,Male
Jack Steinberger,Male
James Chadwick,Male
James Clerk Maxwell,Male
James Cronin,Male
James Franck,Male
James I. McCord,Male
James Rainwater,Male
Jane Goodall,Female
Jean Baptiste Perrin,Male
Jean Vanier,Male
Jerome Isaac Friedman,Male
Jim Peebles,Male
Johannes Stark,Male
John Bardeen,Male
John C. Mather,Male
John Clauser,Male
John Cockcroft,Male
John D. Barrow,Male
John Hasbrouck Van Vleck,Male
John Hopfield,Male
John L. Hall,Male
John Polkinghorne,Male
John Robert Schrieffer,Male
"John William Strutt, 3rd Baron Rayleigh",Male
Jon Magne Leinaas,Male
"Jonathan Sacks, Baron Sacks",Male
Joseph Henry Laboratories,Male
Joseph Hooton Taylor Jr.,Male
Julian Schwinger,Male
K. Alex Müller,Unknown
K. C. Cole,Unknown
K. Eric Drexler,Unknown
Kai Siegbahn,Male
Karl Ferdinand Braun,Male
Kenneth G. Wilson,Male
Kip Thorne,Male
Klaus Hasselmann,Male
Klaus von Klitzing,Male
Konstantin Novoselov,Male
Lawrence Bragg,Male
Leo Joseph Suenens,Male
Leon Cooper,Male
Leon M. Lederman,Male
Lev Landau,Male
Lewis Burke Frumkes,Male
Lilienfeld Prize,Unknown
Linda B. Buck,Female
Lorentz Medal,Male
Louis Néel,Male
Louis de Broglie,Male
Luis Walter Alvarez,Male
Makoto Kobayashi (physicist),Male
Manne Siegbahn,Male
Marcelo Gleiser,Male
Maria Goeppert Mayer,Female
Marie Curie,Female
Martin Lewis Perl,Male
Martin Rees,Male
Martin Ryle,Male
Martin Van Buren High School (New York City),Male
Martinus J. G. Veltman,Male
Masatoshi Koshiba,Male
Max Born,Male
Max Planck,Male
Max Tegmark,Male
Max von Laue,Male
Melvin Schwartz,Male
Michael Novak,Male
Michał Heller,Male
Mother Teresa,Unknown
Murray Gell-Mann,Male
