Name,Gender
Al-Farabi,Unknown
Al-Kindi,Unknown
Alexius Meinong,Unknown
Anna-Teresa Tymieniecka,Unknown
Anton Marty,Male
Barry Smith (academic),Male
Bertrand Russell,Male
Bettina von Arnim,Female
Carl Stumpf,Male
Cesare Cremonini (philosopher),Male
Christian Brentano,Male
Christian von Ehrenfels,Male
Clemens Brentano,Male
Cäcilie M.,Female
Dr. phil. hab.,Unknown
E. B. Titchener,Unknown
Edmund Husserl,Male
Edward N. Zalta,Male
Franz Jakob Clemens,Male
Friedrich Carl von Savigny,Male
George Edward Moore,Male
George Stout,Male
Gunda Brentano,Female
Islamic Golden Age,Unknown
Jacopo Zabarella,Male
"Johann Philipp Stadion, Count von Warthausen",Male
John Henry Newman,Male
Linda López McAlister,Female
Lujo Brentano,Unknown
Lwów–Warsaw school,Unknown
Magna Moralia,Female
Marienberg am Rhein,Unknown
Martha Nussbaum,Female
Martin Heidegger,Male
Mortimer J. Adler,Male
"On Melissus, Xenophanes, and Gorgias",Unknown
Peter Lombard,Male
Peter of Spain,Male
Pietro Pomponazzi,Male
Rhetoric to Alexander,Unknown
Robert von Lieben,Male
Rudolf Steiner,Male
Sigmund Freud,Male
Sophie von La Roche,Female
Thomas Aquinas,Male
Tomáš Masaryk,Male
Wolfgang Smith,Male
