Name,Gender
A. J. Ayer,Unknown
Alan Turing,Male
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andy Clark,Male
Anil Gupta (philosopher),Male
Arif Ahmed (philosopher),Male
Augustine of Hippo,Female
Barry Stroud,Male
Bas van Fraassen,Male
Bernard Williams,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Cora Diamond,Female
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Duncan Pritchard,Male
Edmund Gettier,Male
Edmund Husserl,Male
Ernest Nagel,Male
Ernest Sosa,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Brentano,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
George Berkeley,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Hilary Kornblith,Female
Howison Lectures in Philosophy,Unknown
Ian Hacking,Male
Immanuel Kant,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Pryor,Male
Jean Nicod Prize,Male
Jerry Fodor,Male
John Dewey,Male
John Dupré,Male
John Locke,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
Karl Popper,Male
Keith DeRose,Male
Keith Donnellan,Male
Kurt Gödel,Male
Laurence BonJour,Female
Ludwig Wittgenstein,Male
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
May Brodbeck,Female
Michael Dummett,Male
Michael Tooley,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Peter D. Klein,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
R. M. Hare,Unknown
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Roderick Chisholm,Male
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Stephen Yablo,Male
Susan Haack,Female
Susanna Siegel,Female
Thomas Aquinas,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Thomas Reid,Male
Timothy Williamson,Male
University of Wisconsin–Madison,Unknown
Vienna Circle,Female
Willard Van Orman Quine,Male
William Alston,Male
William James,Male
William Lane Craig,Male
Zhuang Zhou,Unknown
