Name,Gender
2019 Kim Kim River toxic pollution,Unknown
2021 Fukushima earthquake,Unknown
Bibcode (identifier),Unknown
Bikini Atoll,Unknown
Boron carbide,Unknown
Christian Bataille,Male
Comparison of the Chernobyl and Fukushima nuclear accidents,Unknown
Fukushima Daiichi nuclear disaster,Unknown
Fukushima Daiichi nuclear disaster (Unit 1 Reactor),Unknown
Fukushima Daiichi nuclear disaster (Unit 2 Reactor),Unknown
Fukushima Daiichi nuclear disaster (Unit 3 Reactor),Unknown
Fukushima Daiichi nuclear disaster casualties,Unknown
Fukushima Daini Nuclear Power Plant,Unknown
"Futaba, Fukushima",Unknown
Hanford Site,Unknown
JPY,Unknown
Japan Atomic Industrial Forum,Unknown
Japanese reaction to Fukushima Daiichi nuclear disaster,Unknown
Jinzaburo Takagi,Unknown
Johnston Atoll,Male
Junichiro Koizumi,Male
Katsumi Furitsu,Male
"Kawamata, Fukushima",Unknown
Ken Buesseler,Male
Kiyoshiro Imawano,Unknown
Kyshtym disaster,Unknown
Martin Fackler (journalist),Male
Millisievert,Unknown
Mizuho Fukushima,Female
"Namie, Fukushima",Unknown
Naoto Kan,Male
No.18 Kyotoku-maru,Unknown
Nobuto Hosaka,Unknown
Reiwa Shinsengumi,Unknown
Rokkasho Reprocessing Plant,Unknown
Rokkasho Rhapsody,Unknown
Ryuichi Sakamoto,Male
Sanshiro Kume,Unknown
Shinkansen Relay,Unknown
Shinzō Abe,Unknown
Smiling Sun,Unknown
TEPCO,Unknown
Tokaimura nuclear accidents,Unknown
Wildfires,Unknown
Yuzuru Hanyu Notte Stellata,Male
"Ōkuma, Fukushima",Unknown
