Name,Gender
Adam D'Angelo,Male
Adebayo Ogunlesi,Unknown
Adobe Firefly,Unknown
Alan Turing,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Allen Newell,Male
Andrej Karpathy,Male
Andrew Ng,Male
Aurora (text-to-image model),Female
Bernard Widrow,Male
Bias–variance tradeoff,Unknown
Bibcode (identifier),Unknown
Bret Taylor,Male
Chinchilla (language model),Unknown
Claude (language model),Male
Claude Shannon,Male
David Silver (computer scientist),Male
Deep Learning (South Park),Female
Don Beyer,Male
Emmett Shear,Male
Fei-Fei Li,Unknown
Frank Rosenblatt,Male
GPT Store,Unknown
Geoffrey Hinton,Male
George Hotz,Male
Greg Brockman,Male
Grok (chatbot),Unknown
Helen Toner,Female
Herbert A. Simon,Male
Hidden Markov model,Unknown
Holden Karnofsky,Male
Ian Goodfellow,Male
John Hopfield,Male
John McCarthy (computer scientist),Male
John von Neumann,Male
Joseph Weizenbaum,Male
Jürgen Schmidhuber,Male
Lawrence Summers,Male
Llama (language model),Unknown
Lotfi A. Zadeh,Male
Marvin Minsky,Male
Melanie Mitchell,Female
Microsoft Bing,Unknown
MiniMax (company),Unknown
Nathaniel Rochester (computer scientist),Male
Neuro-symbolic AI,Unknown
Nicole Seligman,Female
Oliver Selfridge,Male
OpenAI Codex,Unknown
Paul Nakasone,Male
Paul Werbos,Male
Qwen,Unknown
Ray Kurzweil,Male
Reid Hoffman,Male
Removal of Sam Altman from OpenAI,Unknown
Sam Altman,Male
Sarah Friar,Female
Sasha Luccioni,Male
Scott Schools,Male
Seymour Papert,Male
Stephen Grossberg,Male
Steve Wozniak,Male
Sue Desmond-Hellmann,Female
Suno AI,Unknown
Ted Lieu,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Will Hurd,Male
Yann LeCun,Male
Yoshua Bengio,Unknown
Template:Latest preview software release/Generative Pre-trained Transformer 4 (GPT-4),Unknown
Template:Latest stable software release/Generative Pre-trained Transformer 4 (GPT-4),Unknown
Category:OpenAI,Unknown
