Name,Gender
Adolf Hitler,Male
Alejandro Ramírez (chess player),Male
Aleksandr Nikitin (chess player),Male
Aleksandr Solzhenitsyn,Male
Alexander Alekhine,Male
Alexander Beliavsky,Male
Alexander Khalifman,Male
Alexander Shakarov,Male
Alexey Sokolsky,Male
Bashar al-Assad,Male
Bent Larsen,Male
Bernie Sanders,Female
Bobby Fischer,Male
Boris Gulko,Male
Boris Spassky,Male
Boris Yeltsin,Male
Chess Oscar,Unknown
Daniel J. King,Male
Daniel King (chess player),Male
David Vincent Hooper,Male
Deep Blue (chess computer),Female
"Deep Blue - Kasparov, 1997, Game 6",Female
Deep Blue versus Garry Kasparov,Female
Der Spiegel,Unknown
Ding Liren,Unknown
Donald Trump,Male
Edward Winter (chess historian),Male
Emanuel Lasker,Male
Evgeny Vladimirov,Male
Feng-hsiung Hsu,Unknown
Fidel Castro,Male
Fizkultura i sport,Unknown
Fritz (chess),Male
Game Over: Kasparov and the Machine,Unknown
Grover Norquist,Male
Grünfeld Defence,Unknown
Gukesh Dommaraju,Unknown
Harry Potter,Male
Harry S. Truman,Male
Hedgehog Defense,Unknown
Henry Kissinger,Male
Hikaru Nakamura,Female
Hitler,Unknown
Ignatius Leong,Male
Igor V. Ivanov,Male
Ivan Sokolov (chess player),Male
Jan Timman,Male
Jonathan Tisdall,Male
Josef Stalin,Male
Joshua Keating,Male
José Raúl Capablanca,Male
Jutarnji list,Unknown
József Szén,Male
Kanye West,Unknown
Karpov–Kasparov rivalry,Unknown
Kasparov,Unknown
Kasparov's Gambit,Unknown
Kasparov (disambiguation),Unknown
Kasparov Chess,Unknown
Kasparov Chessmate,Unknown
Kasparov versus the World,Unknown
Kenneth Whyld,Male
Kim Jong-un,Female
Kirsan Ilyumzhinov,Unknown
LCCN (identifier),Unknown
Lev Psakhis,Male
Levon Aronian,Male
List of chess games between Kasparov and Kramnik,Unknown
Luis Rentero,Male
Makarska,Unknown
Mariano Rajoy,Male
Matt Calkins,Male
Maurice Ashley,Male
Max Euwe,Male
Max Levchin,Male
Maxime Vachier-Lagrave,Male
Michael C. Moynihan,Male
Miguel Najdorf,Male
Mike Pence,Male
Mikhail Botvinnik,Male
Mikhail Khodorkovsky,Male
Mikhail Tal,Male
Nick Aplin,Male
Nigel Short,Male
Novaya Gazeta,Unknown
Nursultan Nazarbayev,Male
Op-ed,Unknown
Peter Svidler,Male
Peter Thiel,Male
Presidency of Joe Biden,Unknown
Pussy Riot,Unknown
Putin must go,Unknown
Raymond Keene,Male
Renew Democracy Initiative,Unknown
Robert Mugabe,Male
Ruslan Ponomariov,Male
Rustam Kasimdzhanov,Male
Samuel Reshevsky,Male
Sergei Rublevsky,Male
Sicilian Defence,Unknown
"Sicilian Defence, Scheveningen Variation",Unknown
Slobodan Milošević,Male
Tamerlan Tsarnaev,Male
The Man Without a Face: The Unlikely Rise of Vladimir Putin,Female
The Scotsman,Female
Valencia,Female
Vasyl Ivanchuk,Male
Viktor Korchnoi,Male
Viswanathan Anand,Unknown
Vladimir Kramnik,Male
Vladimir Makogonov,Male
Vladimir Pozner Jr.,Male
Vladimir Putin,Male
Wesley So,Male
Wilhelm Steinitz,Male
World Chess Championship 1910 (Lasker–Janowski),Unknown
Yasser Seirawan,Male
Yevgeniya Chirikova,Female
Yulia Navalnaya,Female
Yuri Felshtinsky,Male
Zoltán Ribli,Male
Zoran Milanović,Male
File:Garri Kasparov voice.oga,Unknown
