Name,Gender
Abdus Salam,Unknown
Adam Riess,Male
Adi Shamir,Male
Alan Kay,Male
Alan Perlis,Male
Albert A. Michelson,Male
Albert Einstein,Male
Albert Fert,Male
Alberto Sols,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Alexander Prokhorov,Male
Alfred Aho,Male
Alfred Kastler,Male
Allen Newell,Male
Amir Pnueli,Male
Andre Geim,Male
Andrea M. Ghez,Female
Andrew Casson,Male
Andrew Yao,Male
Anne L'Huillier,Female
Anthony James Leggett,Male
Anthony R. Hunter,Male
Anthony Segal,Male
Anton Zeilinger,Male
Antonio Damasio,Male
Antonio Garcia-Bellido,Male
Antonio González González (chemist),Male
Arthur Ashkin,Male
Arthur B. McDonald,Male
Arthur Compton,Male
Arthur Leonard Schawlow,Male
Arturo Alvarez-Buylla,Male
Ashoke Sen,Unknown
Avel·lí Corma Canós,Unknown
Avi Wigderson,Male
B. A.,Unknown
Barbara Liskov,Female
Barry Barish,Male
Baruch Minke,Male
Ben Roy Mottelson,Male
Bernard Wood (geologist),Male
Bert Vogelstein,Male
Bertram Brockhouse,Male
Bibcode (identifier),Unknown
Bill Dally,Male
Bob Kahn,Male
Bonnie Bassler,Female
Brendan Frey,Male
Brian Greenwood,Male
Brian Josephson,Male
Brian Schmidt,Male
Brian Worthington,Male
Brook Silva-Braga,Female
Burton Richter,Male
Butler Lampson,Unknown
C. F. Powell,Unknown
C. V. Raman,Unknown
Carl David Anderson,Male
Carl Wieman,Male
Carlo Rubbia,Male
Charles Bachman,Male
Charles Ellington,Male
Charles Glover Barkla,Male
Charles H. Townes,Male
Charles Howard Hinton,Male
Charles K. Kao,Male
Charles P. Thacker,Male
Charles Thomson Rees Wilson,Male
Charles Édouard Guillaume,Male
Cheryll Tickle,Female
Christopher Longuet-Higgins,Male
Claude Cohen-Tannoudji,Male
Clifford Shull,Male
Clinton Davisson,Male
Colin Clark (economist),Male
Coursera,Unknown
Craig Venter,Male
Dana Scott,Female
Daniel C. Tsui,Male
Daniel J. Drucker,Male
Daron Acemoglu,Male
David Baker (biochemist),Male
David Barker (epidemiologist),Male
David C. Hanna,Male
David E. Rumelhart,Male
David Gross,Male
David J. Thouless,Male
David J. Wineland,Male
David Julius,Male
David Lee (physicist),Male
David Patterson (computer scientist),Male
David Rumelhart,Male
David Vázquez Martínez,Male
Dennis Gabor,Male
Dennis Ritchie,Male
Derrick Rossi,Male
Dickson Prize,Unknown
Didier Queloz,Male
Donald A. Glaser,Male
Donald Knuth,Male
Donna Strickland,Female
Douglas Engelbart,Male
Douglas Osheroff,Male
Drew Weissman,Male
Duncan Haldane,Male
E. Allen Emerson,Unknown
Edgar F. Codd,Male
Edmund M. Clarke,Male
Edsger W. Dijkstra,Unknown
Edward Feigenbaum,Male
Edward Mills Purcell,Male
Edwin Catmull,Male
Elias James Corey,Male
Emilio Méndez Pérez,Male
Emilio Rosenblueth,Male
Emilio Segrè,Male
Emmanuel Candès,Male
Emmanuelle Charpentier,Female
Enrico Coen,Male
Enrique Moreno González,Male
Eric Allin Cornell,Male
Ernest Lawrence,Male
Ernest Walton,Male
Ernst Ruska,Male
Erwin Schrödinger,Male
Eugene Wigner,Male
Everett Peter Greenberg,Male
Federico García Moliner,Male
Fei-Fei Li,Unknown
Felix Bloch,Male
Fernando J. Corbató,Male
Frances Allen,Female
Francis Collins,Male
Francisco Bolívar Zapata,Male
Frank Wilczek,Male
François Englert,Male
Fred Brooks,Male
Frederick Reines,Male
Gabriel Lippmann,Male
Galen D. Stucky,Male
Gary Ruvkun,Male
Georg Bednorz,Male
George Boole,Male
George E. Smith,Male
George Everest,Male
George M. Whitesides,Male
George Paget Thomson,Male
George Smoot,Male
Georges Charpak,Male
Gerard 't Hooft,Male
Gerd Binnig,Male
Gerhard Herzberg Canada Gold Medal for Science and Engineering,Male
Ginés Morata,Unknown
Guglielmo Marconi,Male
Gustaf Dalén,Male
Gustav Ludwig Hertz,Male
Gérard Mourou,Male
H. Christopher Longuet-Higgins,Unknown
H. E. Hinton,Unknown
Hamilton O. Smith,Male
Hannes Alfvén,Male
Hans Bethe,Male
Heinrich Rohrer,Male
Hendrik Lorentz,Male
Henri Becquerel,Male
Henry Way Kendall,Male
Herbert A. Simon,Male
Herbert Kroemer,Male
Hiroshi Amano,Male
Horst Ludwig Störmer,Male
Hugh David Politzer,Male
Hugh Herr,Male
IEEE/RSE James Clerk Maxwell Medal,Unknown
IEEE/RSE Wolfson James Clerk Maxwell Award,Unknown
IEEE Frank Rosenblatt Award,Unknown
Isamu Akasaki,Male
Isidor Isaac Rabi,Male
Ivan Sutherland,Male
Ivar Giaever,Male
J. Hans D. Jensen,Unknown
J. J. Thomson,Unknown
J. Michael Kosterlitz,Unknown
J. Philip Grime,Unknown
Jack Dongarra,Male
Jack Kilby,Male
Jack Steinberger,Male
James A. Robinson,Male
James Chadwick,Male
James Cronin,Male
James Franck,Male
James H. Wilkinson,Male
James Hinton (surgeon),Male
James Rainwater,Male
Jane Goodall,Female
Jean Baptiste Perrin,Male
Jean Beggs,Male
Jean Weissenbach,Male
Jeffrey I. Gordon,Male
Jeffrey M. Friedman,Male
Jeffrey Ullman,Male
Jennifer Doudna,Female
Jens Juul Holst,Male
Jerome Isaac Friedman,Male
Jim Gray (computer scientist),Male
Jim Peebles,Male
Joan Massagué,Female
Joanne Chory,Female
Joel Habener,Male
Johannes Stark,Male
John Backus,Male
John Bardeen,Male
John C. Mather,Male
John Clauser,Male
John Cockcroft,Male
John Cocke (computer scientist),Male
John E. Casida,Male
John Hasbrouck Van Vleck,Male
John Hopcroft,Male
John Hopfield,Male
John L. Hall,Male
John L. Hennessy,Male
John M. Jumper,Male
John McCarthy (computer scientist),Male
John Robert Schrieffer,Male
John Sulston,Male
"John William Strutt, 3rd Baron Rayleigh",Male
Jonathan Sprent,Male
Joseph Altman,Male
Joseph Hooton Taylor Jr.,Male
Joseph Sifakis,Male
Joshua Rothman,Male
Juan Ignacio Cirac Sasturain,Male
Judah Folkman,Male
Judea Pearl,Unknown
Julian Schwinger,Male
Juris Hartmanis,Male
Jürgen Schmidhuber,Male
K. Alex Müller,Unknown
Kai Siegbahn,Male
Karl Ferdinand Braun,Male
Katalin Karikó,Female
Ken Freeman (astronomer),Male
Ken Thompson,Male
Kenneth E. Iverson,Male
Kenneth G. Wilson,Male
Killam Prize,Unknown
Kip Thorne,Male
Klaus Hasselmann,Male
Klaus von Klitzing,Male
Konstantin Novoselov,Male
Kristen Nygaard,Female
Lawrence Bragg,Male
Lawrence Lessig,Male
Lawrence Roberts (scientist),Male
Leon Cooper,Male
Leon M. Lederman,Male
Leonard Adleman,Male
Leslie Lamport,Female
Leslie Valiant,Female
Lev Landau,Male
Linda R. Watkins,Female
Louis Néel,Male
Louis de Broglie,Male
Luc Montagnier,Male
Luis Santaló,Male
Luis Walter Alvarez,Male
Makoto Kobayashi (physicist),Male
Manne Siegbahn,Male
Manuel Ballester,Male
Manuel Blum,Male
Manuel Cardona,Male
Manuel Elkin Patarroyo,Male
Manuel Losada Villasante,Male
Marcos Moshinsky,Male
Maria Goeppert Mayer,Female
Marie Curie,Female
Mark E. Davis,Male
Mark Pepys,Male
Martin Cooper (inventor),Male
Martin Hellman,Male
Martin Lewis Perl,Male
Martin Ryle,Male
Martinus J. G. Veltman,Male
Marvin Minsky,Male
Mary Everest Boole,Female
Masatoshi Koshiba,Male
Maurice Wilkes,Male
Max Born,Male
Max Planck,Male
Max Welling,Male
Max von Laue,Male
Melvin Schwartz,Male
Michael O. Rabin,Male
Michael Stonebraker,Male
Murray Gell-Mann,Male
Nevill Francis Mott,Unknown
Nicolaas Bloembergen,Male
Niels Bohr,Male
Niklaus Wirth,Male
Nikolay Basov,Male
Norman Ramsey Jr.,Male
Oliver Smithies,Male
Otto Stern,Male
Owen Chamberlain,Male
Owen Willans Richardson,Male
Pat Hanrahan,Unknown
Patrick Blackett,Male
Paul Dirac,Male
Paul Werbos,Male
Pavel Cherenkov,Male
Pedro Miguel Etxenike,Male
Percy Williams Bridgman,Male
Peter Anthony Lawrence,Male
Peter Crane,Male
Peter Dayan,Male
Peter Fitzhugh Brown,Male
Peter Grünberg,Male
Peter Higgs,Male
Peter Naur,Male
Philip Felgner,Male
Philip Ruffles,Male
Philip W. Anderson,Male
Pierre Agostini,Male
Pierre Curie,Male
Pieter Zeeman,Male
Pyotr Kapitsa,Male
Queen Elizabeth Prize for Engineering,Female
Radford M. Neal,Unknown
Raghunath Anant Mashelkar,Unknown
Rainer Weiss,Male
Ray Tomlinson,Male
Raymond Davis Jr.,Male
Raymond Dwek,Male
Riccardo Giacconi,Male
Richard B. Flavell,Male
Richard Denton,Male
Richard E. Stearns,Male
Richard E. Taylor,Male
Richard Feynman,Male
Richard Hamming,Male
Richard J. Puddephatt,Male
Richard Lerner,Male
Richard M. Karp,Male
Richard S. Sutton,Male
Richard Zemel,Male
Robert Andrews Millikan,Male
Robert B. Laughlin,Male
Robert Coleman Richardson,Male
Robert Gallo,Male
Robert Hofstadter,Male
Robert K. Thomas (chemist),Male
Robert Kahn (computer scientist),Male
Robert Metcalfe,Male
Robert S. Langer,Male
Robert Tarjan,Male
Robert W. Floyd,Male
Robert Weinberg (biologist),Male
Robert Woodrow Wilson,Male
Robin Milner,Male
Roger Cashmore,Male
Roger Penrose,Male
Rolf M. Zinkernagel,Male
Ron Rivest,Male
Ronald J. Williams,Male
Ronald Reagan,Male
Roy J. Glauber,Male
Rudolf Mössbauer,Male
Ruslan Salakhutdinov,Male
Russ Salakhutdinov,Male
Russell Alan Hulse,Male
S. R. Srinivasa Varadhan,Unknown
Samuel C. C. Ting,Male
Sarah Gilbert,Female
Saul Perlmutter,Male
Serge Haroche,Male
Shafi Goldwasser,Unknown
Sheldon Glashow,Male
Shuji Nakamura,Male
Silvio Micali,Male
Simon Johnson (economist),Male
Simon van der Meer,Male
Stephen Cook,Male
Steve Jurvetson,Male
Steven Chu,Male
Steven Weinberg,Male
Stuart J. Russell,Male
Subrahmanyan Chandrasekhar,Unknown
Sumio Iijima,Male
Svante Pääbo,Male
Svetlana Mojsov,Female
Terry Sejnowski,Male
Theodor W. Hänsch,Male
Thomas Cavalier-Smith,Male
Tim Berners-Lee,Male
Tony Hoare,Male
Trevor Platt,Male
Tsung-Dao Lee,Unknown
Val Logsdon Fitch,Female
Valentín Fuster,Male
Victor Ambros,Male
Victor Francis Hess,Male
Vint Cerf,Unknown
Vitaly Ginzburg,Male
