Name,Gender
Adolph Lowe,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Bertram Myron Gross,Male
Brian R. Gaines,Male
Buckminster Fuller,Unknown
Charles A. McClelland,Male
Charles François (systems scientist),Male
Claude Bernard,Male
E. F. Schumacher,Unknown
Erich von Holst,Male
Ernst von Glasersfeld,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
Genevieve Bell,Female
George Klir,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Grier Miller,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
Joe Oldham,Male
John A. Dillon,Male
John Middleton Murry,Male
John Milsum,Male
John N. Warfield,Male
Karl Mannheim,Male
Kenneth E. Boulding,Male
Kevin Warwick,Male
Kjell Samuelson,Male
Lawrence B. Slobodkin,Male
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Michael Polanyi,Male
Milton Rubin,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Nottingham,Unknown
Nottingham Castle,Unknown
Paul Tillich,Male
Peter Caws,Male
Peter Checkland,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Ray Ison,Male
Richard F. Ericson,Male
Robert Rosen (theoretical biologist),Male
Robert Trappl,Male
Russell L. Ackoff,Male
Sergei P. Kurdyumov,Male
Sherwood Foresters,Male
Sir Geoffrey Vickers Memorial Award,Unknown
Stafford Beer,Male
Stroud,Unknown
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
T. S. Eliot,Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Hamilton Moberly,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
