Name,Gender
A. J. Ayer,Unknown
Alciphron (book),Unknown
Alexander Pruss,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Aloysius Martinich,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Anil Gupta (philosopher),Male
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Lee Whorf,Male
Bernard Bolzano,Male
Bernard Williams,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Chrysippus,Unknown
Claude Lancelot,Male
Clifford Geertz,Male
Colin Radford,Male
Cora Diamond,Female
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Sosa,Male
Derek Parfit,Male
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Duncan Pritchard,Male
Edmund Gettier,Male
Edmund Husserl,Male
Edward N. Zalta,Male
Edward Sapir,Male
Ernest Nagel,Male
Ernest Sosa,Male
Francisco Suárez,Male
Frank P. Ramsey,Male
Franz Boas,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
Fritz Mauthner,Male
G. A. Cohen,Unknown
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Bodley Ryle,Male
George Frederick Bodley,Male
George Gilbert Scott,Male
George Gilbert Scott Jr.,Male
Giles Gilbert Scott,Male
Gilles Deleuze,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Herbert A. Simon,Male
Hermann Lotze,Male
Hilary Kornblith,Female
Ian Hacking,Male
Ibn Khaldun,Unknown
Immanuel Kant,Male
Isaac Newton,Male
J. C. Ryle,Unknown
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
J. N. Findlay,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Pryor,Male
Jason Stanley,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jerry Fodor,Male
Johann Gottfried Herder,Male
John Alfred Ryle,Male
John Dewey,Male
John Dupré,Male
John Locke,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
John Wilkins,Male
Karl Popper,Male
Keith DeRose,Male
Keith Donnellan,Male
Kurt Gödel,Male
Laurence BonJour,Female
Leonard Bloomfield,Male
Lev Vygotsky,Male
Lucretius,Unknown
Ludwig Wittgenstein,Male
Martin Heidegger,Male
Michael Dummett,Male
Michael Walzer,Male
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Neil Tennant (philosopher),Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Nyāya Sūtras,Unknown
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul Watzlawick,Male
Peter D. Klein,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
R. G. Collingwood,Unknown
R. M. Hare,Unknown
Rex Whistler,Male
Richard Rorty,Male
Richard Swinburne,Male
Richard Webster (British author),Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Roderick Chisholm,Male
Ronald Bodley Scott,Male
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Ryle's regress,Unknown
Saul Kripke,Male
Susan Haack,Female
Susanna Siegel,Female
Thomas Aquinas,Male
Thomas Hobbes,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Thomas Reid,Male
Timothy Williamson,Male
Vienna Circle,Female
Wilhelm von Humboldt,Male
Willard Van Orman Quine,Male
William Alston,Male
William Lane Craig,Male
Zhuang Zhou,Unknown
Þorsteinn Gylfason,Male
