Name,Gender
Autodesk,Unknown
Benoit Mandelbrot,Unknown
Christopher Lydon,Male
Douglas Hofstadter,Male
Eliot Porter,Male
Freeman Dyson,Male
Glenn Adamson,Male
Ian Malcolm (Jurassic Park),Male
Isaac Newton,Male
Janna Levin,Female
Jerry Michalski,Male
Joel Spolsky,Male
John Banville,Male
Kevin J. Mitchell,Male
Mandelbrot set,Unknown
Michael Crichton,Male
Mitchell Feigenbaum,Male
Panix (ISP),Unknown
Richard Feynman,Male
Stephen Jay Gould,Male
Steven G. Krantz,Male
The Harvard Crimson,Female
Thomas Bass,Male
Tom Stoppard,Male
