Name,Gender
AWS Elastic Beanstalk,Unknown
Actifio,Unknown
Adscape,Unknown
Al Gore,Male
Alan Eustace,Male
Alan Mulally,Male
Alibaba Cloud,Unknown
AlphaGo versus Ke Jie,Unknown
AlphaGo versus Lee Sedol,Unknown
American Fuzzy Lop (software),Unknown
Andrew Sutherland (mathematician),Male
Android Cloud to Device Messaging,Unknown
Android Dev Phone,Unknown
Android Donut,Unknown
Android Honeycomb,Unknown
Android Nougat,Unknown
Android Studio,Unknown
Androidland,Unknown
Andy Bechtolsheim,Male
Ann Mather,Female
Apk (file format),Unknown
Bazel (software),Unknown
Binoculars Building,Unknown
Blink (browser engine),Unknown
Blockly,Unknown
C++,Unknown
C Sharp (programming language),Unknown
Chinchilla (language model),Unknown
ChromeOS,Unknown
Chrome Web Store,Unknown
Chrome Zone,Unknown
Cloud-computing comparison,Unknown
Cloud Foundry,Unknown
Comparison of Google Pixel smartphones,Unknown
David Cheriton,Male
David Drummond (businessman),Male
Doodle4Google,Unknown
EMC Atmos,Unknown
Eric Schmidt,Male
Etherpad,Unknown
"Feldman v. Google, Inc.",Unknown
Fflick,Unknown
Frank v. Gaos,Male
Ganeti,Unknown
"Garcia v. Google, Inc.",Unknown
Gerrit (software),Male
Glass OS,Unknown
Gmail,Unknown
Gmail interface,Unknown
"Goddard v. Google, Inc.",Unknown
Gonzalez v. Google LLC,Unknown
Google Apps Script,Unknown
Google Chrome App,Unknown
Google Chrome Experiments,Unknown
Google Chrome Frame,Unknown
Google Cloud Connect,Unknown
Google Cloud Dataflow,Unknown
Google Cloud Datastore,Unknown
Google Cloud Messaging,Unknown
Google Cloud Print,Unknown
Google Cloud Search,Unknown
Google Cloud Shell,Unknown
Google Cloud Storage,Unknown
Google Dashboard,Unknown
Google Glass,Unknown
Google Hummingbird,Unknown
Google Japanese Input,Unknown
Google Lunar X Prize,Unknown
Google Me (Kim Zolciak song),Unknown
Google Me (Teyana Taylor song),Unknown
Google Pixel,Unknown
Google Quick Search Box,Unknown
Google Santa Tracker,Unknown
Google Spain v AEPD and Mario Costeja González,Unknown
Google WiFi,Unknown
Googleplex,Unknown
Grace Hopper (submarine communications cable),Female
HP Cloud,Unknown
"Hibnick v. Google, Inc.",Unknown
History of Gmail,Unknown
Inbox by Gmail,Unknown
Inktank Storage,Unknown
Jamboard,Unknown
James R. Thompson Center,Male
Java (programming language),Unknown
Jedi Blue,Unknown
Jeff Dean,Male
Jetpack Compose,Unknown
"Joffe v. Google, Inc.",Unknown
John Doerr,Male
John L. Hennessy,Male
Kaggle,Unknown
Keyhole Markup Language,Unknown
Kingfisher plc,Unknown
Krishna Bharat,Unknown
Larry Page,Male
Lenz v. Universal Music Corp.,Male
Libguestfs,Unknown
Libvpx,Unknown
Looker Studio,Unknown
Lyra (codec),Female
Matt Cutts,Male
Matt Nathanson: Live at Google,Male
Mayfield Mall,Unknown
Metadata,Unknown
Mosley v SARL Google,Unknown
Neal Mohan,Male
Nik Software,Male
Nimbula,Unknown
No Tech for Apartheid,Unknown
NotebookLM,Unknown
Oracle Cloud,Unknown
Patrick Pichette,Male
Paul Otellini,Male
Picasa Web Albums,Unknown
Pixel (1st generation),Unknown
Pixel Buds,Unknown
Pixel Fold,Unknown
Pixel Watch,Unknown
Pixel Watch 2,Unknown
Pixel Watch 3,Unknown
Product Sans,Unknown
Project Ara,Unknown
Project Iris,Unknown
Project Starline,Unknown
Proton Drive,Unknown
Pyra Labs,Unknown
Quick Share,Unknown
Rachel Whetstone,Female
Rackspace Cloud,Unknown
Rajen Sheth,Unknown
Ram Shriram,Male
Ray Kurzweil,Male
ReCAPTCHA,Unknown
Rick Osterloh,Male
Ruth Porat,Female
Salar Kamangar,Unknown
Sanjay Ghemawat,Male
Sergey Brin,Male
Shirley M. Tilghman,Female
Sidewalk Labs,Unknown
Sputnik (JavaScript conformance test),Unknown
Sundar Pichai,Unknown
Susan Wojcicki,Female
Tez (software),Unknown
The Google Story,Female
Thomas Kurian,Male
Trendalyzer,Unknown
"Umar Javeed, Sukarma Thapar, Aaqib Javeed vs. Google LLC and Ors.",Male
VCloud Air,Unknown
VTuber,Unknown
Vevo,Unknown
Vint Cerf,Unknown
Virtual Private Cloud OnDemand,Unknown
Webdriver Torso,Unknown
Where on Google Earth is Carmen Sandiego?,Unknown
YouTube Awards,Unknown
YouTube BrandConnect,Unknown
YouTube Comedy Week,Unknown
YouTube Creator Awards,Unknown
YouTube Kids,Unknown
YouTube Live,Unknown
YouTube Music,Unknown
YouTube Next Lab and Audience Development Group,Unknown
YouTube Premium,Unknown
YouTube Rewind,Unknown
YouTube Rewind 2018: Everyone Controls Rewind,Unknown
YouTube Rewind 2019: For the Record,Unknown
YouTube Select,Unknown
YouTube Shorts,Unknown
YouTube Space,Unknown
YouTube Space Lab,Unknown
YouTube Studio,Unknown
YouTube Symphony Orchestra,Unknown
YouTube Theater,Unknown
Zadara,Unknown
Zoho Corporation,Unknown
Template:Latest preview software release/Google Cloud App,Unknown
Template:Latest stable software release/Google Cloud App,Unknown
