Name,Gender
Advanced Programmable Interrupt Controller,Unknown
Akio Morita,Male
Alan W. Rudge,Male
Albert G. Lee,Male
Albert H. Taylor,Male
Albert Hull,Male
Alfred Norton Goldsmith,Male
Alfred Y. Cho,Male
"Amos E. Joel, Jr.",Male
Andrew Carnegie Medal of Philanthropy,Male
Andrew Grove,Male
Andrew McNaughton,Male
Andrew Viterbi,Male
Andy Grove,Male
Anita K. Jones,Female
Arthur Edwin Kennelly,Male
Asilomar Conference Grounds,Unknown
B. Jayant Baliga,Unknown
Balthasar van der Pol,Male
Benjamin M. Rosen,Male
Bill Hewlett,Male
Bob Galvin,Male
Bob Swan,Male
Bradford W. Parkinson,Male
Brian Krzanich,Male
C. Kumar Patel,Unknown
Calvin Quate,Male
Charles Concordia,Male
Charles H. Townes,Male
Chenming Hu,Unknown
Claude Elwood Shannon,Male
Craig Barrett (chief executive),Male
Dan David Prize,Male
David Packard,Male
David Sarnoff,Male
Dennis Gabor,Male
Donald G. Fink,Male
Donald Pederson,Male
E. Finley Carter,Unknown
Edward Ginzton,Male
Edwin H. Armstrong,Male
Elmer William Engstrom,Male
Emory Leon Chaffee,Male
Eric Schmidt,Male
Erich Bloch,Male
Ernst Alexanderson,Male
Ernst Guillemin,Male
Ernst Weber (engineer),Male
Eugene Wong,Male
F. C. Kohli,Unknown
Fairchild Semiconductor,Unknown
Frederick Terman,Male
"G. David Forney, Jr.",Unknown
George Ashley Campbell,Male
George C. Southworth,Male
George H. Heilmeier,Male
George H. W. Bush,Male
George W. Bush,Male
George W. Pierce,Male
Glenn Seaborg,Male
Gordon E. Moore Medal for Outstanding Achievement in Solid State Science and Technology,Male
Gordon K. Teal,Male
Gordon Moore (disambiguation),Male
Gordon and Betty Moore Foundation,Male
Greenleaf Whittier Pickard,Unknown
Guglielmo Marconi,Male
Gustave A. Ferrie,Male
H. Earle Vaughan,Unknown
Haraden Pratt,Unknown
Harald T. Friis,Male
Harold A. Wheeler,Male
Harold H. Beverage,Male
Harry Nyquist,Male
Harvey Fletcher,Male
Haswell (microarchitecture),Unknown
Henry Samueli,Male
Herbert Kroemer,Male
Herwig Kogelnik,Male
I486SX,Unknown
IM Flash Technologies,Unknown
Ian Munro Ross,Male
Intel Outstanding Researcher Award,Unknown
Intel Xe,Unknown
Irwin Dorros,Male
Irwin M. Jacobs,Male
Ivan A. Getting,Male
Jack Kilby,Male
Jacob Ziv,Male
James B. Owens,Male
James D. Meindl,Male
James F. Gibbons,Male
James Flanagan (engineer),Male
James Hillier,Male
Jay W. Forester,Male
Jerome Wiesner,Male
John Ambrose Fleming,Male
John Bardeen,Male
John Brooks Slaughter,Male
John Fritz Medal,Male
John Grist Brainerd,Male
John H. Dellinger,Male
John Hays Hammond Jr.,Male
John L. Hennessy,Male
John Milton Miller,Male
John Robinson Pierce,Male
John Roy Whinnery,Male
John Stone Stone,Male
John Tukey,Male
John V. L. Hogan,Male
Jonathan M. Rothberg,Male
Jonathan Zenneck,Male
Joseph M. Pettit,Male
Karl Johan Åström,Male
Kees Schouhamer Immink,Male
Ken Olsen,Male
Kurt Petersen (inventor),Male
Larrabee (microarchitecture),Unknown
Lawrence A. Hyland,Male
Lawrence C. F. Horle,Male
Lee De Forest,Male
List of Intel Xeon processors (Haswell-based),Unknown
List of Intel Xeon processors (Sandy Bridge-based),Unknown
Lloyd Espenschied,Male
Lotfi A. Zadeh,Male
Louis W. Austin,Male
Malcolm R. Currie,Male
Mauna Kea,Unknown
Melville Eastham,Unknown
Melvin Calvin,Male
Michael I. Pupin,Male
Mildred Dresselhaus,Female
Morris Chang,Male
Mung Chiang,Unknown
N. R. Narayana Murthy,Unknown
Nick Holonyak,Male
Nicolaas Bloembergen,Male
Norman F. Ramsey,Male
Norman R. Augustine,Male
Pat Gelsinger,Unknown
Patrick E. Haggerty,Male
Paul E. Gray,Male
Paul Lauterbur,Male
Paul Otellini,Male
Penryn (microarchitecture),Unknown
Platform Controller Hub,Unknown
Ralph Bown,Male
Ralph Hartley,Male
Ray Stata,Male
Raymond A. Heising,Male
Reginald Aubrey Fessenden,Male
Richard Bellman,Male
Robert A. Frosch,Male
Robert G. Gallager,Male
Robert H. Dennard,Male
Robert Metcalfe,Male
Robert Noyce,Male
Robin Saxby,Male
Rodney Brooks,Male
Roland W. Schmitt,Male
Rudolf Kalman,Male
Rudolf Kompfner,Male
Sandy Bridge,Female
Sherman Fairchild,Male
Sidney Darlington,Male
Simon Ramo,Male
Stanford C. Hooper,Male
Steven Sample,Male
Sunny Cove (microarchitecture),Male
Tadahiro Sekimoto,Male
Takeo Kanade,Male
Thomas Eugene Everhart,Male
Thomas Kailath,Male
Tick–tock model,Unknown
"University of California, Davis",Unknown
Vladimir Zworykin,Male
Walter Ransom Gail Baker,Male
William Giauque,Male
William Littell Everitt,Male
William Norris (CEO),Male
William Shockley,Male
William Wilson (physicist),Male
