Name,Gender
Akademie Verlag,Unknown
Alan Sutcliffe,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Andrew Pickering,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Bertram Myron Gross,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Billy Butlin,Male
Brian R. Gaines,Male
Buckminster Fuller,Unknown
Charles A. McClelland,Male
Charles François (systems scientist),Male
Charles Peirce,Male
Claude Bernard,Male
Claude Shannon,Male
Computer Lib/Dream Machines,Unknown
Erich von Holst,Male
Ernst von Glasersfeld,Male
Fondazione Ugo Bordoni,Unknown
Francis Heylighen,Male
Francisco Varela,Male
Frank Honywill George,Male
Frederic Vester,Male
G. L. Mallen,Unknown
Genevieve Bell,Female
Geoffrey Vickers,Male
George Klir,Male
George Spencer Brown,Male
George Washington University,Male
Gerard de Zeeuw,Male
Gordon S. Brown,Male
Gordon and Breach,Male
Gregory Bateson,Male
Heinemann (publisher),Unknown
Heinz von Foerster,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Grier Miller,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
Joan Littlewood,Female
John A. Dillon,Male
John Lansdown,Male
John McCarthy (computer scientist),Male
John Milsum,Male
John N. Warfield,Male
John Wiley & Son,Male
Kenneth E. Boulding,Male
Kevin Warwick,Male
Kjell Samuelson,Male
Lawrence B. Slobodkin,Male
Liverpool John Moores University,Unknown
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Marvin Minsky,Male
Methuen Publishing,Unknown
Milton Rubin,Male
N. Katherine Hayles,Unknown
Namur,Unknown
Nicholas Negroponte,Male
Niklas Luhmann,Male
Norbert Wiener,Male
Norsk Hydro,Unknown
Oliver Selfridge,Male
Paul Pangaro,Male
Perceptual and Motor Skills,Unknown
Peter Cariani,Male
Peter Caws,Male
Peter Checkland,Male
Petro Grigorenko,Male
Project Cybersyn,Unknown
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Richard F. Ericson,Male
Robert Rosen (theoretical biologist),Male
Robert Trappl,Male
Roger Eddison,Male
Russell L. Ackoff,Male
Rydal Penrhos,Unknown
S. Fischer Verlag,Unknown
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Symbolic artificial intelligence,Unknown
Synergetics (Haken),Unknown
Ted Nelson,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren McCulloch,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
