Name,Gender
Alan V. Oppenheim,Male
Aldert van der Ziel,Unknown
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Andrew S. Tanenbaum,Male
Andries van Dam,Male
Anthony Wilden,Male
B. R. Teare Jr.,Unknown
Ben G. Streetman,Male
Brian Anderson (academic),Male
Buckminster Fuller,Unknown
Charles A. Desoer,Male
Charles François (systems scientist),Male
Chung Laung Liu,Unknown
Claude Bernard,Male
David A. Hodges,Male
David Patterson (computer scientist),Male
Delores M. Etter,Female
Donald P. Campbell,Male
Donald Pederson,Male
Edward C. Jordan,Male
Erich von Holst,Male
Ernest S. Kuh,Male
Ernst Guillemin,Male
Ernst Weber (engineer),Male
Ernst von Glasersfeld,Male
Fawwaz T. Ulaby,Male
Francis Heylighen,Male
Francisco Varela,Male
Franz Ollendorff,Male
Frederic Vester,Male
Frederick Terman,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George F. Corcoran,Male
Gordon Pask,Male
Gregory Bateson,Male
Harold A. Peterson,Male
Harold Locke Hazen,Male
Heinz von Foerster,Male
Hermann A. Haus,Male
Hugh H. Skilling,Male
Humberto Maturana,Male
I. A. Richards,Unknown
IEEE James H. Mulligan Jr. Education Medal,Unknown
Igor Aleksander,Male
J. David Irwin,Unknown
J. F. Calvert,Unknown
Jacob Millman,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James D. Meindl,Male
James F. Gibbons,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John G. Linvill,Male
John G. Proakis,Male
John G. Truxal,Male
John G. Webster,Male
John N. Warfield,Male
John R. Ragazzini,Male
John Roy Whinnery,Male
Jose B. Cruz Jr.,Male
Joseph Bordogna,Male
Joseph W. Goodman,Male
Kevin Warwick,Male
Lotfi A. Zadeh,Male
Mac Van Valkenburg,Male
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Mischa Schwartz,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Paul R. Gray,Male
Petar V. Kokotovic,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Randy Katz,Male
Ranulph Glanville,Unknown
Richard B. Adler,Male
Richard Baraniuk,Male
Robert Fano,Male
Robert Trappl,Male
Ronald A. Rohrer,Male
Ronald W. Schafer,Male
Sanjit K. Mitra,Unknown
Sergei P. Kurdyumov,Male
Simon Haykin,Male
Stafford Beer,Male
Stephen P. Boyd,Male
Stephen W. Director,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Thomas Kailath,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
Vannevar Bush,Unknown
Vincent Poor,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Gould Dow,Male
William Grey Walter,Male
William H. Huggins,Male
William Littell Everitt,Male
Yasuharu Suematsu,Male
Template:IEEE James H. Mulligan Jr. Education Medal,Unknown
Template talk:IEEE James H. Mulligan Jr. Education Medal,Unknown
