Name,Gender
A. J. Ayer,Unknown
Abel's test,Unknown
Abraham Robinson,Male
Ada Lovelace,Female
Adam Ferguson,Male
Adam Smith,Male
Adam Weishaupt,Male
Adamantios Korais,Male
Adele Goldstine,Female
Adi Shankara,Male
Adolphus Ward,Male
Adriaan Koerbagh,Male
Afrikan Spir,Unknown
Akademie der Wissenschaften und der Literatur,Unknown
Al-Farabi,Unknown
Al-Ghazali,Unknown
Alan Turing,Male
Albert Einstein,Male
Alciphron (book),Unknown
Alexander Bain (philosopher),Male
Alexander Baumgarten,Male
Alexander Pope,Male
Alexander Pruss,Male
Alexander Radishchev,Male
Alexis de Tocqueville,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Algernon Sidney,Unknown
Ali Akbar Rashad,Male
Ali Shariati,Male
Alte Nikolaischule,Unknown
Alvin Goldman,Male
Alvin Plantinga,Male
Andrew Koenig (programmer),Male
Andy Clark,Male
Anil Gupta (philosopher),Male
Anne Robert Jacques Turgot,Female
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",Male
Anthony Collins (philosopher),Male
Anthony Kenny,Male
Antiochus Kantemir,Unknown
Antoine Augustin Calmet,Male
Antonie van Leeuwenhoek,Female
Antonio Genovesi,Male
Antonio Gramsci,Male
Antonio Negri,Male
Ars Magna (Ramon Llull),Unknown
Arthur Lovejoy,Male
Arthur Schopenhauer,Male
Athanasius Kircher,Unknown
Augustine of Hippo,Female
Augustus De Morgan,Male
Avram Mrazović,Male
Ayn Rand,Female
B. R. Ambedkar,Unknown
Balthasar Bekker,Male
Bart D. Ehrman,Male
Bartholomäus Leonhard von Schwendendörffer,Male
Benjamin Constant,Male
Benjamin Franklin,Male
Benjamin Lee Whorf,Male
Benjamin Tucker,Male
Benoit Mandelbrot,Unknown
Benson Mates,Unknown
Bernard Bolzano,Male
Bernard Le Bovier de Fontenelle,Male
Bernard Mandeville,Male
Bernard Nieuwentyt,Male
Bernard de Fontenelle,Male
Bernhard Riemann,Male
Bernoulli number,Unknown
Bertrand Russell,Male
Betty Holberton,Female
Bibcode (identifier),Unknown
Brian Kernighan,Male
Brook Taylor,Female
C. D. Broad,Unknown
Carl Schmitt,Male
Catherine the Great,Female
Cesare Beccaria,Male
Charles Babbage,Male
Charles Bonnet,Male
Charles Fourier,Male
Charles Hartshorne,Male
Charles III of Spain,Male
Charles Maurras,Male
Charles S. Peirce,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Chord (geometry),Unknown
Christiaan Huygens,Male
Christian Thomasius,Male
Christian Wolff (philosopher),Male
Christoph Bernhard Francke,Male
Christoph Martin Wieland,Male
Chrysippus,Unknown
Claude Adrien Helvétius,Male
Claude Lancelot,Male
Claude Shannon,Male
Colin Maclaurin,Male
Cours d'Analyse,Unknown
Creationism,Unknown
Daniel Dennett,Male
Daniel Schwenter,Male
Dante Alighieri,Male
David A. Huffman,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
De re publica,Unknown
Denis Diderot,Male
Denis Fonvizin,Male
Denis Papin,Male
Dennis Ritchie,Male
Derek Parfit,Male
Desiderius Erasmus,Male
Dewi Zephaniah Phillips,Female
Dharma,Unknown
Dimitrie Cantemir,Male
Diodorus Cronus,Unknown
Discourse on Metaphysics (book),Unknown
Donald Davidson (philosopher),Male
Donald Knuth,Male
