Name,Gender
Adam D'Angelo,Male
Adebayo Ogunlesi,Unknown
Bret Taylor,Male
Deep Learning (South Park),Female
Emmett Shear,Male
GPT-4,Unknown
GPT Store,Unknown
Helen Toner,Female
Holden Karnofsky,Male
John Collison,Male
Lawrence Summers,Male
Nicole Seligman,Female
OpenAI Codex,Unknown
Patrick Collison,Male
Paul Nakasone,Male
Reid Hoffman,Male
Removal of Sam Altman from OpenAI,Unknown
Sam Altman,Male
Sarah Friar,Female
Satya Nadella,Male
Scott Schools,Male
Sue Desmond-Hellmann,Female
Ted Talk,Male
Will Hurd,Male
Category:OpenAI,Unknown
