Name,Gender
A. C. Haddon,Unknown
Alfred Korzybski,Male
Alfred North Whitehead,Male
Angus and Robertson,Male
Arthur Koestler,Male
Asilomar Conference Grounds,Unknown
Benjamin Breen,Male
Bibcode (identifier),Unknown
Carl Jung,Male
Donald deAvila Jackson,Male
E.P. Dutton,Unknown
Gregor Mendel,Male
Hubris,Unknown
Ignacio Matte Blanco,Male
Jay Haley,Male
Jerry Brown,Male
Jesper Hoffmeyer,Male
John Brockman (literary agent),Male
John C. Lilly,Male
John Weakland,Male
John Wiley & Sons,Male
LCCN (identifier),Unknown
Lily King,Female
Lindisfarne Association,Unknown
Margaret Mead,Female
Mary Catherine Bateson,Female
Niklas Luhmann,Male
Paul Cushing Child,Male
Ray Birdwhistell,Male
Rudolph Arnheim,Male
Samuel Butler (novelist),Male
Simon and Schuster,Male
Stephen Nachmanovitch,Male
Stewart Brand,Male
Symbolic anthropology,Unknown
Walter Taylor Sumner,Male
William Bateson,Male
William Irwin Thompson,Male
Yves Winkin,Male
