Name,Gender
Anders Sandberg,Male
Arthur C. Clarke,Male
Aubrey de Grey,Unknown
Ben Goertzel,Male
Bibcode (identifier),Unknown
Bush robot,Unknown
Colin McGinn,Male
David Brin,Male
David Chalmers,Male
David Gobel,Male
David Pearce (transhumanist),Male
Eliezer Yudkowsky,Male
Gennady Stolyarov II,Male
James Hughes (sociologist),Male
John McCarthy (computer scientist),Male
José Luis Cordeiro,Male
Julian Huxley,Male
K. Eric Drexler,Unknown
Kautzen,Unknown
Mark Alan Walker,Male
Martine Rothblatt,Female
Max More,Male
Moravec's Paradox,Unknown
Moravec's paradox,Unknown
Natasha Vita-More,Female
Nick Bostrom,Male
Nikolai Fyodorovich Fyodorov,Male
Novikov self-consistency principle,Unknown
Ole Martin Moen,Male
Ray Kurzweil,Male
Robin Hanson,Male
Yuval Harari,Male
Zoltan Istvan,Unknown
