Name,Gender
A. J. Ayer,Unknown
Adolf Hitler,Male
Albert Einstein,Male
Alexander Addison (Judge),Male
Alexander Pruss,Male
Alexander Schwab,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Plantinga,Male
Arif Ahmed (philosopher),Male
Arnold Sommerfeld,Male
Barry Stroud,Male
Bas van Fraassen,Male
Bernard Williams,Male
Bernhard Reichenbach,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Carl Gustav Hempel Papers,Male
Carl Hempel,Male
Casimir Lewy,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Charles W. Morris,Male
Christine Korsgaard,Female
Clark Glymour,Male
Cora Diamond,Female
Daniel Dennett,Male
David Chalmers,Male
David Hilbert,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Derek Parfit,Male
Dick Thornburgh Papers,Male
Donald Davidson (philosopher),Male
Dr. phil. hab.,Unknown
Edmund F. Robertson,Male
Edmund Gettier,Male
Edmund Husserl,Male
Ernest Nagel,Male
Ernest Sosa,Male
Ernst Cassirer,Male
Erroll Garner Archive,Male
Francis Bacon,Male
Frank E. Bolden,Male
Frank P. Ramsey,Male
Frederick Eberhardt (philosopher),Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gilbert Ryle,Male
Giuseppe Peano,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Henri Poincaré,Male
Henry Overholt,Male
Herman Reichenbach,Male
Hermann Schüller,Male
Hoher Meissner,Unknown
Ian Hacking,Male
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Renshaw Cox,Male
Jane McDowell Foster Wiley,Female
Jerry Fodor,Male
Joe Negri,Male
John Dupré,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
Karl Pearson,Male
Karl Popper,Male
Karl Wittfogel,Male
Keith Donnellan,Male
Kurt Gödel,Male
Larry Laudan,Male
List of songs by Robert Schmertz,Unknown
Ludwig Wittgenstein,Male
Max Born,Male
Max Noether,Male
Max Planck,Male
Max von Laue,Male
Michael Dummett,Male
Michael Polanyi,Male
Michael Walzer,Male
Mill's Methods,Unknown
Moritz Schlick,Male
Morrison Foster,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Hensel,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
Pierre Duhem,Male
R. M. Hare,Unknown
Richard Rorty,Male
Richard Swinburne,Male
Richard von Mises,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Robert Schmertz (artist),Male
Roderick Chisholm,Male
Roger Bacon,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Stephen Foster's sketchbook,Male
Stephen Foster Collection and archive,Male
Susan Haack,Female
Thomas Kuhn,Male
Thomas Nagel,Male
Timothy Williamson,Male
Vienna Circle,Female
Walter Leuba,Male
Wesley Salmon,Male
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
William Lane Craig,Male
