Name,Gender
Alexander Bogdanov,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Barbara J. Grosz,Female
Bertram Myron Gross,Male
Bibcode (identifier),Unknown
Brian R. Gaines,Male
Buckminster Fuller,Unknown
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Charles A. McClelland,Male
Charles A. S. Hall,Male
Charles François (systems scientist),Male
Claude Bernard,Male
Claude Shannon,Male
Donella Meadows,Female
Edsger W. Dijkstra,Unknown
Edward Norton Lorenz,Male
Emil von Förster,Male
Eric Trist,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Erwin Lang,Male
Faina Mihajlovna Kirillova,Female
Francis Heylighen,Male
Francisco Varela,Male
Fred Emery,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George Dantzig,Male
George Klir,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Hans-Lukas Teuber,Unknown
Howard T. Odum,Male
Hugo von Hofmannsthal,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jakob von Uexküll,Male
James Grier Miller,Male
James J. Kay,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John A. Dillon,Male
John Markoff,Male
John Milsum,Male
John N. Warfield,Male
John Seddon,Male
John von Neumann,Male
Joseph Tykociński-Tykociner,Male
Karl H. Müller,Male
Kathleen Carley,Female
Kenneth E. Boulding,Male
Kevin Warwick,Male
Kjell Samuelson,Male
Lawrence B. Slobodkin,Male
Lawrence J. Fogel,Male
Ludwig Wittgenstein,Male
Lydia Kavraki,Female
Maleyka Abbaszadeh,Unknown
Manuela M. Veloso,Female
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Marie Lang,Female
Mary Cartwright,Female
Mihajlo D. Mesarovic,Male
Mike Jackson (systems scientist),Male
Milton Rubin,Male
Murray Bowen,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Peter Caws,Male
Peter Checkland,Male
Peter Senge,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Radhika Nagpal,Female
Ranulph Glanville,Unknown
Richard E. Bellman,Male
Richard F. Ericson,Male
Robert Rosen (theoretical biologist),Male
Robert Trappl,Male
Russell L. Ackoff,Male
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stephanie Forrest,Female
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
Victor Aladjev,Male
Vienna Circle,Female
Von Foerster equation,Unknown
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren McCulloch,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
William Ross Ashby,Male
