Name,Gender
Albert A. Michelson,Male
Albert Einstein,Male
Albert Michelson,Male
Alexander Friedmann,Male
Alfred Capus,Male
Alfred Dreyfus,Male
Alfred North Whitehead,Male
Amie Wilkinson,Female
Annales Henri Poincaré,Unknown
Arnold's cat map,Unknown
Arnold Sommerfeld,Male
Arnold tongue,Male
Arthur Eddington,Male
Audrey Terras,Female
Baker's map,Unknown
Bas van Fraassen,Male
Beltrami–Klein model,Unknown
Benoit Mandelbrot,Unknown
Bernhard Riemann,Male
Bertrand Russell,Male
Betti number,Female
Bibcode (identifier),Unknown
Brosl Hasslacher,Unknown
Bruce Medal,Male
C. D. Broad,Unknown
Carl Benjamin Boyer,Male
Carl Friedrich Gauss,Male
Carl Gustav Hempel,Male
Charles Hermite,Male
Charles Sanders Peirce,Male
Charles W. Misner,Male
Chen Guanrong,Unknown
Claude Allègre,Male
Daniel Dennett,Male
Daniel Kolak,Male
David Hilbert,Male
David Hume,Male
David Malone (independent filmmaker),Male
David Ruelle,Male
Dimitrie Pompeiu,Male
E. T. Whittaker,Unknown
Edmund F. Robertson,Male
Edward Arthur Milne,Male
Edward Norton Lorenz,Male
Edward Ott,Male
Edward W. Morley,Male
Enrico Betti,Male
Eric Temple Bell,Male
F. Verhulst,Unknown
Felix Klein,Male
Floris Takens,Male
Forest Ray Moulton,Male
Francis Bacon,Male
French ship Henri Poincaré,Unknown
Fritz Zwicky,Male
Gabriel Lippmann,Male
George Francis FitzGerald,Male
Georges Lemaître,Male
Gingerbreadman map,Unknown
Grigori Perelman,Male
Guglielmo Marconi,Male
Gustav Herglotz,Male
Gösta Mittag-Leffler,Male
Hamilton–Jacobi–Einstein equation,Unknown
Hans-Martin Sass,Unknown
Hans Reichenbach,Male
Hans Vaihinger,Male
Hee Oh,Female
Hendrik Lorentz,Male
Henri Becquerel,Male
Hermann Bondi,Male
Hermann Minkowski,Male
Hermann Weyl,Male
History of Lorentz transformations,Unknown
Howard P. Robertson,Male
Hulse–Taylor binary,Unknown
Ian Hacking,Male
Igor Dmitriyevich Novikov,Male
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Newton,Male
Isidore Geoffroy Saint-Hilaire,Male
Itamar Procaccia,Male
Ivor Grattan-Guinness,Male
Jacques Hadamard,Male
James A. Yorke,Male
Jean Bosler,Male
Jean Gaston Darboux,Male
Jean Mawhin,Male
Jeremy Gray,Male
Johann Benedict Listing,Male
John Archibald Wheeler,Male
John Stillwell,Male
Joseph Dauben,Male
Joseph Hooton Taylor Jr.,Male
Josiah Willard Gibbs,Male
Jürgen Ehlers,Male
Kaluza–Klein theory,Unknown
Kaplan–Yorke map,Unknown
Karl F. Sundman,Male
Karl Pearson,Male
Karl Popper,Male
Karl Schwarzschild,Male
Karl Weierstrass,Male
Kelvin's circulation theorem,Unknown
Kerr metric,Male
Kerr–Newman metric,Unknown
Kip Thorne,Male
Krylov–Bogolyubov theorem,Unknown
LISA Pathfinder,Unknown
Larry Laudan,Male
Leon O. Chua,Male
Leonhard Euler,Male
Liouville's theorem (Hamiltonian),Unknown
List of members of the Académie française,Unknown
List of things named after Henri Poincaré,Unknown
Lorenz system,Male
Lotka–Volterra equations,Unknown
Louis Bachelier,Male
Ludwig Boltzmann,Male
Lyapunov exponent,Unknown
Lyapunov stability,Unknown
Lycée Henri-Poincaré,Unknown
Mach's principle,Unknown
Mackey–Glass equations,Unknown
Marie Bonaparte,Female
Marie Curie,Female
Martin Gutzwiller,Male
Mary Cartwright,Female
Mary Rees,Female
Mary Tsingou,Female
Max Abraham,Male
Max Born,Male
Max Planck,Male
Max von Laue,Male
Melvyn Bragg,Male
Michael Berry (physicist),Male
Michael Polanyi,Male
Michel Hénon,Male
Michelson–Morley experiment,Unknown
Mihailo Petrović Alas,Male
Mill's Methods,Unknown
Minkowski diagram,Unknown
Mitchell Feigenbaum,Male
"Nancy, France",Unknown
"Nancy, Meurthe-et-Moselle",Unknown
Nina Snaith,Female
Otto Neurath,Male
Otto Rössler,Male
Paul Dirac,Male
Paul Ehrenfest,Male
Paul Langevin,Male
Paul Painlevé,Male
Peter Grassberger,Male
Peter L. Bernstein,Male
Pierre Boutroux,Male
Pierre Duhem,Male
Pieter Zeeman,Male
Poincaré–Lelong equation,Unknown
Poincaré–Lindstedt method,Unknown
Project Gutenberg,Unknown
Qiudong Wang,Unknown
Rainer Weiss,Male
Raymond Poincaré,Male
Reissner–Nordström metric,Unknown
Relativistic Doppler effect,Unknown
Richard C. Tolman,Male
Robert Geroch,Male
Roger Bacon,Male
Roger Penrose,Male
Roy Kerr,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Russell Alan Hulse,Male
Schwarzschild metric,Unknown
Stephen Hawking,Male
Subrahmanyan Chandrasekhar,Unknown
Sully Prudhomme,Unknown
Svetlana Jitomirskaya,Female
Swinging Atwood's machine,Unknown
Sylvester Medal,Male
Thematic Origins of Scientific Thought: Kepler to Einstein,Unknown
Thomas Kuhn,Male
Thomas precession,Male
Tobias Dantzig,Male
Tolman–Oppenheimer–Volkoff equation,Unknown
Van Stockum dust,Male
Van der Pol oscillator,Male
Walter Kaufmann (physicist),Male
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
Willem de Sitter,Male
Yakov Sinai,Male
Yakov Zeldovich,Male
Yvonne Choquet-Bruhat,Female
Zeitschrift für allgemeine Wissenschaftstheorie,Unknown
École Polytechnique,Unknown
Étienne Geoffroy Saint-Hilaire,Unknown
